geography_code,disability_3a-001,disability_3a-002
E02001678,15.7,84.3
E02001679,24.5,75.5
E02001680,28.2,71.8
E02001681,16.6,83.4
E02001827,16.6,83.4
E02001828,16.5,83.5
E02001829,12.3,87.7
E02001830,14.2,85.8
E02001831,19.8,80.2
E02001832,15.2,84.8
E02001833,15.1,84.9
E02001834,19.4,80.6
E02001835,16.3,83.7
E02001836,15.6,84.4
E02001837,22.4,77.6
E02001838,14.5,85.5
E02001839,18.6,81.4
E02001840,22.8,77.2
E02001841,15.9,84.1
E02001842,15.1,84.9
E02001843,17.4,82.6
E02001844,21.3,78.7
E02001845,15,85
E02001846,19.9,80.1
E02001847,17.2,82.8
E02001848,18.9,81.1
E02001849,17.4,82.6
E02001850,14,86
E02001851,20.2,79.8
E02001852,19.2,80.8
E02001855,25.8,74.2
E02001856,15.2,84.8
E02001857,21.5,78.5
E02001858,15.4,84.6
E02001859,13.7,86.3
E02001860,14.2,85.8
E02001861,15.4,84.6
E02001862,14.9,85.1
E02001863,14.7,85.3
E02001865,14.2,85.8
E02001866,16.2,83.8
E02001867,14.7,85.3
E02001868,12.9,87.1
E02001869,14.9,85.1
E02001870,13.9,86.1
E02001871,23.9,76.1
E02001872,21.8,78.2
E02001873,15.4,84.6
E02001874,14.3,85.7
E02001875,13.1,86.9
E02001876,11.9,88.1
E02001877,13.7,86.3
E02001878,14.5,85.5
E02001879,17.8,82.2
E02001880,19,81
E02001881,15.1,84.9
E02002000,19.3,80.7
E02002001,19.6,80.4
E02002002,19.4,80.6
E02002003,21,79
E02002004,21.2,78.8
E02002005,20,80
E02002006,21.2,78.8
E02002007,19.9,80.1
E02002008,15,85
E02002009,18.4,81.6
E02002010,20.2,79.8
E02002011,17.2,82.8
E02002012,25.6,74.4
E02002013,20.4,79.6
E02002014,17.8,82.2
E02002015,17.8,82.2
E02002016,23.7,76.3
E02002017,20.3,79.7
E02002018,18.5,81.5
E02002019,20.8,79.2
E02002020,18.5,81.5
E02002043,21.1,78.9
E02002044,16.5,83.5
E02002045,19.8,80.2
E02002046,21.8,78.2
E02002047,21.7,78.3
E02002048,15.3,84.7
E02002049,17.9,82.1
E02002051,20.2,79.8
E02002052,19.5,80.5
E02002053,15.9,84.1
E02002054,15.8,84.2
E02002055,18.3,81.7
E02002056,20.6,79.4
E02002057,20.2,79.8
E02002058,15.5,84.5
E02002059,18.2,81.8
E02002060,17.6,82.4
E02002061,17.1,82.9
E02002062,17.7,82.3
E02002063,15.1,84.9
E02002064,16.9,83.1
E02002065,13,87
E02002066,16.3,83.7
E02002067,17.8,82.2
E02002069,20.2,79.8
E02002070,16.4,83.6
E02002071,21.5,78.5
E02002072,17.9,82.1
E02002073,19.1,80.9
E02002081,18.3,81.7
E02002082,24.7,75.3
E02002083,15.6,84.4
E02002084,23,77
E02002085,21.3,78.7
E02002110,19.5,80.5
E02002111,24.2,75.8
E02002112,19.3,80.7
E02002113,21.1,78.9
E02002114,21.7,78.3
E02002115,23.1,76.9
E02002116,19.3,80.7
E02002117,19.5,80.5
E02002118,23.7,76.3
E02002119,19.4,80.6
E02002120,17.2,82.8
E02002121,23.4,76.6
E02002122,17.2,82.8
E02002123,18.6,81.4
E02002124,23.3,76.7
E02002125,22,78
E02002126,23.6,76.4
E02002127,17.9,82.1
E02002128,21.4,78.6
E02002129,19.9,80.1
E02002130,20,80
E02002131,16.4,83.6
E02002132,21,79
E02002133,21.2,78.8
E02002134,19.9,80.1
E02002135,17.7,82.3
E02002136,18.5,81.5
E02002137,15.1,84.9
E02002138,15.3,84.7
E02002139,17.9,82.1
E02002140,16.5,83.5
E02002141,14.2,85.8
E02002142,18.3,81.7
E02002143,15.4,84.6
E02002144,14.4,85.6
E02002145,19.6,80.4
E02002146,17,83
E02002147,20,80
E02002148,15.6,84.4
E02002149,20.2,79.8
E02002150,17,83
E02002151,20.5,79.5
E02002152,22.2,77.8
E02002153,22.6,77.4
E02002154,15.6,84.4
E02002155,19.3,80.7
E02002156,18.4,81.6
E02002157,15.6,84.4
E02002158,21.8,78.2
E02002159,16.9,83.1
E02002160,16.7,83.3
E02002161,14.5,85.5
E02002162,19.7,80.3
E02002163,17.7,82.3
E02002164,14.4,85.6
E02002165,17.9,82.1
E02002166,21.4,78.6
E02002167,17.8,82.2
E02002168,17.1,82.9
E02002169,17.8,82.2
E02002170,18.6,81.4
E02002171,21,79
E02002174,18.4,81.6
E02002175,20.4,79.6
E02002176,18.3,81.7
E02002177,15.6,84.4
E02002178,16.9,83.1
E02002179,16.7,83.3
E02002180,19.1,80.9
E02002181,18.9,81.1
E02002182,21.4,78.6
E02002586,28.5,71.5
E02002587,25.2,74.8
E02002588,29.6,70.4
E02002589,18.6,81.4
E02002796,17.1,82.9
E02002797,18.5,81.5
E02002798,14.7,85.3
E02002799,18.7,81.3
E02002800,18.5,81.5
E02002801,21.3,78.7
E02002802,24.1,75.9
E02002803,21.8,78.2
E02002804,20.7,79.3
E02002806,20.2,79.8
E02002807,20.4,79.6
E02002808,19.8,80.2
E02002810,16.4,83.6
E02002811,16.7,83.3
E02002812,18.5,81.5
E02002813,16.7,83.3
E02002814,19.1,80.9
E02002815,13.6,86.4
E02002816,13.4,86.6
E02002817,17.8,82.2
E02002818,17.8,82.2
E02002819,21.9,78.1
E02002820,19.9,80.1
E02002821,20,80
E02002822,18.6,81.4
E02002823,23.6,76.4
E02002824,18.7,81.3
E02002825,19.5,80.5
E02002826,15.7,84.3
E02002928,19.1,80.9
E02002929,17.2,82.8
E02002930,18.8,81.2
E02002931,16.2,83.8
E02002932,22.3,77.7
E02002933,20,80
E02002934,18.2,81.8
E02002935,20.9,79.1
E02002936,16.2,83.8
E02002937,18.5,81.5
