areacd,sex-001,sex-002
E02001882,51,49
E02001883,51.7,48.3
E02001884,50.6,49.4
E02001886,48.2,51.8
E02001888,52,48
E02001889,49.9,50.1
E02001890,49.3,50.7
E02001892,51.4,48.6
E02001893,50.5,49.5
E02001895,52.8,47.2
E02001896,50.6,49.4
E02001897,50.4,49.6
E02001898,50.6,49.4
E02001899,51.6,48.4
E02001900,48.4,51.6
E02001901,52,48
E02001902,50.7,49.3
E02001903,50,50
E02001904,50.9,49.1
E02001905,53.6,46.4
E02001906,52,48
E02001907,50,50
E02001908,49.4,50.6
E02001909,50,50
E02001910,48.8,51.2
E02001911,51.7,48.3
E02001913,51,49
E02001914,49.4,50.6
E02001915,49.8,50.2
E02001916,50.5,49.5
E02001918,48.9,51.1
E02001919,49.8,50.2
E02001920,52.7,47.3
E02001921,51.9,48.1
E02001922,54.7,45.3
E02001923,51,49
E02001924,51.1,48.9
E02001925,51.5,48.5
E02001926,50.2,49.8
E02001927,52.8,47.2
E02001928,52.9,47.1
E02001929,51.8,48.2
E02001930,51.3,48.7
E02001931,50.8,49.2
E02001932,53.3,46.7
E02001933,51.9,48.1
E02001934,50.8,49.2
E02001935,52.7,47.3
E02001936,51.4,48.6
E02001937,51.5,48.5
E02001938,51.1,48.9
E02001939,53.6,46.4
E02001941,51.9,48.1
E02001942,52.1,47.9
E02001943,50.9,49.1
E02001944,51.6,48.4
E02001945,51.7,48.3
E02001946,50.7,49.3
E02001947,52.5,47.5
E02001948,51.3,48.7
E02001949,52.9,47.1
E02001950,52,48
E02001951,52.9,47.1
E02001952,52,48
E02001953,51.8,48.2
E02001954,53.2,46.8
E02001955,51.7,48.3
E02001956,51.4,48.6
E02001957,52.2,47.8
E02001958,50.3,49.7
E02001959,51.1,48.9
E02001961,50.8,49.2
E02001962,51.1,48.9
E02001963,50.5,49.5
E02001964,52.4,47.6
E02001965,51.1,48.9
E02001966,50.1,49.9
E02001967,51.2,48.8
E02001968,50.7,49.3
E02001969,51.7,48.3
E02001970,51.2,48.8
E02001971,51.6,48.4
E02001972,49.9,50.1
E02001973,50.1,49.9
E02001974,50.8,49.2
E02001975,50.8,49.2
E02001976,50.9,49.1
E02001977,47.8,52.2
E02001978,49.3,50.7
E02001979,51.6,48.4
E02001980,50.9,49.1
E02001981,48.7,51.3
E02001982,51,49
E02001983,50.1,49.9
E02001984,51,49
E02001985,42.3,57.7
E02001986,50.2,49.8
E02001987,48.4,51.6
E02001988,46.5,53.5
E02001989,50.3,49.7
E02001990,51.1,48.9
E02001991,49.7,50.3
E02001992,52,48
E02001993,49,51
E02001994,50.6,49.4
E02001995,50.7,49.3
E02001996,51,49
E02001997,50.9,49.1
E02001998,50.2,49.8
E02001999,49.8,50.2
E02002021,49.2,50.8
E02002022,51,49
E02002023,50.9,49.1
E02002024,50.8,49.2
E02002025,50.6,49.4
E02002026,50.3,49.7
E02002027,50.2,49.8
E02002028,51.2,48.8
E02002029,52.2,47.8
E02002030,49.8,50.2
E02002031,49.6,50.4
E02002032,51.4,48.6
E02002033,51,49
E02002034,50.1,49.9
E02002035,51.4,48.6
E02002036,48.1,51.9
E02002037,51.6,48.4
E02002038,50.6,49.4
E02002039,49.6,50.4
E02002040,50.9,49.1
E02002041,53.1,46.9
E02002042,51.3,48.7
E02002074,51.2,48.8
E02002075,51.2,48.8
E02002076,51.3,48.7
E02002077,50.3,49.7
