areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02001882,84.8,11.2,4.1
E02001883,91.6,6.5,2
E02001884,71.1,18.1,10.8
E02001886,76.5,17.6,5.9
E02001888,89.1,8.8,2.1
E02001889,71,17.6,11.4
E02001890,78.2,17.4,4.5
E02001892,77.7,15,7.3
E02001893,85.9,10,4
E02001895,92.2,6,1.8
E02001896,67.4,18.5,14.1
E02001897,71.6,18.2,10.1
E02001898,94.9,3.8,1.3
E02001899,88.2,9.7,2
E02001900,78.3,16.5,5.3
E02001901,90.8,8.1,1.1
E02001902,89.6,8.2,2.3
E02001903,70.3,16.2,13.5
E02001904,78.5,15.3,6.2
E02001905,83.6,13.8,2.6
E02001906,91.2,6.8,2
E02001907,92.7,5.8,1.5
E02001908,67.9,18.2,13.9
E02001909,71,17.5,11.5
E02001910,75.1,14.2,10.7
E02001911,85.1,10.9,4
E02001913,82.5,14.7,2.8
E02001914,83.4,10.5,6.1
E02001915,86,10.7,3.4
E02001916,80.9,13.6,5.5
E02001918,88.3,8.4,3.3
E02001919,84.7,9.8,5.5
E02001920,91.3,6.8,1.9
E02001921,87.3,9.9,2.8
E02001922,89.6,9.1,1.3
E02001923,78.1,14.6,7.3
E02001924,85.4,11.2,3.4
E02001925,87.7,10.1,2.2
E02001926,88.3,9.4,2.3
E02001927,89.8,8.1,2.1
E02001928,93.5,5,1.5
E02001929,85.1,11,3.9
E02001930,92.3,5.9,1.8
E02001931,88.7,8.7,2.7
E02001932,92,6.3,1.7
E02001933,91.7,6.6,1.8
E02001934,84.7,12.2,3.1
E02001935,91.3,7.1,1.6
E02001936,92.6,6.1,1.3
E02001937,88,9.1,2.8
E02001938,94.5,4.7,0.9
E02001939,93.1,5.6,1.3
E02001941,90.2,7.7,2.1
E02001942,94.9,4.3,0.7
E02001943,93.7,4.9,1.4
E02001944,94,5,1
E02001945,92,6.3,1.7
E02001946,94.7,4,1.3
E02001947,91.3,6.4,2.3
E02001948,95.7,3.1,1.2
E02001949,95.2,4,0.8
E02001950,95.1,3.9,1
E02001951,95.7,3.5,0.8
E02001952,93.1,5.1,1.8
E02001953,95.2,3.8,1
E02001954,93.6,4.6,1.8
E02001955,96,3.2,0.8
E02001956,97.4,2,0.6
E02001957,96.8,2.6,0.7
E02001958,82.6,13.5,3.9
E02001959,85.1,12.1,2.9
E02001961,81.3,14.6,4.1
E02001962,70.2,22.3,7.5
E02001963,90.8,7.4,1.8
E02001964,79.9,16.4,3.6
E02001965,88,10.5,1.5
E02001966,64,25.1,10.9
E02001967,96.1,3.4,0.5
E02001968,76.1,19,4.9
E02001969,81.9,14.4,3.7
E02001970,87.4,10.5,2.1
E02001971,91.8,6.7,1.5
E02001972,64,25.9,10.1
E02001973,75.4,19.3,5.3
E02001974,92.9,5.9,1.2
E02001975,88,9.7,2.3
E02001976,85.6,12.1,2.3
E02001977,71.6,21.5,7
E02001978,79.2,16.2,4.6
E02001979,95.8,3.5,0.7
E02001980,95.7,3.6,0.7
E02001981,67,24.8,8.3
E02001982,95.7,3.4,0.8
E02001983,93.2,5.6,1.2
E02001984,83.1,13.1,3.8
E02001985,70.2,24.6,5.2
E02001986,90.1,8.4,1.5
E02001987,84.8,12.5,2.6
E02001988,70.2,26.5,3.3
E02001989,89.8,8.8,1.4
E02001990,91.6,7.2,1.2
E02001991,93.3,6,0.7
E02001992,84.9,12.6,2.5
E02001993,86.5,11.5,2
E02001994,83.5,14.2,2.3
E02001995,76.3,20.3,3.5
E02001996,83.4,14.1,2.6
E02001997,88.7,9.5,1.8
E02001998,88.6,9.8,1.6
E02001999,82.8,15.9,1.3
E02002021,91.5,5.8,2.7
E02002022,98,1.5,0.5
E02002023,99.1,0.8,0.1
E02002024,97.4,1.8,0.7
E02002025,91.6,5.7,2.6
E02002026,98.5,1.3,0.3
E02002027,99,0.7,0.3
E02002028,99.3,0.6,0.1
E02002029,95.9,3.1,1
E02002030,96.9,2.4,0.7
E02002031,90.4,6.2,3.4
E02002032,94.8,3.6,1.7
E02002033,96.3,2.7,1
E02002034,97.6,1.9,0.5
E02002035,97.5,2,0.5
E02002036,89.1,7.5,3.4
E02002037,99.2,0.7,0.1
E02002038,95.5,3,1.4
E02002039,96.8,2.5,0.7
E02002040,98.5,1.2,0.4
E02002041,96.4,2.9,0.6
E02002042,98.5,1.2,0.4
E02002074,89.3,8.2,2.5
E02002075,93,5.3,1.7
E02002076,84.5,12,3.5
E02002077,92.8,4.6,2.6
E02002078,89.4,8,2.6
E02002079,92.1,6.1,1.8
E02002080,95.6,3.2,1.2
E02002086,97,2.6,0.4
E02002087,96.8,2.7,0.6
E02002088,97,2.5,0.6
E02002089,97,2.6,0.4
E02002090,93.6,5.1,1.4
E02002091,94.9,4.2,0.9
E02002092,94.8,4.4,0.8
E02002093,93.7,5,1.3
E02002094,95.4,4,0.7
E02002095,93.5,5.9,0.7
E02002096,91.3,7.5,1.3
E02002097,98.3,1.5,0.2
E02002098,92.2,6.7,1
E02002099,91.8,7.3,0.9
E02002101,96.5,2.9,0.6
E02002102,93.8,5.4,0.8
E02002103,96,3.5,0.5
E02002104,94.6,4.8,0.6
E02002105,98.1,1.8,0.1
E02002106,97.5,2.2,0.2
E02002107,93.3,5.7,0.9
E02002108,97.8,1.8,0.3
E02002109,96.7,3.1,0.2
E02002905,98.7,1,0.2
E02002906,94.9,3.7,1.4
E02002907,93.2,5.4,1.4
E02002908,98.7,1.1,0.2
E02002909,97.4,2.1,0.5
E02002911,97.9,1.7,0.3
E02002912,96.8,2.3,0.8
E02002913,96.5,2.9,0.6
E02002914,91.6,6.3,2.1
E02002915,95.5,3.8,0.7
E02002916,87.1,9.9,3
E02002917,91.5,6.3,2.2
E02002918,96.6,2.8,0.6
E02002919,91.4,7.1,1.4
E02002920,94.9,4,1.2
E02002921,88.3,9.1,2.6
E02002922,98.1,1.5,0.5
E02002923,95.6,3.8,0.6
E02002925,97.4,2.1,0.4
E02002926,94.1,4.4,1.5
E02002927,98.4,1.4,0.2
E02003212,97.7,2,0.3
E02004600,90,8.2,1.7
E02004601,96.9,2.8,0.3
E02004602,87.9,10.2,1.9
E02004603,88.1,10.1,1.8
E02004604,87.6,10.1,2.3
E02004605,93.6,5.1,1.3
E02004606,89.7,8.8,1.5
E02004607,92.4,6.8,0.8
E02004608,92.5,6.8,0.6
E02004609,95.4,4.1,0.5
E02004610,96,3.7,0.3
E02004611,96.4,3.3,0.3
E02004612,96.5,3.1,0.4
E02004613,96.6,3,0.4
E02004614,97.9,2,0.1
E02004615,98.7,1.2,0.1
E02004616,97.9,1.8,0.2
E02004617,96.5,3.2,0.2
E02004618,98,1.9,0.2
E02004619,98.7,1.2,0.1
E02004620,98.5,1.4,0.1
E02004621,96.3,3.3,0.3
E02004622,96.4,3.3,0.3
E02004623,98.3,1.5,0.2
E02004624,98.5,1.3,0.2
E02004625,97.6,2.2,0.2
E02004626,98.8,1.1,0.2
E02004627,93,5,2
E02004628,98.9,0.9,0.2
E02004629,96.9,2,1
E02004630,98.8,0.7,0.5
E02004631,99.6,0.4,0
E02004632,99.2,0.7,0.1
E02004633,99.3,0.6,0
E02004634,98.2,1.5,0.3
E02004635,98.5,1.4,0.1
E02004636,97.7,2.1,0.2
E02004637,89.6,9,1.4
E02004638,96.2,3.2,0.7
E02004639,85.4,11.3,3.3
E02004640,72,20.4,7.6
E02004641,97.6,2,0.4
E02004642,94.5,4.6,0.9
E02004643,86.2,10.9,2.8
