areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02001882,34,40.8,17,8.2
E02001883,36.6,42.8,16.2,4.3
E02001884,29.8,45.2,19,6
E02001886,31.1,40.6,20.1,8.3
E02001888,29,43.4,21.4,6.2
E02001889,31.2,43.7,17.4,7.8
E02001890,38.2,39.6,16.5,5.8
E02001892,32.3,43.8,18.1,5.9
E02001893,25.3,42.9,23.5,8.3
E02001895,31.9,43.1,19.6,5.4
E02001896,38.8,39.1,16.1,6
E02001897,50.2,37.6,9.6,2.6
E02001898,16.6,44.2,29.4,9.7
E02001899,19.8,41.1,29.5,9.6
E02001900,40.3,39.4,15.1,5.1
E02001901,26.6,45.3,22.9,5.1
E02001902,24.6,42.4,26.2,6.8
E02001903,39.2,40.6,14.6,5.6
E02001904,35.8,41.4,17.9,4.8
E02001905,25.7,43.6,22.9,7.8
E02001906,21.8,44,27.5,6.7
E02001907,22.9,44.2,24.6,8.2
E02001908,34.2,42.5,16.5,6.8
E02001909,41.7,40,13.3,5
E02001910,43.3,39.9,12,4.8
E02001911,37.8,43.5,15.6,3.1
E02001913,43.9,37.5,14.3,4.3
E02001914,24.8,41.4,24.6,9.3
E02001915,31.7,43.1,19.2,5.9
E02001916,29.7,45.7,18.9,5.7
E02001918,36.2,42.3,16.6,5
E02001919,29.6,42.1,19.4,8.9
E02001920,34.4,44,17.4,4.3
E02001921,29,45.5,21,4.5
E02001922,45.7,29.7,14.4,10.1
E02001923,24.2,42.3,23.1,10.3
E02001924,24.1,41.4,25.3,9.3
E02001925,30.5,44.4,19.8,5.3
E02001926,29.3,44.7,20.5,5.5
E02001927,32.8,43.4,18.6,5.1
E02001928,33.1,42.2,19.6,5.1
E02001929,30.8,44.2,19.9,5.1
E02001930,25.8,47.1,22.4,4.7
E02001931,18.9,41.8,28.3,11
E02001932,33.8,43.5,18.4,4.3
E02001933,28.7,45.9,20.5,4.9
E02001934,13.9,40,32.6,13.5
E02001935,24.6,44.4,25.3,5.6
E02001936,20.9,41.5,30.6,7
E02001937,31.7,43.1,19.6,5.6
E02001938,28.8,50.6,17.5,3.1
E02001939,36.4,41.4,18,4.2
E02001941,28.5,44.8,21.5,5.2
E02001942,32.3,43.4,18.8,5.5
E02001943,25.2,43.8,24.9,6.1
E02001944,23.3,44.6,25.5,6.5
E02001945,33.3,42.1,19.8,4.8
E02001946,23.2,42,27.6,7.2
E02001947,47.7,36.5,12.1,3.7
E02001948,22,42.2,28.1,7.7
E02001949,28.4,45.3,21.6,4.8
E02001950,23.8,44.5,24.9,6.8
E02001951,34.9,42.8,18.3,3.9
E02001952,40.9,40.1,15.5,3.4
E02001953,22.1,40.7,28.6,8.7
E02001954,36.5,42.8,16.8,3.8
E02001955,27.7,44.9,22.7,4.6
E02001956,22.5,42.7,26.6,8.2
E02001957,20.7,43.1,28.3,7.9
E02001958,25.2,44.5,23.5,6.8
E02001959,17.4,42.6,29.3,10.8
E02001961,37,39.6,18.4,5.1
E02001962,26.5,44,23.4,6.2
E02001963,21.8,39.4,27.5,11.2
E02001964,34.5,41.8,19.5,4.2
E02001965,21.2,44.8,25.9,8.1
E02001966,34.3,40.2,18,7.5
E02001967,12.2,37.7,35.2,14.9
E02001968,23.1,44.7,24.8,7.4
E02001969,30.2,45,19,5.8
E02001970,25.1,45,24,5.9
E02001971,16.2,43,30.7,10.1
E02001972,41.1,41.3,13.7,3.8
E02001973,35.6,42.4,17.5,4.5
E02001974,17.2,43,31.3,8.5
E02001975,18.8,43.5,28.5,9.1
E02001976,27.3,44.4,21.8,6.4
E02001977,45.7,38.5,12.6,3.2
E02001978,23.5,45.3,24.3,6.9
E02001979,15.9,44.1,31.1,8.9
E02001980,12.9,42.5,33.8,10.8
E02001981,50,36.4,10.9,2.7
E02001982,14.4,42.1,33.5,10
E02001983,19.5,46.5,26,8
E02001984,21.9,42.2,27.9,8
E02001985,53.3,32.6,9.7,4.4
E02001986,33.6,41.6,19.4,5.4
E02001987,38.8,44.5,13.2,3.5
E02001988,55.7,32.7,8.9,2.7
E02001989,20.2,45.5,26.2,8.1
E02001990,14,42.6,31.7,11.8
E02001991,19.5,42.7,28.3,9.5
E02001992,28.9,43.5,21.6,6
