areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02001882,47.2,5.4,47.3
E02001883,49.3,6.9,43.8
E02001884,40,7.4,52.6
E02001886,53.9,6.2,39.9
E02001888,48,6.2,45.8
E02001889,40.4,6.9,52.7
E02001890,54.4,6.6,39
E02001892,44.8,6.5,48.6
E02001893,50.3,5,44.7
E02001895,49.6,5.7,44.7
E02001896,38.3,6.6,55
E02001897,35.8,8.1,56
E02001898,56.9,3.7,39.4
E02001899,56.3,2.8,41
E02001900,45.7,8.2,46.1
E02001901,65,3,32
E02001902,58.5,4.8,36.8
E02001903,36.9,8.2,54.9
E02001904,47.7,7.2,45.2
E02001905,35.8,5.6,58.6
E02001906,56.8,4.8,38.5
E02001907,57.8,4.7,37.5
E02001908,39.3,6.5,54.2
E02001909,38.6,6.7,54.7
E02001910,38.5,7.3,54.2
E02001911,46.1,7,46.9
E02001913,45.2,6.3,48.5
E02001914,50.4,5.2,44.4
E02001915,54.4,5.3,40.3
E02001916,47.9,6.7,45.4
E02001918,54.6,5.3,40.1
E02001919,51.4,4.9,43.7
E02001920,48.3,5.9,45.9
E02001921,53.4,5,41.6
E02001922,21.5,7.3,71.3
E02001923,46.4,5,48.6
E02001924,53.5,4.7,41.8
E02001925,50.5,4.2,45.4
E02001926,52.1,5.1,42.8
E02001927,51.5,6.9,41.6
E02001928,49.3,5.9,44.9
E02001929,52.2,6.3,41.5
E02001930,60.5,4.2,35.3
E02001931,52.8,4,43.2
E02001932,50.5,6.3,43.2
E02001933,56,4.8,39.2
E02001934,54.9,4,41.1
E02001935,52.5,4.3,43.2
E02001936,54.3,3.4,42.3
E02001937,49.6,5.3,45.1
E02001938,63.9,4.1,32
E02001939,45.1,4.3,50.6
E02001941,49.2,6,44.8
E02001942,56,4.4,39.6
E02001943,55.7,4.2,40.1
E02001944,57.9,3.7,38.4
E02001945,52.8,6.2,41
E02001946,56.2,3.4,40.4
E02001947,43,7.4,49.6
E02001948,58.9,3.7,37.4
E02001949,57.3,4.9,37.8
E02001950,57.7,3.5,38.8
E02001951,47.9,6.1,46
E02001952,48.1,6.5,45.5
E02001953,53.3,4,42.7
E02001954,46.6,5.9,47.6
E02001955,57.3,4.7,38
E02001956,59.5,4.3,36.2
E02001957,58.8,3.4,37.8
E02001958,59.5,4.1,36.4
E02001959,58.6,4.4,36.9
E02001961,53.4,5.5,41.2
E02001962,58.4,5.3,36.3
E02001963,57.7,3.2,39.1
E02001964,55.4,5.3,39.3
E02001965,58.7,3,38.3
E02001966,51,5.7,43.3
E02001967,56,2.5,41.4
E02001968,59.5,4.7,35.8
E02001969,55.6,3.8,40.6
E02001970,55.9,3.6,40.4
E02001971,61.4,3,35.6
E02001972,51.2,7.3,41.5
E02001973,56.6,5.8,37.7
E02001974,62.3,3.1,34.5
E02001975,64.1,3.6,32.3
E02001976,56.1,3.5,40.3
E02001977,51.7,7.4,40.9
E02001978,60.5,3.9,35.6
E02001979,59.4,2.7,37.9
E02001980,53.6,2.1,44.3
E02001981,41.2,10.3,48.5
E02001982,61.8,2.7,35.4
E02001983,59.3,3.8,36.9
E02001984,61.2,4.5,34.3
E02001985,40.1,10.1,49.9
E02001986,53.9,5,41.1
E02001987,54.7,4.4,40.9
E02001988,34.1,10.6,55.3
E02001989,58.8,4,37.3
E02001990,59.8,2.7,37.5
E02001991,54,2.5,43.4
E02001992,55.7,4.9,39.5
E02001993,46.6,5.2,48.2
E02001994,57.5,3.8,38.7
E02001995,60.5,5.3,34.2
E02001996,52.6,6,41.3
E02001997,56.2,2.9,40.8
E02001998,57.4,2.4,40.2
E02001999,32.4,4.2,63.4
E02002021,52.8,7.3,39.9
E02002022,60.6,4.4,35
E02002023,57.6,2.7,39.7
E02002024,58.5,3.5,38
E02002025,58.4,3.7,37.9
E02002026,57.7,3,39.3
E02002027,64,2.5,33.6
E02002028,54.8,3,42.2
E02002029,55.2,3,41.9
E02002030,55.8,3.8,40.4
E02002031,55.8,3.7,40.5
E02002032,56.8,3.7,39.4
E02002033,57.1,2.9,40
E02002034,57.7,3.7,38.6
E02002035,54.1,2.1,43.8
E02002036,49.7,5.9,44.5
E02002037,54.3,4.2,41.6
E02002038,54.2,3.8,41.9
E02002039,54.8,3.1,42
E02002040,51.7,1.7,46.5
E02002041,48.7,2.5,48.8
E02002042,56.1,2.6,41.3
E02002074,54,4.5,41.5
E02002075,54.1,4.5,41.3
E02002076,62.4,5.6,32
E02002077,53.7,4.8,41.5
E02002078,57.8,3.8,38.5
E02002079,54.5,3.9,41.6
E02002080,55.4,4.8,39.8
E02002086,49.4,5.4,45.2
E02002087,51.7,6,42.3
E02002088,50.2,6.1,43.6
E02002089,56.5,3.5,40
E02002090,60.8,3.2,36
E02002091,58,3.2,38.8
E02002092,55.5,3.2,41.3
E02002093,55.1,3.3,41.6
E02002094,54.4,2.4,43.2
E02002095,57.4,3,39.6
E02002096,53.6,2.5,43.9
E02002097,57.7,2.2,40.1
E02002098,58.2,2.5,39.4
E02002099,54.5,2,43.6
E02002101,56.1,3.2,40.8
E02002102,58.2,2.6,39.2
E02002103,53.6,2.2,44.2
E02002104,58.1,2.2,39.7
E02002105,57.4,2,40.6
E02002106,51.9,1.9,46.2
E02002107,58.6,2.4,39
E02002108,55.4,2.4,42.2
E02002109,67.2,2.5,30.3
E02002905,54.2,1.7,44.1
E02002906,53.7,2.6,43.7
E02002907,54,2.7,43.3
E02002908,53.8,1.8,44.4
E02002909,53.3,2.2,44.6
E02002911,54.9,2.1,43
E02002912,60,2.2,37.8
E02002913,49.9,1.8,48.4
E02002914,60,2.2,37.7
E02002915,59.4,2.1,38.5
E02002916,61.4,3.5,35.1
E02002917,62.9,2.7,34.4
E02002918,56.2,2,41.8
E02002919,60.6,3.3,36.1
E02002920,60.8,2.1,37.1
E02002921,59.9,3.5,36.6
E02002922,55.6,1.9,42.4
E02002923,52.6,2.3,45.1
E02002925,58.5,2.1,39.4
E02002926,53,2.8,44.2
E02002927,53.9,1.7,44.4
E02003212,56.3,2.6,41
E02004600,61.5,2.1,36.4
E02004601,51.1,2.7,46.3
E02004602,61,3.2,35.9
E02004603,54.8,5,40.2
E02004604,59.4,4,36.7
E02004605,57.8,3.5,38.7
E02004606,67.2,3.1,29.8
E02004607,66.4,3,30.6
E02004608,61.2,2.6,36.2
E02004609,61.5,2.1,36.4
E02004610,54.2,2.3,43.5
E02004611,64.4,2.3,33.4
E02004612,58.7,1.8,39.5
E02004613,56.3,1.8,41.9
E02004614,56.3,1.8,41.9
E02004615,52.2,1.8,46
E02004616,56,2.1,41.9
E02004617,60.1,1.6,38.2
E02004618,59.8,1.9,38.3
E02004619,58.3,1.8,39.9
E02004620,62.4,2.3,35.4
E02004621,51.2,2.6,46.2
E02004622,58.6,2.8,38.6
E02004623,56.9,2.1,41
E02004624,59.3,2,38.7
E02004625,60,1.8,38.2
E02004626,50.7,2.4,46.9
E02004627,56.9,2.2,40.9
E02004628,56,2.4,41.6
E02004629,55.6,2.9,41.5
E02004630,54.4,1.7,43.9
E02004631,52.9,2.4,44.7
E02004632,53.9,2.4,43.7
E02004633,55.3,2.2,42.5
E02004634,56,3.1,40.9
E02004635,56.1,2.1,41.8
E02004636,61.2,1.9,36.8
E02004637,56.7,3.5,39.8
E02004638,62.4,2.2,35.4
E02004639,58.7,4.6,36.7
E02004640,57.5,5,37.5
E02004641,53.6,1.8,44.6
E02004642,63.6,3.3,33.2
E02004643,59.3,4.4,36.3
E02004644,63.1,3.2,33.7
E02004645,64,2.2,33.7
E02004646,57,3.3,39.6
E02004647,55.7,2.8,41.5
E02004648,55.7,1.8,42.5
E02004649,72.3,2.7,25.1
E02004650,71.9,2.8,25.3
E02004651,69.3,1.9,28.7
E02004652,51.9,2,46
E02004653,60.7,2,37.3
E02004654,59.9,2.3,37.8
E02004655,60.2,2.3,37.6
E02004656,61.3,2.9,35.8
E02004657,62.9,1.9,35.3
E02004658,62,2,36
E02004659,57.8,1.7,40.4
E02004660,49.5,1.9,48.6
E02004661,57,2.3,40.7
E02004662,60.8,2.2,37
E02004663,58.6,2.2,39.2
E02004664,60.9,1.9,37.2
E02004665,58.8,1.7,39.4
E02004666,66.5,2.2,31.3
E02004667,54.7,2.3,43
E02004668,53.4,1.8,44.8
E02004669,56.3,2.1,41.7
E02004671,58.6,1.6,39.8
E02004672,60.4,2.2,37.3
E02004673,59.4,2.3,38.3
E02004674,65.1,2.5,32.4
E02005929,58.3,1.8,39.9
E02005984,63.7,2,34.3
E02005986,62.5,2.2,35.4
E02005993,59.6,2,38.4
E02005994,60.9,1.9,37.3
E02005995,57.3,1.7,41.1
E02005997,56.7,2.4,40.9
E02005999,61.4,1.6,37
E02006000,64.5,2,33.6
E02006001,68.4,2,29.6
E02006002,60.5,2.2,37.3
E02006004,65.9,1.7,32.4
E02006005,75.1,2.2,22.7
E02006006,63.9,2.3,33.8
E02006007,60,1.9,38
E02006014,53.2,2,44.8
E02006043,55.7,2.1,42.2
E02006045,49.3,2.4,48.4
E02006046,54.2,1.7,44.1
E02006187,50.1,1.6,48.3
E02006487,51.1,3.8,45.1
E02006488,48.2,1.9,49.8
E02006489,60.4,3.3,36.3
E02006490,57.6,4,38.4
E02006495,58.1,2.2,39.7
E02006504,57.6,1.7,40.8
E02006505,53.2,1.9,44.9
E02006506,56.7,2.3,41
E02006508,62.1,1.8,36.1
E02006509,55.9,2.2,41.9
E02006510,53.2,1.6,45.2
E02006511,59.5,1.7,38.7
E02006512,60.6,2.4,36.9
E02006513,57.2,2.4,40.4
E02006514,54.2,2.2,43.7
E02006515,59.7,2.3,38
E02006516,61,1.8,37.2
E02006517,62.8,1.8,35.3
