areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02001882,79.4,11.6,2.3,6.7
E02001883,90.5,3.6,2.2,3.8
E02001884,45,33,6.9,15.1
E02001886,66.8,16,2.4,14.8
E02001888,84.9,8.2,2.4,4.5
E02001889,45.4,33.5,5.6,15.5
E02001890,75,8.2,2.1,14.7
E02001892,64.7,19.8,5.6,9.9
E02001893,81.4,11.2,1.9,5.5
E02001895,90.8,4,1.5,3.8
E02001896,37.9,35.6,7.3,19.3
E02001897,56.1,20.1,6,17.9
E02001898,93.4,4.1,1,1.4
E02001899,86.4,6.1,1.6,5.9
E02001900,71.9,10.8,3.5,13.8
E02001901,88.9,3.9,1.5,5.7
E02001902,88.1,5.6,1.4,4.9
E02001903,40.7,36.2,4.5,18.6
E02001904,70.8,13.5,4.5,11.2
E02001905,78.7,8,1.7,11.7
E02001906,89.4,4.5,1.6,4.5
E02001907,91.3,3.8,1.3,3.7
E02001908,36.2,41,4.9,17.9
E02001909,49,29.4,5.4,16.3
E02001910,58.7,22.1,4.2,15
E02001911,82.5,6.2,3.5,7.9
E02001913,79.6,6.6,2.2,11.6
E02001914,72.7,18.8,2.2,6.4
E02001915,83.1,7.5,1.6,7.8
E02001916,72.5,15,3.3,9.3
E02001918,86.6,6.6,1.2,5.6
E02001919,76.7,15,1.1,7.2
E02001920,89.4,3.5,2,5.1
E02001921,85.2,5.1,2.9,6.8
E02001922,80,11.6,0.8,7.7
E02001923,64.1,22.4,2.5,11
E02001924,77.9,12.8,2.2,7.1
E02001925,85.1,6.1,2.6,6.3
E02001926,86,6.7,1.4,5.9
E02001927,89,3.3,2.4,5.4
E02001928,92.5,2.3,1.2,4.1
E02001929,80.2,9.4,3.1,7.3
E02001930,89.7,6.4,1,2.9
E02001931,83.4,10.5,1,5.1
E02001932,90.6,3.3,1.9,4.3
E02001933,89,5.8,1.7,3.5
E02001934,76.7,14,2.1,7.2
E02001935,90,4,1.9,4.1
E02001936,89.9,5.2,1.5,3.4
E02001937,84.1,8.2,2.4,5.4
E02001938,92.8,3.4,0.7,3.2
E02001939,91.5,2.8,0.9,4.7
E02001941,87.2,6.1,1.6,5.1
E02001942,93.8,2.5,1,2.8
E02001943,91.8,4.2,1.1,3
E02001944,93,3.4,1.1,2.5
E02001945,90.5,3,2,4.4
E02001946,94.2,2.2,0.8,2.7
E02001947,89.8,3.2,2.5,4.5
E02001948,94.5,2.8,0.9,1.9
E02001949,94.4,2.3,1,2.3
E02001950,94.4,2.2,0.7,2.7
E02001951,95,1.4,1.1,2.6
E02001952,92.1,2.6,1.6,3.7
E02001953,94.6,2.3,0.8,2.3
E02001954,92.4,2.7,1.8,3.1
E02001955,95.1,2.1,0.9,1.9
E02001956,96.9,1.5,0.4,1.1
E02001957,96.8,0.9,0.4,1.9
E02001958,81.9,6.3,1.8,10.1
E02001959,83.4,6.4,2.9,7.2
E02001961,79.5,6,3,11.6
E02001962,63.8,12.9,5.1,18.1
E02001963,89.6,4.6,1.7,4
E02001964,76.5,5.7,5.5,12.2
E02001965,87.2,3.9,2.7,6.2
E02001966,46.5,22.8,5.6,25.1
E02001967,95.7,1.7,0.7,2
E02001968,70.6,10.6,4,14.8
E02001969,80.3,6.2,2.3,11.1
E02001970,87.1,4.1,1.9,6.9
E02001971,90.4,3.9,1.7,3.9
E02001972,51.8,16.4,5.8,26.1
E02001973,72.5,7.4,3.6,16.5
E02001974,91.4,3.6,0.9,4.1
E02001975,86.1,5.5,2.4,6.1
E02001976,84.2,4.3,2.8,8.7
E02001977,68.4,10,2.7,18.9
E02001978,76.4,8.5,2.1,13
E02001979,95,2.2,0.6,2.2
E02001980,94.9,2.1,0.6,2.4
E02001981,54.5,14.4,6.1,25
E02001982,94.9,1.5,0.7,3
E02001983,92.3,3.4,0.9,3.4
E02001984,80.4,7.5,2.4,9.7
E02001985,60.9,13.8,2.4,22.9
E02001986,88.9,2.7,1.9,6.5
E02001987,83.5,6.5,1.1,8.9
E02001988,70.9,6.7,1.7,20.6
E02001989,88.7,4.2,1.5,5.6
E02001990,89.5,3.7,1.6,5.2
E02001991,90.9,4.3,0.8,4.1
E02001992,81.9,5.5,3.8,8.8
E02001993,83.5,6.5,2.1,7.8
E02001994,80.4,7.9,2.2,9.4
E02001995,74.9,6.3,2.7,16.1
E02001996,81.9,4.3,3.2,10.6
E02001997,86.2,6.2,0.9,6.7
E02001998,86.8,6.5,1.3,5.5
E02001999,78.2,10.6,1.4,9.7
E02002021,90.4,3.5,0.9,5.2
E02002022,97.8,0.9,0.4,0.9
E02002023,98.8,0.5,0.1,0.5
E02002024,96.8,1.6,0.5,1.1
E02002025,90.4,4.5,1.1,3.9
E02002026,98,1.2,0.2,0.6
E02002027,98.5,1,0,0.4
E02002028,99,0.8,0,0.3
E02002029,95.1,2.6,0.3,1.9
E02002030,96.2,2.3,0.4,1.1
E02002031,88.3,7.2,0.7,3.9
E02002032,93.4,4,0.5,2.1
E02002033,95.5,2.2,0.6,1.7
E02002034,96.9,1.5,0.2,1.4
E02002035,96.5,2.4,0.1,1.1
E02002036,86.6,6.1,2.3,5
E02002037,98.8,0.8,0.1,0.3
E02002038,94.8,2.2,0.6,2.4
E02002039,96.2,2.2,0.3,1.2
E02002040,97.9,1.2,0.2,0.7
E02002041,95.8,2.3,0.3,1.6
E02002042,98.1,1.3,0.1,0.5
E02002074,86.9,6.2,2,4.9
E02002075,92.2,3.7,1.4,2.7
E02002076,82.7,6.5,2.4,8.4
E02002077,91.8,4.6,1.1,2.5
E02002078,87.5,6.6,1.6,4.4
E02002079,90.4,4.4,1.6,3.6
E02002080,94.9,2.1,0.9,2.2
E02002086,96.5,1.2,0.8,1.6
E02002087,96.3,1.3,0.7,1.6
E02002088,96.6,1,0.7,1.8
E02002089,96.1,2,0.6,1.2
E02002090,92.1,4.3,0.8,2.8
E02002091,93.2,3.9,1,1.9
E02002092,93.1,3.3,1,2.7
E02002093,92.2,3.8,0.8,3.2
E02002094,93.7,3.8,0.5,1.9
E02002095,92.3,3.1,1.1,3.5
E02002096,90,4.6,1.3,4.1
E02002097,97.6,1.5,0.2,0.7
E02002098,90.8,4.2,1.4,3.6
E02002099,90.4,3.8,1.1,4.6
E02002101,95.9,1.8,0.4,1.9
E02002102,92.9,2.8,1.3,3
E02002103,94.8,2.6,0.9,1.8
E02002104,93.6,2.8,1.3,2.3
E02002105,97.3,1.5,0.4,0.8
E02002106,97,1.5,0.4,1.1
E02002107,91.6,4,1.2,3.2
E02002108,97.2,1.7,0.4,0.8
E02002109,95.5,2.1,0.7,1.7
E02002905,98.4,1,0.2,0.4
E02002906,94.9,1.2,1.2,2.7
E02002907,92.4,1.7,0.8,5.1
E02002908,98.1,1.3,0.1,0.4
E02002909,97.1,1.1,0.6,1.2
E02002911,97.5,1.1,0.3,1.1
E02002912,96.7,1.5,0.6,1.2
E02002913,97.7,1,0.3,1
E02002914,91.4,2,1.2,5.5
E02002915,94.7,1.9,0.8,2.7
E02002916,87.2,2.5,1.5,8.7
E02002917,91.5,2.3,0.6,5.6
E02002918,96.5,1.1,0.7,1.8
E02002919,90.9,2.4,1.9,4.9
E02002920,94.3,1.9,0.9,3
E02002921,87.9,2.7,2.6,6.8
E02002922,97.7,1.1,0.2,1
E02002923,95.5,1.3,0.7,2.6
E02002925,96.6,1.6,0.5,1.4
