areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02001882,91.4,2.7,2.6,3.3
E02001883,89.6,3.2,2.9,4.3
E02001884,92.7,2.2,2.6,2.6
E02001886,92.7,3.5,1.9,1.9
E02001888,89.6,3.6,3.1,3.7
E02001889,92.4,2.4,2.7,2.4
E02001890,93.1,4,1.2,1.8
E02001892,92.2,2.6,2.7,2.5
E02001893,90,4.1,2.4,3.5
E02001895,89.8,3.6,2.7,3.8
E02001896,91.7,2.8,2.8,2.6
E02001897,91,2.8,3.3,2.8
E02001898,89,5.3,2.4,3.4
E02001899,92.2,4.5,1.3,2.1
E02001900,92.1,3.6,2.1,2.3
E02001901,93.1,4.3,1.2,1.5
E02001902,91.3,4.2,2,2.5
E02001903,90.8,2.7,3.7,2.8
E02001904,91.4,3.2,2.4,3
E02001905,95.4,2.7,0.8,1.1
E02001906,91.1,4.1,1.9,2.8
E02001907,90.4,4.1,2.1,3.3
E02001908,92.1,2.6,2.6,2.7
E02001909,90.9,2.8,3.6,2.6
E02001910,91.3,2.9,3,2.7
E02001911,90.9,3.8,2.4,2.9
E02001913,93.4,3.4,1.3,1.8
E02001914,90.3,4.6,2.7,2.4
E02001915,91,4.2,2.2,2.6
E02001916,92,2.9,2.1,3
E02001918,91.7,4.7,1.8,1.8
E02001919,91.6,4.3,2.1,2.1
E02001920,90.1,3.6,2.6,3.7
E02001921,91,3.7,2.2,3.1
E02001922,97.2,1.7,0.5,0.6
E02001923,90.8,3.7,2.8,2.7
E02001924,90.8,3.5,2.4,3.2
E02001925,92.2,4.3,1.4,2
E02001926,92,4,1.4,2.5
E02001927,89.7,3.8,2.3,4.2
E02001928,90.7,4,2.1,3.2
E02001929,90.4,3.6,2.5,3.4
E02001930,90.5,5.3,1.8,2.3
E02001931,90,4.7,2.7,2.6
E02001932,89.7,4.6,2.2,3.5
E02001933,90.3,4.2,2.2,3.3
E02001934,90.7,4.6,2.3,2.4
E02001935,90,4.7,2.1,3.2
E02001936,90.7,5.2,1.6,2.5
E02001937,90.8,3.3,2.4,3.6
E02001938,92.3,4.1,1.6,2
E02001939,90,4.6,2.1,3.3
E02001941,90.2,3.4,2.9,3.6
E02001942,90.7,4.3,2.1,2.9
E02001943,89.7,4.8,2.4,3.1
E02001944,90.4,4.3,2.3,3.1
E02001945,89,3.9,2.8,4.3
E02001946,90.5,4.8,2.1,2.6
E02001947,90.3,3.4,2.3,3.9
E02001948,89.7,4.9,2,3.5
E02001949,91.3,3.8,1.9,3
E02001950,91,4.4,1.8,2.8
E02001951,89.4,3.8,2.6,4.3
E02001952,90.3,3.7,2.4,3.6
E02001953,90.5,4.5,2,3
E02001954,90,2.9,2.8,4.4
E02001955,90.8,3.9,2.3,3
E02001956,90.8,4.1,2,3.1
E02001957,90.8,3.8,2.3,3.1
E02001958,90.4,4.4,2.3,3
E02001959,91.4,4.2,1.7,2.6
E02001961,91.1,3.5,2.4,3
E02001962,92.3,3,2.2,2.5
E02001963,88.6,5.3,2.6,3.5
E02001964,91.6,2.7,2.1,3.6
E02001965,91.2,4,1.9,2.9
E02001966,91.8,2.4,2.6,3.2
E02001967,90.4,5.4,1.7,2.4
E02001968,91.3,3.7,2.1,2.9
E02001969,90.9,3.5,2.3,3.2
E02001970,90.7,4.6,1.7,3
E02001971,90.8,4.8,1.8,2.7
E02001972,92.6,2.7,2.1,2.5
E02001973,91.4,3.5,2.2,2.9
E02001974,90.5,5.4,1.8,2.3
E02001975,90.6,4.7,1.9,2.8
E02001976,91.5,3.7,2,2.8
E02001977,92.9,2.8,2,2.3
E02001978,91.3,3.8,2.2,2.7
E02001979,89.7,5.7,1.9,2.7
E02001980,90.1,5.6,1.5,2.8
E02001981,93.9,2.5,1.9,1.8
E02001982,90.4,5,1.9,2.6
E02001983,91,4.5,1.8,2.7
E02001984,91.3,4.5,1.9,2.3
E02001985,95.4,2.2,1.1,1.2
E02001986,90.7,3.8,2.2,3.4
E02001987,93.2,3.5,1.1,2.1
E02001988,95.9,2.3,0.9,1
E02001989,90.9,4.4,2,2.8
E02001990,90.2,5.2,1.8,2.8
E02001991,90.8,5.7,1.5,1.9
E02001992,91.5,3.2,2.1,3.2
E02001993,92.1,3.5,1.9,2.6
E02001994,91.4,4.1,1.9,2.6
E02001995,92.7,3.2,2,2.1
E02001996,91.4,3.1,2.1,3.4
E02001997,89.4,6,1.9,2.7
E02001998,89.4,5.9,2,2.7
E02001999,92.9,4.3,1.2,1.5
E02002021,91,3.6,2.7,2.8
E02002022,90.1,4.6,2.4,2.9
E02002023,90,5.2,1.7,3.1
E02002024,90.4,4.6,2,3
E02002025,89.9,4.5,2.3,3.2
E02002026,89.6,5.2,2,3.2
E02002027,90.3,6,1.8,1.9
E02002028,89.2,5.9,1.8,3.1
E02002029,90.5,5,1.7,2.9
E02002030,90.4,4.4,2.1,3.1
E02002031,89.8,4.9,2.2,3.1
E02002032,89.1,4.3,2.3,4.2
E02002033,89.5,5.5,2.2,2.8
E02002034,91.3,4.8,1.7,2.2
E02002035,90.5,5.3,1.8,2.3
E02002036,90.7,3.2,2.7,3.4
E02002037,88.7,5.6,2.4,3.3
E02002038,89.9,5,2.3,2.8
E02002039,90,5.8,1.9,2.3
E02002040,89.6,6.1,1.4,3
E02002041,89.9,5,1.9,3.3
E02002042,89.4,5.9,1.8,2.8
E02002074,90.4,3.6,2.7,3.4
E02002075,89.4,4.8,2.4,3.3
E02002076,92.1,4.2,1.7,2
E02002077,89.3,4.3,2.7,3.8
E02002078,89.7,5.3,2.2,2.9
E02002079,90.4,4,2.2,3.4
E02002080,89.9,4,2.5,3.5
E02002086,90.7,2.8,2.8,3.7
E02002087,89,3.4,3.2,4.4
E02002088,89,3.7,2.8,4.5
E02002089,89.5,5,2.3,3.2
E02002090,90.2,5,1.8,3
E02002091,90.2,4.9,2,2.8
E02002092,89.5,5,2.2,3.4
E02002093,90.3,5.2,1.9,2.6
E02002094,90.2,6.1,1.5,2.2
E02002095,90.4,5.4,1.8,2.4
