areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02001882,11.4,33.8,54.8
E02001883,5.7,36.3,58.1
E02001884,17.1,15.8,67.1
E02001886,15.8,31.8,52.4
E02001888,8.5,26.6,64.9
E02001889,17.5,15.8,66.7
E02001890,11.5,44.8,43.8
E02001892,12.1,22.7,65.1
E02001893,9.8,28.5,61.7
E02001895,7.1,31.2,61.8
E02001896,21.9,18.8,59.3
E02001897,10.8,36.8,52.4
E02001898,5.8,28.5,65.6
E02001899,8.5,32.6,58.8
E02001900,10.1,40.4,49.5
E02001901,8.1,36.4,55.5
E02001902,6.5,28,65.5
E02001903,20.2,20.9,58.9
E02001904,11.3,28.6,60.1
E02001905,11.9,34.1,54
E02001906,6.4,28.4,65.1
E02001907,6.4,32.1,61.6
E02001908,22.1,16.8,61.1
E02001909,15.8,26,58.2
E02001910,15.1,34.8,50.1
E02001911,5.5,34.5,60
E02001913,15,39.2,45.8
E02001914,16.4,28.4,55.2
E02001915,8.6,37.5,53.9
E02001916,9.6,27.2,63.1
E02001918,8.7,48.3,43
E02001919,14.3,43.5,42.2
E02001920,6.1,34.1,59.8
E02001921,7.5,30.6,61.8
E02001922,61.5,17.7,20.8
E02001923,15.5,24.7,59.8
E02001924,9.6,28,62.4
E02001925,9.7,34.9,55.3
E02001926,13.9,31.7,54.4
E02001927,7.2,31.3,61.5
E02001928,4.5,35.8,59.7
E02001929,8.3,26.1,65.6
E02001930,8.8,31.5,59.7
E02001931,9.3,29.8,60.9
E02001932,5.2,34.6,60.2
E02001933,7.1,32.8,60
E02001934,12.8,21.5,65.7
E02001935,4.8,29.9,65.3
E02001936,6.6,27.8,65.5
E02001937,7.8,33.3,58.9
E02001938,7.4,33.6,59
E02001939,3.3,44.4,52.3
E02001941,7.6,30.6,61.8
E02001942,4.8,36.8,58.4
E02001943,6.6,31.5,61.9
E02001944,5.6,32.8,61.6
E02001945,8,27.9,64.1
E02001946,4.9,30.1,65
E02001947,5.7,38.1,56.1
E02001948,4.8,30.5,64.6
E02001949,4.8,32.9,62.4
E02001950,4.7,30.7,64.6
E02001951,6.3,32.8,60.8
E02001952,5,39.9,55.1
E02001953,5.4,28.7,65.9
E02001954,6.4,37.2,56.4
E02001955,5.5,35,59.5
E02001956,5.4,30.8,63.8
E02001957,4.5,28.8,66.7
E02001958,7.6,34.6,57.8
E02001959,8.3,22.9,68.8
E02001961,7.6,32.4,60.1
E02001962,12.5,23.7,63.8
E02001963,5.5,29.7,64.8
E02001964,8.2,26.7,65.1
E02001965,6.3,30.3,63.4
E02001966,16.9,23.4,59.7
E02001967,4.9,27.6,67.5
E02001968,8.7,25.4,66
E02001969,9.2,32,58.8
E02001970,5.7,34.6,59.7
E02001971,5.6,25.9,68.5
E02001972,11.9,29.3,58.8
E02001973,9.5,31.8,58.7
E02001974,5.8,28.7,65.6
E02001975,7.8,24.4,67.8
E02001976,6.5,33.2,60.3
E02001977,13.8,38.5,47.6
E02001978,8.8,26,65.2
E02001979,4.4,29.8,65.9
E02001980,3.6,29.2,67.2
E02001981,16.5,32.4,51.1
E02001982,4.4,29.8,65.7
E02001983,6.5,31.1,62.4
E02001984,12,25.2,62.7
E02001985,33.1,28.7,38.2
E02001986,6,40.5,53.5
E02001987,17,40.2,42.8
E02001988,11.6,53.2,35.2
E02001989,9.1,27,63.9
E02001990,5.7,25.1,69.2
E02001991,9.2,31,59.9
E02001992,7.6,28.1,64.3
E02001993,15.9,28.8,55.3
E02001994,8.2,29.5,62.3
E02001995,11.1,33.2,55.8
E02001996,5.9,38.7,55.5
E02001997,6,25.7,68.4
E02001998,5.6,25.2,69.2
E02001999,17.3,24.2,58.5
E02002021,4.1,45.6,50.3
E02002022,3.2,28.7,68.1
E02002023,2.7,25.9,71.4
E02002024,4.9,28.1,67
E02002025,5.9,30.7,63.4
E02002026,3.9,26,70.1
E02002027,3,23.3,73.7
E02002028,3.3,32.1,64.7
E02002029,3.8,26.6,69.6
E02002030,4.8,34.6,60.6
E02002031,6.8,32.8,60.4
E02002032,5.2,29.5,65.3
E02002033,3.9,29.9,66.3
E02002034,3,39.6,57.5
E02002035,4.6,26.4,69.1
E02002036,6.9,38.1,55
E02002037,3.3,27.9,68.8
E02002038,4.1,36.6,59.3
E02002039,3.2,33.2,63.6
E02002040,4.3,27.4,68.4
E02002041,4.4,26,69.7
E02002042,3.6,25.6,70.8
E02002074,6.5,27.7,65.8
E02002075,6.4,31.7,61.9
E02002076,8.5,31.4,60.1
E02002077,6.2,34.2,59.6
E02002078,6.6,27.2,66.2
E02002079,5.9,30.8,63.3
E02002080,4.1,31.9,64
E02002086,4.5,38.8,56.7
E02002087,4.5,33.5,62
E02002088,5.3,33.7,61.1
E02002089,5.8,27.5,66.7
E02002090,5.2,23.8,71.1
E02002091,5.7,28,66.3
E02002092,5.2,31.9,62.9
E02002093,5.2,35.7,59.1
E02002094,5.2,27.8,67
E02002095,5,29.8,65.2
E02002096,5.4,29.4,65.2
E02002097,4.6,28.3,67.1
E02002098,5.3,28.3,66.5
E02002099,4.5,26.8,68.7
E02002101,3.6,35.9,60.5
E02002102,5.2,28.7,66.1
E02002103,4.4,27.1,68.4
E02002104,3.3,24,72.7
E02002105,4.2,24.1,71.7
E02002106,2.8,27.9,69.3
E02002107,3.7,24.3,72
E02002108,2.6,25.4,72
E02002109,3.7,26.6,69.6
E02002905,4.4,26.4,69.2
E02002906,3.7,32.7,63.6
E02002907,4,38.8,57.2
E02002908,4.8,26,69.2
E02002909,4.2,29.1,66.8
E02002911,4.3,26.3,69.4
E02002912,4.6,25.1,70.3
E02002913,4.4,25.8,69.8
E02002914,4.6,35.2,60.2
E02002915,5.2,30.6,64.2
E02002916,6.6,42.6,50.8
E02002917,6,36.3,57.7
E02002918,4.1,26.6,69.3
E02002919,5.5,31.9,62.6
