areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02001882,86,2.4,11.6
E02001883,89.7,1.3,9
E02001884,74.5,3.4,22.1
E02001886,74.8,3.8,21.5
E02001888,89.1,1.3,9.7
E02001889,77.6,2.9,19.5
E02001890,71.8,4.4,23.8
E02001892,80.9,2.7,16.4
E02001893,86.7,2.2,11.1
E02001895,91.4,1.6,7
E02001896,76.3,3.6,20.1
E02001897,75.9,3.5,20.6
E02001898,94.5,0.9,4.6
E02001899,86.5,3.3,10.3
E02001900,76.9,3.3,19.9
E02001901,83.1,3.8,13.1
E02001902,89.5,1.3,9.2
E02001903,80.9,3.5,15.5
E02001904,78.9,1.9,19.2
E02001905,76,4.1,19.9
E02001906,88.9,2,9.2
E02001907,90.7,1.4,7.9
E02001908,80.1,2.9,17
E02001909,81.9,2.5,15.5
E02001910,82.4,2.7,14.9
E02001911,80.8,2.6,16.5
E02001913,75,3.5,21.5
E02001914,85,3.8,11.2
E02001915,84.6,2.4,12.9
E02001916,81.7,2.8,15.4
E02001918,83,3.7,13.2
E02001919,86.5,3.9,9.6
E02001920,89.2,1.7,9.1
E02001921,83.5,3.1,13.4
E02001922,82,3.6,14.4
E02001923,84,3.7,12.3
E02001924,88,2.4,9.6
E02001925,82.3,3.7,14.1
E02001926,81.9,3.7,14.4
E02001927,87.8,1.8,10.4
E02001928,91.4,1.3,7.3
E02001929,86.2,2,11.8
E02001930,86.1,3.9,10
E02001931,89.1,3.2,7.7
E02001932,90.3,1.3,8.4
E02001933,88.3,3,8.8
E02001934,87.2,3.3,9.6
E02001935,88.5,2.6,8.9
E02001936,89.5,3.2,7.3
E02001937,88,2.4,9.7
E02001938,88.1,2.9,9
E02001939,90.7,2,7.4
E02001941,90.1,1.5,8.4
E02001942,89.2,2.4,8.3
E02001943,92.1,1.2,6.7
E02001944,90.6,2.2,7.1
E02001945,90.7,1.8,7.5
E02001946,91.7,1.6,6.7
E02001947,88.9,1.7,9.4
E02001948,94.1,0.8,5.1
E02001949,91.9,1.4,6.7
E02001950,92.3,1,6.6
E02001951,93.7,1,5.3
E02001952,90.4,1.3,8.3
E02001953,93.4,1.3,5.3
E02001954,90.9,1.4,7.7
E02001955,92.9,1,6.1
E02001956,95.1,1,3.9
E02001957,94.6,0.8,4.7
E02001958,82.9,1.4,15.7
E02001959,84.7,1.6,13.7
E02001961,80.1,1.7,18.2
E02001962,71.2,3.1,25.8
E02001963,91,1.5,7.5
E02001964,76.2,2.4,21.4
E02001965,85.8,1.9,12.3
E02001966,67.8,3.2,29
E02001967,93.9,1.2,4.9
E02001968,77.2,2.4,20.5
E02001969,78.3,2.7,19
E02001970,83.8,1.9,14.2
E02001971,86.6,1.7,11.8
E02001972,67.3,3.8,28.9
E02001973,74,2.4,23.6
E02001974,88.8,1.9,9.2
E02001975,86.2,1.5,12.3
E02001976,82.3,2.1,15.6
E02001977,66.2,2.8,30.9
E02001978,76.9,2.3,20.8
E02001979,93.6,1.3,5
E02001980,93.4,1.4,5.3
E02001981,63.2,3.4,33.4
E02001982,93.4,1.1,5.5
E02001983,89.1,1.2,9.7
E02001984,79.4,2.4,18.2
E02001985,60.7,3.5,35.8
E02001986,86.3,1.8,11.9
E02001987,74.7,3.7,21.6
E02001988,56.9,4,39.1
E02001989,85,2,13.1
E02001990,91,1.8,7.2
E02001991,86.8,2.7,10.5
E02001992,81.5,1.9,16.6
E02001993,80.6,3,16.3
E02001994,80.6,3.1,16.3
E02001995,68.5,3.6,27.9
E02001996,78.6,2.3,19.1
E02001997,90.8,2.6,6.6
E02001998,89.2,2.8,8
E02001999,75.1,4.6,20.4
E02002021,91,1.3,7.7
E02002022,97.2,0.6,2.2
E02002023,98.3,0.5,1.3
E02002024,96.7,0.8,2.5
E02002025,92.7,1.3,6
E02002026,98.1,0.3,1.6
E02002027,98.5,0.4,1.1
E02002028,98.1,0.7,1.2
E02002029,96.4,0.7,2.9
E02002030,96.5,0.6,2.9
E02002031,92.6,1,6.4
E02002032,96.1,0.5,3.4
E02002033,96.4,0.8,2.8
E02002034,95.6,1.1,3.3
E02002035,97.3,0.7,2
E02002036,91.4,1.2,7.4
E02002037,97.5,0.8,1.7
E02002038,95.6,0.8,3.6
E02002039,95.3,1.2,3.5
E02002040,96.8,1,2.2
E02002041,96.7,0.9,2.3
E02002042,97.5,0.5,1.9
E02002074,89,1.8,9.3
E02002075,92.4,1,6.6
E02002076,79.3,2.7,18
E02002077,93.8,0.9,5.3
E02002078,89.4,1.7,8.9
E02002079,90.9,1.3,7.8
E02002080,95.4,0.6,4
E02002086,95.5,0.8,3.7
E02002087,95.5,0.6,3.9
E02002088,95.5,0.8,3.8
E02002089,96,1,3
E02002090,93.4,1.5,5.1
E02002091,93.8,1.5,4.8
E02002092,93.7,1.1,5.1
E02002093,91.4,1.6,7
E02002094,93.6,1.6,4.8
E02002095,92.5,1.4,6
E02002096,89.6,2.1,8.3
E02002097,95.7,0.9,3.3
E02002098,91.7,2.4,5.9
E02002099,87.7,2.9,9.4
E02002101,95,1.4,3.7
E02002102,91.4,2.2,6.4
E02002103,94.1,1.6,4.4
E02002104,93,2.2,4.8
E02002105,95.8,1.4,2.8
E02002106,95.7,1.2,3.1
