areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02001882,26.4,26.1,25.2,22.3
E02001883,21,23.1,39.3,16.7
E02001884,25.3,25.9,18.3,30.5
E02001886,25.6,25.5,9.7,39.2
E02001888,24.4,31.1,29.1,15.4
E02001889,29,25.2,17.6,28.2
E02001890,20.3,17.7,16.2,45.8
E02001892,21.1,26.6,32,20.3
E02001893,35.5,31,14.2,19.3
E02001895,24.6,26.8,34.7,13.9
E02001896,29.8,18.7,17,34.5
E02001897,15.3,11.4,56.8,16.5
E02001898,42.9,39.1,4.7,13.3
E02001899,40,35.9,8,16.1
E02001900,20.6,15.6,38,25.8
E02001901,28,30.4,9.8,31.8
E02001902,32.5,34.7,11.8,21
E02001903,30.1,15,33.9,21
E02001904,20.9,27.7,18.5,32.9
E02001905,31.2,24.5,5.5,38.8
E02001906,35.9,33.9,12.7,17.4
E02001907,36.2,34.4,10.2,19.2
E02001908,34.8,21.1,15.2,28.8
E02001909,25.1,17.1,30.6,27.3
E02001910,26,13.7,38,22.3
E02001911,20.1,20.9,42.4,16.6
E02001913,19.8,14.7,30.9,34.6
E02001914,32.9,27,16.1,24
E02001915,25.2,28.3,18.9,27.6
E02001916,24.2,31.3,19.3,25.2
E02001918,22.3,21.7,24.8,31.1
E02001919,32.8,24.6,10.3,32.3
E02001920,25.9,23.4,36.4,14.2
E02001921,27.1,26.3,26.5,20.1
E02001922,8.1,8.7,13.1,70
E02001923,36.5,31,10.8,21.7
E02001924,28.9,35.1,19.4,16.5
E02001925,33.1,24.8,20.1,22
E02001926,27.4,27.9,13.1,31.6
E02001927,22.1,27.5,31.9,18.5
E02001928,27.4,23.7,38.5,10.5
E02001929,19.6,28.2,31.4,20.8
E02001930,34.4,33,9,23.6
E02001931,40,31.6,11.5,16.9
E02001932,18.6,26.6,42.9,11.9
E02001933,30,32.6,19.5,17.9
E02001934,41.8,36.9,4.9,16.5
E02001935,33.4,25.1,29.5,12
E02001936,42.2,33.5,12.6,11.8
E02001937,25.2,28.3,30.2,16.4
E02001938,25.1,34.4,14.6,25.9
E02001939,21.4,16.9,50.9,10.8
E02001941,25.6,28.1,28.8,17.6
E02001942,30.6,26.5,22.4,20.6
E02001943,31.2,34,19,15.8
E02001944,29.9,37.4,17.4,15.3
E02001945,20.3,27.5,35.1,17.1
E02001946,40.9,34.3,10,14.9
E02001947,21.4,17.4,50,11.2
E02001948,35.2,37.1,11.6,16.1
E02001949,27.2,31.3,23.7,17.8
E02001950,36,34.1,12.4,17.6
E02001951,18.2,24.2,46.5,11.1
E02001952,18.4,19.8,47.7,14.1
E02001953,39.3,34.2,14.9,11.7
E02001954,19,21.7,47.2,12.2
E02001955,22.4,34.5,25.5,17.6
E02001956,31.7,37,14.1,17.2
E02001957,37.4,36.7,10.8,15.1
E02001958,28.7,29.6,14.1,27.6
E02001959,38.7,34.9,4.5,21.9
E02001961,22.1,23.5,34.8,19.5
E02001962,24,34.1,13.1,28.7
E02001963,39.6,32.7,12.8,14.9
E02001964,13.5,25.3,48.2,13
E02001965,35.5,31.1,14.1,19.2
E02001966,22.9,20.1,19.5,37.5
E02001967,45.3,36.4,6.2,12.1
E02001968,27.5,33.1,6.4,33
E02001969,27.3,26.6,17.1,29
E02001970,41.5,30.7,6.3,21.5
E02001971,38.6,36.9,7.8,16.7
E02001972,17.6,16.1,29.6,36.7
E02001973,22.7,23,25.8,28.4
E02001974,39.4,37.9,2.3,20.5
E02001975,36.6,38.5,2.5,22.4
E02001976,31.3,24.3,19.1,25.4
E02001977,13.9,15.3,23.7,47.1
E02001978,34.4,30.7,3.4,31.5
E02001979,46.1,38.7,2.1,13.1
E02001980,53.8,32.9,1.4,11.9
E02001981,12.7,9.9,35.4,42
E02001982,31.1,39,13.3,16.6
E02001983,36.3,36.1,9,18.6
E02001984,30.2,36.4,8.1,25.2
E02001985,14.4,8,15.6,62.1
E02001986,25.5,22.7,36.3,15.5
E02001987,22.8,22.9,6.9,47.4
E02001988,12.8,10.9,31.3,45
E02001989,33.6,35.5,7.4,23.5
E02001990,44.9,38.1,3.7,13.4
E02001991,44.7,30.1,4.9,20.3
E02001992,23,26.8,37.2,12.9
E02001993,24.7,23.8,31,20.5
E02001994,36.5,30.6,10.9,22
E02001995,23.6,29.1,10.1,37.1
E02001996,17.1,19.6,50,13.2
E02001997,50.5,32.8,6.2,10.4
E02001998,49.4,37,1.6,12
E02001999,44.5,27,7.9,20.6
E02002021,18.6,18.4,36.6,26.4
E02002022,25.9,33.4,25,15.7
E02002023,45.4,32.7,11.1,10.8
E02002024,35.1,34.3,16.9,13.8
E02002025,32.7,35,14.1,18.2
E02002026,48,37.7,5.1,9.2
E02002027,46.9,40.9,1.4,10.8
E02002028,44.5,30.1,15.5,9.9
E02002029,46.8,33.4,7.2,12.6
E02002030,32.7,30.3,24.1,12.9
