areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02001882,33.9,22.9,14.3,28.9
E02001883,36.2,27.8,15.3,20.7
E02001884,15.8,13,12.2,59
E02001886,31.8,23.9,13.5,30.8
E02001888,26.6,26.5,17.7,29.3
E02001889,15.7,15.8,13.2,55.3
E02001890,44.7,27.3,12.6,15.4
E02001892,22.7,18.9,16,42.4
E02001893,28.5,26.4,15.6,29.6
E02001895,31.2,28.6,17,23.3
E02001896,18.8,14.5,13.3,53.3
E02001897,36.8,17.3,12.4,33.5
E02001898,28.5,32,17.2,22.3
E02001899,32.6,31.1,14.8,21.5
E02001900,40.5,25.1,13.4,21.1
E02001901,36.4,33.6,14.6,15.4
E02001902,27.9,28.7,19.4,24
E02001903,20.9,14.2,15.2,49.7
E02001904,28.6,22.8,14.1,34.4
E02001905,34.1,32.3,14.5,19.1
E02001906,28.4,31.6,17.6,22.4
E02001907,32.1,31.7,16.6,19.6
E02001908,16.8,13.6,12.8,56.8
E02001909,26,16.8,12.8,44.5
E02001910,34.8,18.5,11.3,35.4
E02001911,34.5,25.1,17.1,23.3
E02001913,39.1,28.1,13.5,19.2
E02001914,28.4,24.1,13.1,34.4
E02001915,37.5,26.1,14.8,21.6
E02001916,27.3,22.8,17.3,32.7
E02001918,48.2,26.6,9.3,15.9
E02001919,43.5,22,9.5,25
E02001920,34,29.3,16.6,20
E02001921,30.6,29.9,18.6,21
E02001922,17.7,15.7,12.6,54
E02001923,24.7,20.5,13.6,41.2
E02001924,28,24.1,16.5,31.4
E02001925,35,29.9,14.4,20.7
E02001926,31.7,31.1,15.4,21.7
E02001927,31.3,27.2,17.2,24.3
E02001928,35.8,30,16.8,17.3
E02001929,26.1,24.8,18.2,31
E02001930,31.5,32.9,14.9,20.7
E02001931,29.8,27.7,14.7,27.7
E02001932,34.6,27.2,15.9,22.3
E02001933,32.8,28.9,15.9,22.4
E02001934,21.5,24.9,15.9,37.7
E02001935,29.9,29.8,17.9,22.4
E02001936,27.8,31.6,16.1,24.5
E02001937,33.3,25,15.8,25.9
E02001938,33.6,34.9,15.2,16.2
E02001939,44.4,29.6,12.4,13.6
E02001941,30.6,27.2,18.3,23.9
E02001942,36.8,30.2,15.8,17.2
E02001943,31.5,29.7,15.6,23.2
E02001944,32.8,30.3,16.4,20.5
E02001945,27.9,28.6,18.1,25.4
E02001946,30.1,34.1,16.3,19.4
E02001947,38.2,27.6,15,19.3
E02001948,30.6,31.3,18.1,20
E02001949,32.9,33.2,16.4,17.5
E02001950,30.7,34.3,16.7,18.3
E02001951,32.8,29.1,17.6,20.5
E02001952,39.9,27.3,15.5,17.3
E02001953,28.8,35.5,15.2,20.5
E02001954,37.2,26.9,16.1,19.8
E02001955,35,30.1,16.9,18.1
E02001956,30.8,31,18,20.2
E02001957,28.8,34.5,18.8,17.9
E02001958,34.6,28.2,16.1,21.2
E02001959,22.9,30.4,19.8,26.9
E02001961,32.4,28.3,17.1,22.1
E02001962,23.8,24.8,19.1,32.3
E02001963,29.8,31.8,16.1,22.3
