areacd,heating_type_3a-001,heating_type_3a-002
E02001882,1.9,98.1
E02001883,2.6,97.4
E02001884,2.6,97.4
E02001886,2.7,97.3
E02001888,2.4,97.6
E02001889,2.4,97.6
E02001890,2.7,97.3
E02001892,2.9,97.1
E02001893,2.7,97.3
E02001895,3,97
E02001896,2.9,97.1
E02001897,3.6,96.4
E02001898,1.2,98.8
E02001899,1.3,98.7
E02001900,2.6,97.4
E02001901,2,98
E02001902,2.3,97.7
E02001903,3,97
E02001904,4,96
E02001905,2.2,97.8
E02001906,1.6,98.4
E02001907,2.2,97.8
E02001908,2.5,97.5
E02001909,2.3,97.7
E02001910,2.6,97.4
E02001911,2.7,97.3
E02001913,2.5,97.5
E02001914,1,99
E02001915,2.2,97.8
E02001916,3.4,96.6
E02001918,2.7,97.3
E02001919,3.5,96.5
E02001920,2.4,97.6
E02001921,2.2,97.8
E02001922,1.3,98.7
E02001923,1.9,98.1
E02001924,2.6,97.4
E02001925,1.4,98.6
E02001926,2.3,97.7
E02001927,2.1,97.9
E02001928,2,98
E02001929,2.5,97.5
E02001930,2.3,97.7
E02001931,1.3,98.7
E02001932,1.9,98.1
E02001933,2.6,97.4
E02001934,1,99
E02001935,1.1,98.9
E02001936,1.6,98.4
E02001937,2.5,97.5
E02001938,1.6,98.4
E02001939,1.4,98.6
E02001941,2.3,97.7
E02001942,3.2,96.8
E02001943,2,98
E02001944,1.6,98.4
E02001945,2.8,97.2
E02001946,2,98
E02001947,2.7,97.3
E02001948,2.2,97.8
E02001949,2.2,97.8
E02001950,2.3,97.7
E02001951,1.3,98.7
E02001952,2.6,97.4
E02001953,1.6,98.4
E02001954,2,98
E02001955,1.2,98.8
E02001956,1.6,98.4
E02001957,1.7,98.3
E02001958,2.8,97.2
E02001959,1.2,98.8
E02001961,2.4,97.6
E02001962,1.8,98.2
E02001963,2.1,97.9
E02001964,1.6,98.4
E02001965,1.6,98.4
E02001966,2.4,97.6
E02001967,1.5,98.5
E02001968,2.3,97.7
E02001969,2.3,97.7
E02001970,2.1,97.9
E02001971,1.6,98.4
E02001972,2.3,97.7
E02001973,2.3,97.7
E02001974,1.8,98.2
E02001975,1.9,98.1
E02001976,1.7,98.3
E02001977,3.2,96.8
E02001978,2,98
E02001979,1.8,98.2
E02001980,1.2,98.8
E02001981,2.5,97.5
E02001982,1,99
E02001983,1.9,98.1
E02001984,1.7,98.3
E02001985,3.2,96.8
E02001986,2,98
E02001987,2.7,97.3
E02001988,3.1,96.9
E02001989,1.3,98.7
E02001990,1,99
E02001991,1.5,98.5
E02001992,1.8,98.2
E02001993,1.2,98.8
E02001994,1.7,98.3
E02001995,2.5,97.5
E02001996,2.1,97.9
E02001997,0.9,99.1
E02001998,0.9,99.1
E02001999,1.1,98.9
E02002021,3.1,96.9
E02002022,2.1,97.9
E02002023,1.5,98.5
E02002024,1.6,98.4
E02002025,1.6,98.4
E02002026,2.5,97.5
E02002027,1.6,98.4
E02002028,1.4,98.6
E02002029,0.7,99.3
E02002030,1.3,98.7
E02002031,2.3,97.7
E02002032,1.8,98.2
E02002033,1.4,98.6
E02002034,1.6,98.4
E02002035,1,99
E02002036,2,98
E02002037,0.8,99.2
E02002038,1.3,98.7
E02002039,1,99
E02002040,0.6,99.4
E02002041,0.7,99.3
E02002042,0.6,99.4
E02002074,1.8,98.2
E02002075,1.5,98.5
E02002076,2.3,97.7
E02002077,1.5,98.5
E02002078,1.1,98.9
E02002079,1.9,98.1
E02002080,1.6,98.4
E02002086,1.9,98.1
E02002087,1.6,98.4
E02002088,1.3,98.7
E02002089,1.2,98.8
E02002090,1.3,98.7
E02002091,1.5,98.5
E02002092,1.6,98.4
E02002093,1.6,98.4
E02002094,0.8,99.2
E02002095,1,99
E02002096,0.9,99.1
E02002097,0.7,99.3
E02002098,1.2,98.8
E02002099,0.3,99.7
E02002101,1.4,98.6
E02002102,1.5,98.5
E02002103,0.6,99.4
E02002104,0.5,99.5
E02002105,0.5,99.5
E02002106,0.6,99.4
E02002107,0.4,99.6
E02002108,0.5,99.5
E02002109,0.9,99.1
E02002905,2.8,97.2
E02002906,2.1,97.9
E02002907,2.1,97.9
E02002908,2.4,97.6
E02002909,2.6,97.4
E02002911,1.4,98.6
E02002912,1,99
E02002913,1.1,98.9
E02002914,2.6,97.4
E02002915,1.2,98.8
E02002916,2.2,97.8
E02002917,0.9,99.1
E02002918,1,99
E02002919,1.5,98.5
E02002920,1.3,98.7
E02002921,1.7,98.3
E02002922,2.4,97.6
E02002923,1.3,98.7
E02002925,1.9,98.1
E02002926,1.5,98.5
E02002927,1.7,98.3
E02003212,0.8,99.2
E02004600,2,98
E02004601,0.5,99.5
E02004602,1.4,98.6
E02004603,2,98
E02004604,1,99
E02004605,1.7,98.3
E02004606,1.4,98.6
E02004607,1.6,98.4
E02004608,1.8,98.2
E02004609,1.2,98.8
E02004610,1.2,98.8
E02004611,0.8,99.2
E02004612,0.8,99.2
E02004613,0.8,99.2
E02004614,1.2,98.8
E02004615,0.9,99.1
E02004616,0.7,99.3
E02004617,1.3,98.7
E02004618,1.4,98.6
E02004619,1.2,98.8
E02004620,0.8,99.2
