geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00001062,62.5,4.3,33.2
E00001063,59.8,4.2,35.9
E00001064,59.8,4.2,36
E00001065,58.3,1.8,39.9
E00001066,60.1,3.4,36.5
E00001067,54.4,3.2,42.3
E00001068,59.9,1.9,38.2
E00001069,38.3,2.1,59.5
E00001071,58.3,1.7,40
E00001072,68,2.1,29.9
E00001073,63.6,4,32.4
E00001074,61.6,5,33.4
E00001075,64.2,4.8,30.9
E00001076,50.8,5.7,43.5
E00001077,67.4,4.3,28.3
E00001078,43.3,10.7,46
E00001079,43.8,10.9,45.3
E00001081,48.4,5.4,46.3
E00001082,55.6,5.7,38.7
E00001083,57.1,6.9,36
E00001084,53.4,7.1,39.5
E00001085,46.5,2.5,51
E00001086,50.6,5.6,43.9
E00001087,54.4,5.1,40.5
E00001089,53.1,4.9,42
E00001090,50.9,3.5,45.6
E00001091,57.5,3.6,38.9
E00001092,53.2,5,41.8
E00001093,60.5,2.4,37.1
E00001094,59.5,1.4,39.1
E00001095,65.1,3.6,31.3
E00001096,48,3,49
E00001097,58.6,4,37.4
E00001098,65.3,3,31.7
E00001099,59,4.4,36.6
E00001100,54,0,46
E00001101,57.5,5.7,36.8
E00001102,56,3.4,40.6
E00001103,65.9,1.3,32.8
E00001104,48.3,2.1,49.7
E00001105,62.7,2.9,34.4
E00001106,61.3,3.2,35.5
E00001107,60.5,5.4,34.1
E00001109,57.1,4.1,38.9
E00001111,61.3,6.8,31.9
E00001112,58.8,9.2,32
E00001113,55.1,5.9,39
E00001114,57.9,2.1,40
E00001135,67.7,0.4,31.9
E00001141,70.6,3.2,26.2
E00001142,63.6,4.2,32.2
E00001143,66.3,3.7,30
E00001144,68.1,5.5,26.4
E00001149,68.7,0.4,30.9
E00001150,62.9,2.1,35
E00001151,65.8,4.6,29.7
E00001152,65.8,4.9,29.3
E00001153,67.3,2.2,30.6
E00001155,52.4,5.3,42.3
E00001156,47.6,4.9,47.6
E00001157,65.4,4.2,30.4
E00001158,60.4,7.4,32.1
E00001159,63.9,7,29.1
E00001160,66.4,5.5,28.1
E00001161,65.3,7.4,27.4
E00001162,46.8,10.2,42.9
E00001163,73.9,3.6,22.5
E00001164,64.9,5.4,29.8
E00001165,63.4,6.2,30.5
E00001166,61.1,7.8,31.1
E00001167,58.4,3.9,37.6
E00001168,63.2,2.8,34
E00001169,55.4,4.3,40.3
E00001170,49.3,12.3,38.4
E00001171,52.4,2.9,44.7
E00001172,61.2,3.8,34.9
E00001173,66,1.8,32.2
E00001174,60.3,10.4,29.3
E00001175,52.4,4.8,42.7
E00001176,63,2.1,34.9
E00001177,65.5,6,28.5
E00001178,63,3.6,33.4
E00001179,57.8,3.1,39.1
E00001180,55,4.1,40.9
E00001181,59.5,4.1,36.4
E00001182,63.9,2.5,33.6
E00001183,58.9,1.3,39.8
E00001184,66.6,6.4,27.1
E00001185,59.5,3.4,37.1
E00001186,58.3,4,37.8
E00001187,54.8,6,39.2
E00001188,70.3,6.1,23.6
E00001189,62.1,3.2,34.8
E00001191,59.1,4.1,36.9
E00001192,58.1,4.3,37.6
E00001193,58.8,4.9,36.2
E00001194,61.3,4.6,34.2
E00001195,58.1,0,41.9
E00001196,68.1,7.2,24.6
E00001197,62.9,4.4,32.7
E00001198,50.6,7.6,41.8
E00001199,63.7,7.6,28.7
E00001200,52.2,5.1,42.7
E00001201,64.1,3.9,32
E00001202,59.7,5.5,34.8
E00001203,73.6,1.8,24.5
E00001204,63,2.8,34.3
E00001205,54.1,11.8,34.1
E00001255,60.4,3.3,36.3
E00001256,62.4,1.5,36.2
E00001257,60,1,39
E00001258,65.4,3.1,31.6
E00001261,64.8,3.7,31.5
E00001262,63,1.5,35.5
E00001265,51.6,3.3,45.1
E00001268,60,3.6,36.4
E00001269,61.4,4.5,34.1
E00001270,79,4.8,16.1
