areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E06000001,23.1,42.6,7,24.8,2.5
E06000002,23.9,40.8,6.2,26.4,2.7
E06000003,22,42.7,7.7,24.9,2.6
E06000004,18.6,42.6,6.7,29.5,2.5
E06000005,19.3,42.2,7.1,29,2.6
E06000006,21,46.9,5.5,23.9,2.6
E06000007,16.5,42,6,33,2.6
E06000008,24.2,40.5,5.5,26.8,3
E06000009,24.6,43.4,6.8,22.5,2.7
E06000010,25.3,42.9,6.9,21.7,3.2
E06000011,18.2,41.3,7.2,30.5,2.8
E06000012,24.2,44.6,6.5,21.6,3
E06000013,21.8,44,7.1,23.9,3.1
E06000014,13.3,40.5,5.2,38.8,2.1
E06000015,20.1,40.9,6.2,29.7,3
E06000016,26.7,38.5,3.8,26.8,4.3
E06000017,13.1,41,5.6,37.9,2.3
E06000018,19.5,45.1,4.1,28.6,2.7
E06000019,18,40.6,5.9,32.7,2.8
E06000020,20,45.5,5.5,26.1,2.9
E06000021,25.9,42.6,6.9,21.8,2.8
E06000022,12.3,41.1,4.7,39.8,2.2
E06000023,14.5,37.2,3.9,42.1,2.2
E06000024,14.9,42.6,6,33.9,2.6
E06000025,14.2,44,6.4,33,2.4
E06000026,17.3,45.5,7.2,27.5,2.4
E06000027,19.8,44.4,7.4,25.3,3
E06000030,17.3,45.5,5.8,27.9,3.4
E06000031,22.4,42.1,5.5,26.2,3.7
E06000032,22.9,38.5,4.8,29.8,4
E06000033,19.7,45.1,5.1,27.2,2.9
E06000034,21.6,44,5,26.2,3.2
E06000035,19.4,45.9,6.1,25.6,3
E06000036,13.2,43.4,5.2,35.6,2.6
E06000037,14.1,41.3,5.2,37,2.4
E06000038,15.8,36.6,4.1,40.4,3
E06000039,20.2,36.4,4.2,34.8,4.4
E06000040,12.6,35.8,4.1,45,2.5
E06000041,10.4,37,4.1,46.2,2.3
E06000042,15.8,40.8,4.7,35.8,2.9
E06000043,12.4,37.4,3.4,44.5,2.3
E06000044,17.4,44.6,5.3,30,2.7
E06000045,17.3,42.6,5.4,31.6,3
E06000046,18.5,43.7,7.5,27.4,2.9
E06000047,20.9,43.7,6.2,26.7,2.4
E06000049,15,39.2,5.9,37.6,2.3
E06000050,15.8,40.8,5.4,35.7,2.3
E06000051,16.7,42,6.1,32.5,2.6
E06000052,16.3,44,6.6,30.6,2.5
E06000053,12.3,42.3,5.1,37.9,2.4
E06000054,14.4,43.4,5.6,34.2,2.4
E06000055,16.8,40,5.6,34.7,2.9
E06000056,15,43.4,5.9,33.2,2.4
E06000057,17.9,41.9,6.9,30.7,2.5
E06000058,15.9,43.1,6,32.1,2.9
E06000059,15.8,43.1,6.8,31.5,2.8
E06000060,13.8,38,4.8,41,2.4
E06000061,19.9,44,6.3,26.7,3.1
E06000062,17.4,42.1,5.8,31.8,3
E07000008,9.6,29.9,2.6,55.8,2.1
E07000009,16.6,39.7,6.1,35,2.6
E07000010,25.8,45,6.8,19,3.4
E07000011,15.6,42.8,5.5,33.4,2.6
E07000012,11.8,33.6,4.6,47.8,2.1
E07000026,20.6,41,7.5,28.4,2.5
E07000027,18.5,43.6,10.9,24.8,2.3
E07000028,19.9,42.7,7.1,27.9,2.5
E07000029,21.2,42.3,8.1,26,2.5
E07000030,17.3,41.1,6.7,32.6,2.3
E07000031,13.8,38.2,7,38.6,2.3
E07000032,19.7,42.6,6.7,28.8,2.3
E07000033,24.2,44.6,6.8,21.7,2.7
E07000034,20.2,44,6.4,26.8,2.5
E07000035,15.7,37.7,5.2,39.2,2.2
E07000036,19.8,44.4,7.5,25.9,2.5
E07000037,14.9,41.3,6.1,35.6,2.2
E07000038,20,43.1,6.8,27.6,2.4
E07000039,16,43.5,6.3,31.8,2.4
E07000040,15.1,41.9,6.4,33.8,2.7
E07000041,13.5,44.7,4.8,34.7,2.3
E07000042,17,43.7,6,30.7,2.6
E07000043,17.8,44.3,6.8,28.5,2.6
E07000044,13,38.9,5.9,39.9,2.5
E07000045,15.7,42.3,6.5,32.8,2.7
E07000046,18.8,44.9,7.3,26.2,2.8
E07000047,15.6,41.5,6.3,34.1,2.6
E07000061,18.4,42.8,5.7,29.8,3.3
E07000062,20.1,43.4,5.1,28.6,2.8
E07000063,16.1,41,5.4,34.8,2.7
E07000064,18.9,42.2,5.9,29.9,3.1
E07000065,14.9,44,5.8,32.6,2.7
E07000066,20.7,46.6,5.4,24.6,2.7
E07000067,18.4,47.2,5.9,25.8,2.7
E07000068,15.1,42.2,4.7,35.4,2.6
E07000069,23.9,47.6,6.8,18.5,3.3
E07000070,15.2,43.1,5.2,33.9,2.6
E07000071,15.4,44.6,5.2,32.2,2.6
E07000072,18.9,41,5,32.4,2.7
