areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E06000001,97.7,0.8,0.3,1.1
E06000002,91.4,2.9,1.1,4.5
E06000003,98.7,0.6,0.1,0.6
E06000004,96.3,1.6,0.5,1.6
E06000005,95.4,1.4,0.6,2.6
E06000006,97,0.9,0.4,1.7
E06000007,93.7,1.8,0.8,3.7
E06000008,83.5,8.6,1.7,6.2
E06000009,95.1,1.5,0.6,2.8
E06000010,89.7,2.3,1.4,6.6
E06000011,97.4,1,0.4,1.2
E06000012,95.9,1.2,0.6,2.4
E06000013,93.4,1.9,0.9,3.8
E06000014,94.3,2.5,0.6,2.6
E06000015,85.5,5.5,1.9,7.1
E06000016,65,11.9,4.3,18.8
E06000017,97.7,1.2,0.4,0.7
E06000018,82.9,5.7,2.4,8.9
E06000019,94.8,1.5,0.8,2.9
E06000020,92.7,2.5,1,3.8
E06000021,89.9,3.4,1.5,5.3
E06000022,93.8,3,0.6,2.6
E06000023,87.5,5.3,1.4,5.7
E06000024,95.2,1.8,0.6,2.4
E06000025,93.7,2.4,0.9,2.9
E06000026,94.7,1.9,0.7,2.7
E06000027,96.4,1.6,0.4,1.6
E06000030,88.8,3.8,1.7,5.7
E06000031,77.4,6.8,3.7,12.1
E06000032,69.9,12.7,4.2,13.2
E06000033,92.8,2.9,1.1,3.2
E06000034,87,4.1,2.5,6.4
E06000035,92.3,3.1,1.2,3.4
E06000036,91,3.9,1.4,3.7
E06000037,94,2.5,0.8,2.6
E06000038,78.2,7.8,2.7,11.2
E06000039,63.2,15.5,5.8,15.4
E06000040,88.4,5.7,1.4,4.5
E06000041,90.2,4.2,2,3.7
E06000042,85.1,5.4,2.5,7
E06000043,88.1,5.4,1,5.4
E06000044,89.3,4.1,1.4,5.3
E06000045,83,5.4,2.2,9.4
E06000046,97.7,1.1,0.3,0.9
E06000047,97.8,0.8,0.3,1.1
E06000049,95.3,1.6,0.5,2.5
E06000050,95.9,1.7,0.5,1.9
E06000051,97.1,1.3,0.3,1.4
E06000052,97.6,1.2,0.2,0.9
E06000053,97.1,1.3,0.1,1.5
E06000054,95.9,1.8,0.6,1.8
E06000055,85.4,5.8,1.9,7
E06000056,94.2,2.4,0.9,2.5
E06000057,98.5,0.7,0.2,0.6
E06000058,90.3,3.6,1.2,4.8
E06000059,97.7,1.2,0.3,0.8
E06000060,90.8,4.5,1.3,3.5
E06000061,90,2.8,1.5,5.7
E06000062,88.1,3.6,1.7,6.6
E07000008,74.8,10.8,2.5,11.9
E07000009,94,2.3,0.9,2.8
E07000010,90.9,2.1,1.4,5.6
E07000011,93.7,2.4,0.9,3.1
E07000012,91,3.8,1.4,3.8
E07000026,98.5,0.7,0.2,0.6
E07000027,98,0.7,0.2,1
E07000028,95.9,1.2,0.5,2.5
E07000029,98.6,0.7,0.1,0.6
E07000030,97.4,1,0.3,1.2
E07000031,97.1,1.3,0.3,1.3
E07000032,98,0.8,0.3,0.9
E07000033,96.1,1,0.4,2.5
E07000034,97.2,1.1,0.4,1.3
E07000035,98.7,0.8,0.1,0.4
E07000036,97.1,1.1,0.3,1.5
E07000037,98.1,1.1,0.2,0.6
E07000038,98.5,0.7,0.2,0.6
E07000039,96.3,1.6,0.4,1.7
E07000040,97.6,1.3,0.3,0.8
E07000041,91,3.7,1,4.2
E07000042,96.9,1.2,0.4,1.5
E07000043,97.7,1,0.2,1
E07000044,98.1,1.3,0.2,0.4
E07000045,98.1,1.1,0.2,0.6
E07000046,98.7,0.7,0.2,0.4
E07000047,98.3,1,0.1,0.6
E07000061,91.3,3.4,1.3,4
E07000062,93.6,2.5,0.9,3
E07000063,96,2.1,0.5,1.3
E07000064,97.5,1.4,0.2,0.8
E07000065,97.4,1.6,0.3,0.8
E07000066,93.8,2.3,1.2,2.8
E07000067,96.3,1.7,0.5,1.5
E07000068,94.8,2.3,0.7,2.1
E07000069,97.9,1.2,0.2,0.7
E07000070,93.9,2.6,0.9,2.7
E07000071,92.2,3.1,1,3.6
E07000072,92.4,3.7,1.1,2.8
E07000073,88.1,4,2,5.9
E07000074,98.3,1.1,0.2,0.5
E07000075,98.4,1,0.1,0.5
E07000076,97.7,1.1,0.3,0.9
E07000077,95.9,2.1,0.6,1.5
E07000078,92.1,2.9,1,4
E07000079,97.2,1.5,0.3,1
E07000080,97.8,0.9,0.2,1
E07000081,90.7,3.1,1.4,4.8
E07000082,97.4,1.4,0.3,0.9
E07000083,96.1,1.5,0.7,1.7
E07000084,92.1,2.9,1.2,3.8
E07000085,96.2,1.9,0.4,1.4
E07000086,95.3,2.2,0.7,1.8
E07000087,97.3,1.6,0.3,0.8
E07000088,97.1,1.5,0.4,1.1
E07000089,95.2,2.5,0.7,1.7
E07000090,97.3,1.3,0.3,1
E07000091,97.4,1.4,0.3,0.9
E07000092,85.4,4.7,2,7.8
E07000093,94.9,2.2,0.8,2.1
E07000094,95.4,2.4,0.5,1.7
E07000095,88.5,4.5,1.7,5.2
E07000096,92.5,3.1,1.2,3.1
E07000098,87.4,5.2,2.2,5.2
E07000099,94,2.9,0.7,2.4
E07000102,90.4,4.2,1.5,3.8
E07000103,76.8,8.8,3.6,10.8
E07000105,92.8,2.8,1.1,3.3
E07000106,93.6,3.1,0.7,2.6
E07000107,89,3.9,2.2,4.9
E07000108,95.8,1.7,0.7,1.8
E07000109,86.5,5,2.1,6.4
E07000110,91.7,2.8,1.4,4.2
E07000111,95.3,2.5,0.8,1.4
