areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E07000189,4.5,30.1,65.4
E07000192,4.1,28.9,67
E07000193,5.4,28.8,65.8
E07000194,3.8,27.7,68.5
E07000195,4.7,31.1,64.2
E07000196,3.7,27.2,69
E07000197,3.7,29.6,66.7
E07000198,3.5,29.6,66.9
E07000199,4.8,26.7,68.5
E07000200,3.9,28.3,67.7
E07000202,6,32.4,61.6
E07000203,4,27,69
E07000207,4.9,26.9,68.1
E07000208,6.9,24.3,68.7
E07000209,8.5,26.6,64.9
E07000210,4.6,29.8,65.6
E07000211,5.8,26.4,67.8
E07000212,8.4,28.5,63.1
E07000213,7.2,27.9,64.9
E07000214,6.2,25.2,68.7
E07000215,5.3,27.2,67.4
E07000216,4.7,27.9,67.4
E07000217,7,26.8,66.2
E07000218,4.9,27.7,67.4
E07000219,5.3,28.9,65.8
E07000220,5.9,27.2,66.9
E07000221,4.2,29.1,66.7
E07000222,6.8,30.3,62.8
E07000223,6.1,30.4,63.5
E07000224,5.7,31.3,62.9
E07000225,5.4,31.1,63.5
E07000226,9.9,25.3,64.8
E07000227,4.4,28.1,67.5
E07000228,4.7,27.5,67.8
E07000229,5.7,33.8,60.5
E07000234,3.8,27.4,68.8
E07000235,4.2,29.5,66.2
E07000236,5.6,27.8,66.6
E07000237,6.5,31.7,61.9
E07000238,4.4,27.6,67.9
E07000239,4.1,31.7,64.1
E07000240,4.6,26.3,69.1
E07000241,8.4,28,63.7
E07000242,4.6,27.3,68.1
E07000243,6.4,28.9,64.6
E07000244,3.9,32.3,63.8
E07000245,4.7,32.4,63
E07000246,4.7,32,63.3
E08000001,5.8,30.7,63.5
E08000002,5,30.8,64.2
E08000003,12.7,33.3,53.9
E08000004,6.6,29.4,64
E08000005,5.9,30.6,63.5
E08000006,8.5,34,57.5
E08000007,4.4,31.1,64.4
E08000008,4.8,32.5,62.7
E08000009,5.1,29.5,65.4
E08000010,3.9,30.7,65.4
E08000011,4.9,31.2,63.9
E08000012,7.7,36.8,55.5
E08000013,3.8,31.6,64.6
E08000014,4.7,33.7,61.5
E08000015,4.1,34.7,61.2
E08000016,4,30.8,65.2
E08000017,4.7,31.2,64.1
E08000018,4.1,30,65.9
E08000019,6.7,32.7,60.7
E08000021,9,34.2,56.7
E08000022,3,34.9,62.1
E08000023,3,36,61.1
E08000024,3.6,33,63.3
E08000025,9.9,31.5,58.6
E08000026,9.5,30.4,60.1
E08000027,4.4,30.4,65.1
E08000028,8.3,29.2,62.4
E08000029,4.7,28.9,66.4
E08000030,6.3,28.6,65.1
E08000031,7.4,30.9,61.7
E08000032,7.1,30.8,62.1
E08000033,4.4,33.5,62.1
E08000034,5.3,31,63.7
E08000035,7.4,32.6,60
E08000036,4.3,30.3,65.4
E08000037,3.8,34.6,61.6
E09000001,8.7,51,40.3
E09000002,13.4,23.7,62.9
E09000003,10.8,28,61.3
E09000004,8,26,66
E09000005,17.1,27,55.9
E09000006,6.1,28.5,65.5
E09000007,12,38.7,49.3
E09000008,9.9,28.2,61.9
E09000009,14.4,26.7,58.9
E09000010,10.6,25.8,63.6
E09000011,11.2,29.9,59
E09000012,15.3,32.9,51.8
E09000013,14,36.1,49.9
E09000014,13.7,30.7,55.6
E09000015,14.2,22.1,63.6
E09000016,7.8,25.8,66.4
E09000017,11.6,24.4,64
E09000018,14.5,25.5,60
E09000019,13.4,36.1,50.5
E09000020,10.1,43.7,46.2
E09000021,9.1,27,63.9
E09000022,17.9,32,50.1
E09000023,12.2,30.4,57.5
E09000024,12.7,25,62.2
E09000025,19.8,23.4,56.8
E09000026,14.2,23,62.8
E09000027,6.4,29.6,64
E09000028,15.1,33.1,51.7
E09000029,7.3,27,65.8
E09000030,17.2,32,50.9
E09000031,13.8,25.9,60.3
E09000032,16,29.9,54.1
E09000033,11.7,42.7,45.6
E12000001,4.1,33.7,62.2
E12000002,5.6,32.2,62.2
E12000003,5.4,31.5,63.1
E12000004,6,29.3,64.7
E12000005,6.3,29.9,63.8
E12000006,5.9,28.9,65.2
E12000007,12.7,29.3,58
E12000008,6.6,28.4,65
E12000009,6.2,30.3,63.6
E92000001,6.9,30.1,63
K04000001,6.8,30.2,63
W06000001,3.9,33.1,63.1
W06000002,5.4,34.6,60
W06000003,4.3,34.3,61.4
W06000004,4.4,33.3,62.4
W06000005,4.2,29.1,66.7
W06000006,4.2,30.5,65.3
W06000008,6.6,33,60.4
W06000009,4.3,33.4,62.3
W06000010,4.8,31,64.2
W06000011,5.6,34.4,60
W06000012,3.9,32.7,63.4
W06000013,4.2,29.9,65.8
W06000014,4.3,31.1,64.7
W06000015,9,32.2,58.8
W06000016,4.3,31.1,64.5
W06000018,3.9,30.1,65.9
W06000019,3.5,33.5,63
W06000020,4.1,30.6,65.3
W06000021,4,30,66
W06000022,5.7,30.3,64
W06000023,4.2,33,62.9
W06000024,4.1,32,63.9
W92000004,5,31.9,63.1
