areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E06000001,50.5,4,45.4
E06000002,49.5,5.1,45.4
E06000003,49.5,3.6,46.9
E06000004,54.7,3.7,41.6
E06000005,56,3.4,40.6
E06000006,56.5,3.2,40.3
E06000007,59.7,2.8,37.5
E06000008,53.2,3.8,43
E06000009,51,4.3,44.7
E06000010,55.1,4.8,40.1
E06000011,54.2,2.3,43.5
E06000012,54,3.3,42.7
E06000013,54.7,3,42.3
E06000014,55.9,2.9,41.2
E06000015,55.5,3.9,40.6
E06000016,53.2,5,41.7
E06000017,54.8,1.9,43.4
E06000018,48.8,5.3,45.9
E06000019,56.3,2.3,41.3
E06000020,57.5,3.3,39.2
E06000021,54.7,3.6,41.7
E06000022,55.6,2.9,41.6
E06000023,61.2,3.6,35.2
E06000024,57.5,2.2,40.3
E06000025,62.2,2.5,35.3
E06000026,55.4,3.3,41.4
E06000027,50.4,2.9,46.7
E06000030,63,3.2,33.8
E06000031,60.3,3.7,36.1
E06000032,57.2,5.3,37.6
E06000033,56.9,3.7,39.5
E06000034,63,3.8,33.2
E06000035,59.5,3.6,36.9
E06000036,66.4,3,30.6
E06000037,63,2.4,34.6
E06000038,62.9,4.1,33
E06000039,62,5.1,33
E06000040,61.7,3.1,35.2
E06000041,63.5,2.7,33.8
E06000042,63.8,3.7,32.5
E06000043,59.2,4.6,36.2
E06000044,57.2,4.4,38.3
E06000045,57.9,4.1,38.1
E06000046,48.4,2.9,48.7
E06000047,51.2,3.1,45.7
E06000049,58.4,2.4,39.2
E06000050,57.2,2.8,40
E06000051,56,2.4,41.6
E06000052,53.3,2.6,44.2
E06000053,64.4,0.9,34.8
E06000054,60.2,2.3,37.5
E06000055,61.3,3.3,35.3
E06000056,63.8,2.6,33.6
E06000057,52.4,2.9,44.7
E06000058,55.5,3.3,41.1
E06000059,52.1,2.1,45.7
E06000060,61.6,2.8,35.6
E06000061,61.8,2.7,35.5
E06000062,62.9,3,34.1
E07000008,56.6,2.9,40.5
E07000009,62.6,2.1,35.3
E07000010,55.5,2.7,41.8
E07000011,61.6,2.3,36
E07000012,63.1,2.1,34.8
E07000026,54.9,2.2,42.8
E07000027,55.8,2.7,41.4
E07000028,58,2.5,39.5
E07000029,54.6,2.5,43
E07000030,58.6,1.8,39.6
E07000031,55.9,1.7,42.4
E07000032,57.3,2.3,40.4
E07000033,57.5,2.3,40.2
E07000034,55.3,2.7,42
E07000035,54.4,1.9,43.7
E07000036,58.8,2.7,38.5
E07000037,59,2.5,38.6
E07000038,54.6,2.2,43.2
E07000039,62,2.3,35.7
E07000040,52.4,1.9,45.7
E07000041,53.6,3.2,43.2
E07000042,59.1,2,38.9
E07000043,55,2.4,42.7
E07000044,54.1,1.9,44
E07000045,54.8,2.1,43.1
E07000046,52.2,2.4,45.4
E07000047,52.5,1.9,45.6
E07000061,51.8,3.5,44.7
E07000062,54.7,3.8,41.4
E07000063,53.5,2.8,43.8
E07000064,47.7,2.5,49.8
