areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E06000001,43.3,24,17.4,15.3
E06000002,53.3,13.8,16.8,16.1
E06000003,38.5,26.9,18,16.6
E06000004,45.7,18.4,21.8,14.2
E06000005,41.9,21.2,24.3,12.6
E06000006,42.2,19.8,24.8,13.2
E06000007,38.3,17.8,31.6,12.3
E06000008,47.7,19.2,19.5,13.6
E06000009,53,10.1,20.2,16.6
E06000010,61.1,12,13.2,13.7
E06000011,30.9,29.9,24.7,14.5
E06000012,54.9,15.1,14,16.1
E06000013,42.8,25.7,17.4,14
E06000014,41,11.8,35.5,11.7
E06000015,45.9,18.2,23.5,12.5
E06000016,54.3,14.8,19.1,11.8
E06000017,27.2,25,34.1,13.7
E06000018,48,12.6,25.5,13.8
E06000019,34.9,23.5,25.6,16.1
E06000020,44.1,18.8,23.9,13.2
E06000021,55.4,14.5,15.2,14.9
E06000022,31.4,17.2,38.5,12.9
E06000023,41.3,8,38.6,12.1
E06000024,30.3,23.1,32.6,14
E06000025,35.6,14.8,35.5,14.2
E06000026,54.6,8.9,21.2,15.3
E06000027,47.8,12.8,20.6,18.9
E06000030,43.3,12.6,30.6,13.6
E06000031,46.2,15.5,24.5,13.8
E06000032,38.7,21.2,21.5,18.6
E06000033,36.6,14.4,33.4,15.6
E06000034,31.7,25.3,24.5,18.4
E06000035,32.3,22.3,26,19.4
E06000036,27.5,18.5,39.9,14.1
E06000037,27.8,17.7,41.3,13.1
E06000038,35.6,12.9,39.3,12.2
E06000039,38.2,17.8,27.1,16.9
E06000040,24.6,15.8,47.9,11.6
E06000041,24.9,13.7,50.7,10.7
E06000042,39.3,12.7,36.4,11.6
E06000043,33.9,10.3,42.7,13.1
E06000044,45.8,12.2,24.9,17.1
E06000045,45.9,11,25.6,17.5
E06000046,41.9,18.5,22.3,17.2
E06000047,31.7,30.1,23.9,14.4
E06000049,30.7,22.3,35.2,11.7
E06000050,32.7,23.8,31.5,12.1
E06000051,29,28.5,27.2,15.3
E06000052,31.3,26.1,24.7,17.9
E06000053,31.6,20.6,28.9,18.9
E06000054,28,24,34.1,14
E06000055,34.5,20.5,31.4,13.6
E06000056,23.4,26.7,34.5,15.5
E06000057,28.7,29,27.3,15
E06000058,43.8,11,29.6,15.5
E06000059,30.3,24.8,28.2,16.7
E06000060,23.5,21.7,41.1,13.7
E06000061,36.3,26.2,23.6,14
E06000062,36,20.9,29.1,13.9
E07000008,37.9,9,45.5,7.7
E07000009,22.8,28.5,34.9,13.8
E07000010,32,31.1,20.1,16.8
E07000011,25.4,26.3,34.9,13.4
E07000012,23.8,21.8,43.8,10.5
E07000026,29.6,32.4,24.3,13.8
E07000027,59.8,9.7,19.4,11.1
E07000028,49.8,16.3,19.2,14.7
E07000029,33.5,30.8,25.4,10.3
E07000030,27.2,26.9,28.1,17.8
E07000031,31.4,25.8,27.3,15.5
E07000032,35.5,25.1,25.3,14.1
E07000033,37.3,29.6,18.1,15
E07000034,43.6,19.1,22.7,14.7
E07000035,24.5,26.5,34.2,14.8
E07000036,40.1,21,24.8,14.2
E07000037,32.7,24.2,29.1,14.1
E07000038,35,24.8,24.9,15.3
E07000039,34.1,25.7,27.6,12.5
E07000040,29.1,25.1,29.6,16.2
E07000041,45.9,10.4,30.6,13
E07000042,26.4,28,29.7,15.9
E07000043,38.4,20.8,24.3,16.6
E07000044,25.7,23.5,33.1,17.6
E07000045,32,23.5,28.2,16.4
E07000046,27.3,28.4,25.9,18.5
E07000047,23.9,27.1,31.4,17.6
E07000061,44.4,15.4,23.1,17.1
E07000062,42.1,12.2,26.8,18.9
E07000063,25.2,23,35.3,16.5
E07000064,27.2,21.2,32.4,19.1
E07000065,22.6,24.7,34.9,17.8
E07000066,30.4,21.2,30.6,17.8
E07000067,23.7,29.7,28.8,17.8
E07000068,18.7,22.9,44.3,14.1
E07000069,31.1,19.6,28.5,20.9
E07000070,27.2,20.1,38.4,14.3
E07000071,35.2,18.7,30.6,15.5
E07000072,21.6,22.8,38.3,17.4
E07000073,39.3,21.4,20.9,18.3
E07000074,20.8,28.8,31.3,19
E07000075,29.4,17,36.1,17.5
E07000076,31.3,25.6,22.9,20.3
E07000077,19.2,26.2,39.4,15.2
E07000078,37.8,13.2,36.7,12.2
E07000079,21.8,24.7,39.1,14.4
E07000080,25.1,29.2,28.1,17.6
E07000081,45.7,15.6,24.2,14.5
E07000082,29.6,20.9,35,14.5
E07000083,34,19.6,33.4,13
E07000084,29.7,18.6,39.2,12.4
E07000085,21.8,25.2,37.5,15.5
E07000086,33.6,15.9,34.4,16.2
E07000087,34.1,16.7,34.5,14.7
E07000088,47.3,12.8,23,16.9
E07000089,25.3,17.8,44.8,12.1
E07000090,37.4,17.9,25.6,19.1
E07000091,31,22.1,30.4,16.5
E07000092,36.9,19.6,28.9,14.7
E07000093,27.5,20.9,36.2,15.5
E07000094,23.4,21.3,43.3,11.9
E07000095,29.7,22.2,29.4,18.6
E07000096,25.8,19.8,39.2,15.3
E07000098,26.4,18.7,39.9,15
E07000099,25.2,19.9,42.7,12.2
E07000102,26,17.7,41.8,14.6
E07000103,33.1,17.3,33.9,15.8
E07000105,31.7,21.9,30.1,16.4
E07000106,33.1,21.1,30.4,15.4
E07000107,30.1,22,31,17
E07000108,29.5,28.2,24.1,18.1
E07000109,30,24.6,26.2,19.2
E07000110,29.7,21.6,31.1,17.7
E07000111,19.7,22.8,42.2,15.4
E07000112,29.3,24.4,28.8,17.5
E07000113,30.5,25.7,25.4,18.4
E07000114,42,15.5,24.3,18.1
E07000115,25.3,22.3,37,15.4
E07000116,27.4,17,42.3,13.3
E07000117,49.6,18.9,16.8,14.6
E07000118,33.7,23.4,29,14
E07000119,35.7,19.1,31.8,13.4
E07000120,48.9,17.8,17.7,15.6
E07000121,43.8,16.7,24.7,14.7
E07000122,44.6,20.6,18.8,15.9
E07000123,46.1,15.8,24.9,13.2
E07000124,30.2,27.8,29.6,12.4
E07000125,32.2,28.4,24.3,15.1
E07000126,41.1,16.7,28.8,13.5
E07000127,34.2,26.3,25.2,14.3
E07000128,37.1,20.4,26.1,16.4
E07000129,36.8,17.9,30.2,15.2
E07000130,35.9,21.1,30.2,12.8
E07000131,23.9,27.5,35.8,12.7
E07000132,30.2,26,29.8,14
E07000133,29.6,27.6,28.5,14.3
E07000134,29.2,28.5,28.6,13.7
E07000135,45.7,12.8,28.8,12.7
E07000136,42.3,31.2,10.6,15.9
E07000137,31.8,31,19.8,17.4
E07000138,48.2,17.2,20.2,14.4
E07000139,30.6,27.7,27.1,14.7
E07000140,35.9,31.1,17.6,15.4
E07000141,27.9,29.3,28.5,14.3
E07000142,26.9,31.7,26,15.4
E07000143,26.1,35,21.9,16.9
E07000144,32.8,20.6,30.3,16.4
E07000145,41.4,24.1,16.6,18
E07000146,32.5,29.5,20.5,17.5
