areacd,in_full_time_education-001,in_full_time_education-002
E06000001,19.7,80.3
E06000002,24.1,75.9
E06000003,18,82
E06000004,20.1,79.9
E06000005,18.4,81.6
E06000006,19.1,80.9
E06000007,18.4,81.6
E06000008,24.4,75.6
E06000009,17.6,82.4
E06000010,21.8,78.2
E06000011,16,84
E06000012,18.7,81.3
E06000013,17.8,82.2
E06000014,25.1,74.9
E06000015,22.6,77.4
E06000016,28.5,71.5
E06000017,18,82
E06000018,33.5,66.5
E06000019,15.9,84.1
E06000020,20.5,79.5
E06000021,21.7,78.3
E06000022,25.2,74.8
E06000023,24.4,75.6
E06000024,17.7,82.3
E06000025,19.5,80.5
E06000026,21.8,78.2
E06000027,16.1,83.9
E06000030,19.2,80.8
E06000031,21.8,78.2
E06000032,26.1,73.9
E06000033,18.6,81.4
E06000034,22.3,77.7
E06000035,20.6,79.4
E06000036,19.5,80.5
E06000037,18.9,81.1
E06000038,23.5,76.5
E06000039,25.8,74.2
E06000040,20,80
E06000041,21.4,78.6
E06000042,22.2,77.8
E06000043,23.6,76.4
E06000044,25,75
E06000045,25.6,74.4
E06000046,14.9,85.1
E06000047,19.9,80.1
E06000049,17.2,82.8
E06000050,18.5,81.5
E06000051,16.2,83.8
E06000052,17.4,82.6
E06000053,13.2,86.8
E06000054,17.5,82.5
E06000055,20.2,79.8
E06000056,18.8,81.2
E06000057,15.9,84.1
E06000058,19.7,80.3
E06000059,15.4,84.6
E06000060,20,80
E06000061,19.1,80.9
E06000062,20.2,79.8
E07000008,33.2,66.8
E07000009,18,82
E07000010,16.2,83.8
E07000011,17.2,82.8
E07000012,19.6,80.4
E07000026,15.7,84.3
E07000027,16.1,83.9
E07000028,17.2,82.8
E07000029,15.7,84.3
E07000030,14.7,85.3
E07000031,14.7,85.3
E07000032,16.2,83.8
E07000033,16.6,83.4
E07000034,16.5,83.5
E07000035,15.1,84.9
E07000036,16.8,83.2
E07000037,16.7,83.3
E07000038,15.9,84.1
E07000039,18.5,81.5
E07000040,15.2,84.8
E07000041,28.7,71.3
E07000042,17.3,82.7
E07000043,16.3,83.7
E07000044,15.8,84.2
E07000045,15.6,84.4
E07000046,15.1,84.9
E07000047,15.6,84.4
E07000061,18,82
E07000062,17.7,82.3
E07000063,17,83
E07000064,14.7,85.3
E07000065,16.5,83.5
E07000066,19.5,80.5
E07000067,17.7,82.3
E07000068,17.7,82.3
E07000069,16.4,83.6
E07000070,18.8,81.2
E07000071,22.2,77.8
E07000072,18.2,81.8
E07000073,20.7,79.3
E07000074,15.9,84.1
E07000075,17,83
E07000076,15.2,84.8
E07000077,19.1,80.9
E07000078,19.5,80.5
E07000079,16.3,83.7
E07000080,16.7,83.3
E07000081,20.1,79.9
E07000082,17.2,82.8
E07000083,17.4,82.6
E07000084,18,82
E07000085,17.6,82.4
E07000086,18.4,81.6
E07000087,16.4,83.6
E07000088,17.5,82.5
E07000089,19,81
E07000090,16.7,83.3
E07000091,15.3,84.7
E07000092,17.8,82.2
E07000093,17.4,82.6
E07000094,22.2,77.8
E07000095,19.5,80.5
E07000096,19.4,80.6
E07000098,21.1,78.9
E07000099,18.5,81.5
E07000102,20.5,79.5
E07000103,21.2,78.8
E07000105,19.1,80.9
E07000106,25.8,74.2
E07000107,21.1,78.9
E07000108,17.3,82.7
E07000109,20.5,79.5
E07000110,18.2,81.8
E07000111,19.3,80.7
E07000112,16.5,83.5
E07000113,18.5,81.5
E07000114,17.6,82.4
E07000115,19.6,80.4
E07000116,19.8,80.2
E07000117,20.7,79.3
E07000118,17.8,82.2
E07000119,15.3,84.7
E07000120,20.5,79.5
E07000121,24.3,75.7
E07000122,21.9,78.1
E07000123,25,75
E07000124,17,83
E07000125,19.2,80.8
E07000126,17.6,82.4
E07000127,21.8,78.2
E07000128,16.4,83.6
E07000129,18.2,81.8
E07000130,24.4,75.6
E07000131,18,82
E07000132,16.9,83.1
E07000133,16.9,83.1
E07000134,17.9,82.1
E07000135,21.5,78.5
E07000136,17.9,82.1
E07000137,14.4,85.6
E07000138,27.9,72.1
E07000139,17,83
E07000140,15.9,84.1
E07000141,17.6,82.4
E07000142,16.8,83.2
E07000143,15.8,84.2
E07000144,15.8,84.2
E07000145,16.9,83.1
E07000146,15.6,84.4
E07000147,13.2,86.8
E07000148,25.7,74.3
E07000149,17.1,82.9
E07000163,15.1,84.9
E07000164,15,85
E07000165,17.7,82.3
E07000166,15.5,84.5
E07000167,15.1,84.9
E07000168,15.4,84.6
E07000169,17.2,82.8
E07000170,17.8,82.2
E07000171,16.7,83.3
E07000172,19.2,80.8
E07000173,17.6,82.4
E07000174,17.5,82.5
E07000175,17.1,82.9
E07000176,20.2,79.8
E07000177,18,82
E07000178,35.1,64.9
E07000179,18,82
E07000180,18.8,81.2
E07000181,17.3,82.7
E07000187,17.5,82.5
E07000188,16.9,83.1
E07000189,16.1,83.9
E07000192,17,83
E07000193,18.8,81.2
E07000194,16.6,83.4
E07000195,20.3,79.7
E07000196,15.4,84.6
E07000197,16.9,83.1
E07000198,15.9,84.1
E07000199,18.4,81.6
E07000200,16.4,83.6
E07000202,20,80
E07000203,15.8,84.2
E07000207,21.4,78.6
E07000208,21,79
E07000209,24.9,75.1
E07000210,17.6,82.4
E07000211,19.6,80.4
E07000212,24.3,75.7
E07000213,18.3,81.7
E07000214,18.7,81.3
E07000215,19.1,80.9
E07000216,20.9,79.1
E07000217,19.8,80.2
E07000218,16.7,83.3
E07000219,18.5,81.5
E07000220,19.4,80.6
E07000221,16.1,83.9
E07000222,22.1,77.9
E07000223,17.8,82.2
E07000224,15.6,84.4
E07000225,17.5,82.5
E07000226,20.6,79.4
E07000227,17.6,82.4
E07000228,18.7,81.3
E07000229,17.1,82.9
E07000234,18.2,81.8
E07000235,16.4,83.6
E07000236,18.6,81.4
E07000237,20.6,79.4
E07000238,16.1,83.9
E07000239,16.6,83.4
E07000240,21.9,78.1
E07000241,25.8,74.2
E07000242,19.1,80.9
E07000243,19.7,80.3
E07000244,15.9,84.1
E07000245,16.8,83.2
E07000246,16.4,83.6
E08000001,22.4,77.6
E08000002,20.6,79.4
E08000003,30.2,69.8
E08000004,23.9,76.1
E08000005,22.2,77.8
E08000006,22.5,77.5
E08000007,18.6,81.4
E08000008,19.6,80.4
E08000009,21.4,78.6
E08000010,18.2,81.8
E08000011,19,81
E08000012,25.3,74.7
E08000013,17.6,82.4
E08000014,17.3,82.7
E08000015,18.5,81.5
E08000016,17.5,82.5
E08000017,17.9,82.1
E08000018,18.6,81.4
E08000019,24.9,75.1
E08000021,29.1,70.9
E08000022,17.7,82.3
E08000023,18.1,81.9
E08000024,18.8,81.2
E08000025,27.7,72.3
E08000026,27.4,72.6
E08000027,18.9,81.1
E08000028,23.7,76.3
E08000029,19.5,80.5
E08000030,22.1,77.9
E08000031,22.6,77.4
E08000032,24.4,75.6
E08000033,19.5,80.5
E08000034,21.8,78.2
E08000035,24.1,75.9
E08000036,17.7,82.3
E08000037,18.3,81.7
E09000001,13.9,86.1
E09000002,28.5,71.5
E09000003,22.8,77.2
E09000004,21.3,78.7
E09000005,23.2,76.8
E09000006,19.6,80.4
E09000007,24.6,75.4
E09000008,21.7,78.3
E09000009,22.7,77.3
E09000010,24.2,75.8
E09000011,22.7,77.3
E09000012,21.9,78.1
E09000013,20.6,79.4
E09000014,21.1,78.9
E09000015,22.2,77.8
E09000016,19.9,80.1
E09000017,23.5,76.5
E09000018,22.4,77.6
E09000019,20.5,79.5
E09000020,20.4,79.6
E09000021,23,77
E09000022,18.8,81.2
E09000023,21.6,78.4
E09000024,20.5,79.5
E09000025,26.2,73.8
E09000026,24.6,75.4
E09000027,21.4,78.6
E09000028,22.1,77.9
E09000029,21.2,78.8
E09000030,24.5,75.5
E09000031,21.6,78.4
E09000032,18.2,81.8
E09000033,21,79
E12000001,20,80
E12000002,20.6,79.4
E12000003,20.7,79.3
E12000004,20.4,79.6
E12000005,21.3,78.7
E12000006,19.4,80.6
E12000007,22.2,77.8
E12000008,20,80
E12000009,18.7,81.3
E92000001,20.4,79.6
K04000001,20.4,79.6
W06000001,17.6,82.4
W06000002,21.4,78.6
W06000003,16.6,83.4
W06000004,18,82
W06000005,17.9,82.1
W06000006,19.3,80.7
W06000008,22.5,77.5
W06000009,16.8,83.2
W06000010,17.9,82.1
W06000011,22.8,77.2
W06000012,19.4,80.6
W06000013,18.1,81.9
W06000014,18.9,81.1
W06000015,27.6,72.4
W06000016,19.8,80.2
W06000018,18.7,81.3
W06000019,17.3,82.7
W06000020,18.3,81.7
W06000021,16.2,83.8
W06000022,20.3,79.7
W06000023,15.5,84.5
W06000024,19,81
W92000004,19.9,80.1
