areacd,sex-001,sex-002
E06000001,51.6,48.4
E06000002,50.7,49.3
E06000003,51.6,48.4
E06000004,50.9,49.1
E06000005,51.1,48.9
E06000006,51,49
E06000007,50.5,49.5
E06000008,50.4,49.6
E06000009,50.6,49.4
E06000010,50.1,49.9
E06000011,51,49
E06000012,51.1,48.9
E06000013,50.7,49.3
E06000014,51.9,48.1
E06000015,50.4,49.6
E06000016,50.6,49.4
E06000017,48.7,51.3
E06000018,50.9,49.1
E06000019,50.9,49.1
E06000020,50.8,49.2
E06000021,50.3,49.7
E06000022,51.2,48.8
E06000023,50.4,49.6
E06000024,51.4,48.6
E06000025,50.5,49.5
E06000026,50.9,49.1
E06000027,51.3,48.7
E06000030,50.3,49.7
E06000031,50.6,49.4
E06000032,49.9,50.1
E06000033,51.3,48.7
E06000034,51,49
E06000035,51,49
E06000036,50.7,49.3
E06000037,50.6,49.4
E06000038,50.2,49.8
E06000039,50.5,49.5
E06000040,50.9,49.1
E06000041,50.9,49.1
E06000042,50.7,49.3
E06000043,51.1,48.9
E06000044,50.4,49.6
E06000045,49.8,50.2
E06000046,51.5,48.5
E06000047,51.1,48.9
E06000049,51,49
E06000050,51.2,48.8
E06000051,50.7,49.3
E06000052,51.5,48.5
E06000053,51.1,48.9
E06000054,50.7,49.3
E06000055,50.8,49.2
E06000056,50.7,49.3
E06000057,51.2,48.8
E06000058,51.2,48.8
E06000059,51.4,48.6
E06000060,51.1,48.9
E06000061,50.7,49.3
E06000062,50.5,49.5
E07000008,49.9,50.1
E07000009,50.9,49.1
E07000010,51,49
E07000011,50.4,49.6
E07000012,50.9,49.1
E07000026,51,49
E07000027,50.4,49.6
E07000028,51,49
E07000029,50.1,49.9
E07000030,50.4,49.6
E07000031,51,49
E07000032,50.9,49.1
E07000033,50.7,49.3
E07000034,50.9,49.1
E07000035,51.2,48.8
E07000036,50.9,49.1
E07000037,50.9,49.1
E07000038,51.2,48.8
E07000039,51,49
E07000040,51.9,48.1
E07000041,51.3,48.7
E07000042,51.2,48.8
E07000043,51.3,48.7
E07000044,51.9,48.1
E07000045,51.5,48.5
E07000046,51,49
E07000047,51.1,48.9
E07000061,52.3,47.7
E07000062,51.5,48.5
E07000063,51.8,48.2
E07000064,52.5,47.5
E07000065,51.8,48.2
E07000066,51.4,48.6
E07000067,51,49
E07000068,51.4,48.6
E07000069,51.6,48.4
E07000070,51,49
E07000071,51.1,48.9
E07000072,51.4,48.6
E07000073,51.3,48.7
E07000074,51.1,48.9
E07000075,51.5,48.5
E07000076,51.8,48.2
E07000077,51.1,48.9
E07000078,51.1,48.9
E07000079,51.8,48.2
E07000080,51.1,48.9
E07000081,50.5,49.5
E07000082,51.1,48.9
E07000083,51.4,48.6
E07000084,50.5,49.5
E07000085,51.5,48.5
E07000086,51.1,48.9
E07000087,51.3,48.7
E07000088,51.1,48.9
E07000089,50.6,49.4
E07000090,51.7,48.3
E07000091,51.9,48.1
E07000092,50,50
E07000093,51,49
E07000094,51.3,48.7
E07000095,51.6,48.4
E07000096,50.9,49.1
E07000098,52,48
E07000099,51.4,48.6
E07000102,51.3,48.7
E07000103,50.8,49.2
E07000105,51.3,48.7
E07000106,52,48
E07000107,51,49
E07000108,51.2,48.8
E07000109,51.1,48.9
E07000110,50.5,49.5
E07000111,51.7,48.3
E07000112,51.2,48.8
