areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E06000001,1.7,0.5,0.7,96.5,0.6
E06000002,10.5,2.7,2.1,82.4,2.4
E06000003,0.8,0.2,0.9,97.7,0.4
E06000004,4.6,1.1,1.4,92,0.8
E06000005,2.8,0.7,1.4,94.4,0.9
E06000006,1.1,0.4,1.4,96.5,0.6
E06000007,3.3,0.7,1.6,93.5,0.9
E06000008,35.7,0.9,1.7,60.4,1.4
E06000009,2.6,0.5,1.6,94.7,0.6
E06000010,2.8,1.9,1.7,91.8,1.8
E06000011,1.1,0.3,0.9,97.4,0.4
E06000012,1.6,0.5,1,96.2,0.7
E06000013,3.3,0.5,1.1,94.3,0.8
E06000014,3.8,0.7,1.8,92.8,1
E06000015,15.6,4,3.7,73.8,2.9
E06000016,43.4,7.8,3.8,40.9,4.1
E06000017,1.5,1.3,1.8,94.8,0.5
E06000018,14.9,10,5.9,65.9,3.3
E06000019,1.2,0.3,1.1,96.9,0.5
E06000020,5.4,2.9,2.6,88.2,0.9
E06000021,9.9,2.7,2.3,83.5,1.7
E06000022,3.3,1,2.7,92.2,0.8
E06000023,6.6,5.9,4.5,81.1,1.9
E06000024,1.5,0.5,1.7,95.7,0.6
E06000025,3.8,1.6,2.5,91.2,0.9
E06000026,2.2,1.1,1.8,94,1
E06000027,1.6,0.3,1.5,96.1,0.4
E06000030,11.6,2.6,2.8,81.5,1.5
E06000031,14.3,4.1,3.5,75.4,2.7
E06000032,37,10.1,4.3,45.2,3.5
E06000033,5.5,2.9,3.1,87.5,1.1
E06000034,6.9,11.9,3,76.7,1.5
E06000035,5.9,5.6,2.8,84.3,1.4
E06000036,7.1,2.4,3.1,86.1,1.3
E06000037,3.7,1.3,2.4,91.9,0.7
E06000038,17.7,7.2,5.1,67.1,2.9
E06000039,46.7,7.6,4,36,5.7
E06000040,13.1,1.5,3.4,79.8,2.1
E06000041,12.9,2.4,3.1,79.9,1.6
E06000042,12.4,9.7,4.1,71.8,2
E06000043,4.8,2,4.8,85.4,3.1
E06000044,6.9,3.4,2.6,85.2,1.8
E06000045,10.6,3,3.3,80.7,2.3
E06000046,1.2,0.3,1.2,97,0.3
E06000047,1.5,0.3,0.9,96.8,0.4
E06000049,2.4,0.6,1.8,94.4,0.8
E06000050,2,0.6,1.5,95.3,0.6
E06000051,1.3,0.3,1.2,96.7,0.4
E06000052,0.7,0.2,1.2,96.8,1.1
E06000053,0.3,0.2,1.1,97.5,0.9
E06000054,2.1,1.1,1.7,94.3,0.7
E06000055,12.6,5.3,4.6,75.7,1.8
E06000056,3.5,2.4,3,90.2,0.8
E06000057,1.1,0.2,0.8,97.6,0.3
E06000058,3.4,1.1,2.8,91.3,1.5
E06000059,1.1,0.3,1.2,97.1,0.4
