areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E06000001,42.3,57.7
E06000002,39.4,60.6
E06000003,44,56
E06000004,45.6,54.4
E06000005,44.2,55.8
E06000006,42.2,57.8
E06000007,46.9,53.1
E06000008,45.4,54.6
E06000009,36,64
E06000010,35.6,64.4
E06000011,51.2,48.8
E06000012,42.8,57.2
E06000013,47.3,52.7
E06000014,41.3,58.7
E06000015,42.8,57.2
E06000016,43.4,56.6
E06000017,52.2,47.8
E06000018,30.8,69.2
E06000019,49.9,50.1
E06000020,44.8,55.2
E06000021,41.1,58.9
E06000022,43.4,56.6
E06000023,33.8,66.2
E06000024,49.4,50.6
E06000025,47.9,52.1
E06000026,40.4,59.6
E06000027,44.2,55.8
E06000030,48.6,51.4
E06000031,43.8,56.2
E06000032,46,54
E06000033,41.7,58.3
E06000034,45,55
E06000035,43.9,56.1
E06000036,48.3,51.7
E06000037,51.6,48.4
E06000038,40.8,59.2
E06000039,50.6,49.4
E06000040,51.4,48.6
E06000041,55,45
E06000042,46.2,53.8
E06000043,32.8,67.2
E06000044,36.2,63.8
E06000045,36.5,63.5
E06000046,46.4,53.6
E06000047,43.4,56.6
E06000049,49.7,50.3
E06000050,46.9,53.1
E06000051,49.4,50.6
E06000052,47.1,52.9
E06000053,53.6,46.4
E06000054,51.1,48.9
E06000055,46.4,53.6
E06000056,49.5,50.5
E06000057,49.3,50.7
E06000058,43.2,56.8
E06000059,51.6,48.4
E06000060,52.3,47.7
E06000061,46.2,53.8
E06000062,47.1,52.9
E07000008,32.9,67.1
E07000009,51.9,48.1
E07000010,45.4,54.6
E07000011,50,50
E07000012,53.9,46.1
E07000026,48.4,51.6
E07000027,43.3,56.7
E07000028,45.4,54.6
E07000029,47.6,52.4
E07000030,52.5,47.5
E07000031,51.3,48.7
E07000032,47.7,52.3
E07000033,45.3,54.7
E07000034,43.5,56.5
E07000035,53.1,46.9
E07000036,45,55
E07000037,46.8,53.2
E07000038,49.4,50.6
E07000039,49.2,50.8
E07000040,51.8,48.2
E07000041,35.7,64.3
E07000042,50.7,49.3
E07000043,49.1,50.9
E07000044,52.4,47.6
E07000045,49.1,50.9
E07000046,50.5,49.5
E07000047,52.5,47.5
E07000061,41.6,58.4
E07000062,38.4,61.6
E07000063,47.8,52.2
E07000064,49.4,50.6
E07000065,52.8,47.2
E07000066,45.1,54.9
E07000067,48.6,51.4
E07000068,48.9,51.1
E07000069,49.2,50.8
E07000070,49.1,50.9
E07000071,44.8,55.2
E07000072,47.8,52.2
E07000073,42,58
E07000074,51.8,48.2
E07000075,51.5,48.5
E07000076,46.2,53.8
E07000077,53.2,46.8
E07000078,42.8,57.2
E07000079,53.2,46.8
E07000080,49.6,50.4
E07000081,43.4,56.6
E07000082,50.3,49.7
E07000083,51.3,48.7
E07000084,50,50
E07000085,53.7,46.3
E07000086,50,50
E07000087,53.3,46.7
E07000088,45.2,54.8
E07000089,54.7,45.3
E07000090,47.2,52.8
E07000091,52.4,47.6
E07000092,48.1,51.9
E07000093,52.7,47.3
E07000094,50.6,49.4
