areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E06000001,42.2,33.6,18.5,5.6,0.2
E06000002,42.2,33.8,17.9,5.8,0.2
E06000003,44.1,34.2,16.7,4.8,0.2
E06000004,48.4,32.5,15.1,4,0.2
E06000005,48.6,33.5,14.2,3.6,0.2
E06000006,43.2,33.5,17.6,5.5,0.2
E06000007,51.9,32.1,12.8,3.1,0.1
E06000008,41.2,34,18.2,6.3,0.3
E06000009,38.2,35.1,19.7,6.5,0.5
E06000010,41.2,34.1,18.9,5.6,0.3
E06000011,51.1,34,12.4,2.3,0.1
E06000012,44,34.6,16.6,4.6,0.2
E06000013,46.1,35,15.2,3.5,0.1
E06000014,53.9,32.7,11.1,2.2,0.1
E06000015,45.6,33.8,15.7,4.6,0.3
E06000016,38.8,35.8,18.9,6,0.5
E06000017,58,31.7,9.2,1.2,0
E06000018,41.6,34.4,18.1,5.6,0.3
E06000019,49.4,34.6,13,2.8,0.2
E06000020,46,33.9,15.9,4.1,0.2
E06000021,41.1,34.9,18.2,5.5,0.2
E06000022,54.1,32.2,11.3,2.3,0.1
E06000023,50.2,31.8,13.8,3.9,0.3
E06000024,51.5,33.5,12.1,2.7,0.2
E06000025,53.9,32.7,11.1,2.1,0.1
E06000026,45.5,34,15.9,4.4,0.2
E06000027,42.1,35.9,16.9,4.7,0.4
E06000030,49.3,33.8,13.4,3.3,0.2
E06000031,45,34.9,15.5,4.2,0.3
E06000032,41.3,36.4,17.1,4.7,0.4
E06000033,45.6,34.5,15.3,4.2,0.4
E06000034,45.7,34.9,15.4,3.8,0.3
E06000035,46.5,34.5,14.8,3.9,0.4
E06000036,56.4,31.1,10.2,2.1,0.2
E06000037,56,31.6,10.2,2,0.1
E06000038,51.2,32.2,12.8,3.5,0.3
E06000039,42.3,36.6,16.4,4.4,0.3
E06000040,59,29.8,9.4,1.8,0.1
E06000041,61.5,29.2,8,1.3,0.1
E06000042,51.3,32.5,12.8,3.2,0.2
E06000043,47.9,33,14.4,4.3,0.5
E06000044,47.2,33.4,15,4.1,0.3
E06000045,45.4,34.3,15.5,4.5,0.4
E06000046,44.1,36.2,15.5,3.8,0.3
E06000047,44.5,33.7,17,4.7,0.1
E06000049,54.8,31.6,11.2,2.3,0.1
E06000050,52,32.1,12.6,3,0.2
E06000051,50.8,34,12.4,2.6,0.1
E06000052,46.1,35.5,14.6,3.5,0.3
E06000053,50.7,35.8,11.3,2.2,0
E06000054,53.4,33,11.3,2.3,0.1
E06000055,51.6,32.7,12.4,3,0.3
E06000056,54.8,32.2,10.7,2.2,0.1
E06000057,48.5,34,14,3.4,0.1
E06000058,48.3,34,13.9,3.4,0.3
E06000059,49.9,35,12.5,2.4,0.2
E06000060,57.2,31,9.8,1.9,0.1
E06000061,48.8,34,13.7,3.3,0.2
E06000062,51.8,33.2,12.1,2.7,0.2
E07000008,56.5,30.2,10.5,2.6,0.2
E07000009,53.4,33.3,11.1,2.1,0.1
E07000010,41.7,37.4,16.9,3.9,0.2
E07000011,53.6,32.9,11.2,2.2,0.1
E07000012,58.4,30.9,9.1,1.6,0.1
E07000026,48.1,34,14.2,3.6,0.1
E07000027,46.7,32.8,15.8,4.5,0.2
E07000028,48.9,33.6,13.8,3.6,0.1
E07000029,47,33.2,15.2,4.4,0.2
E07000030,51.9,34.8,11.1,2.2,0.1
E07000031,55.1,33,10.2,1.7,0.1
E07000032,48.9,33.6,14,3.4,0.1
E07000033,42.7,34.5,17.9,4.7,0.1
E07000034,44.7,34.2,16.4,4.5,0.2
E07000035,52.9,33.3,11.7,1.9,0.1
E07000036,48,33.9,14.2,3.7,0.2
E07000037,52.1,32.8,12.3,2.8,0.1
E07000038,47,34.3,15,3.5,0.1
E07000039,54.3,31.6,11.7,2.3,0.1
E07000040,50.7,35.4,11.7,2.1,0.1
E07000041,49.8,33.2,13.4,3.4,0.2
E07000042,49.1,35.1,13,2.6,0.1
E07000043,47.9,35,13.9,2.9,0.2
E07000044,53,33.5,11.3,2.1,0.1
E07000045,49.4,35,13,2.5,0.2
E07000046,46.1,35.9,14.7,3,0.2
E07000047,49.3,35.2,12.8,2.5,0.2
E07000061,43.2,36,16.2,4.1,0.5
