areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E06000001,75.9,1.7,22.4
E06000002,74,6.8,19.2
E06000003,77.6,1.1,21.3
E06000004,79.4,2.8,17.8
E06000005,76.9,4.7,18.4
E06000006,80.5,3,16.5
E06000007,81.5,6.4,12.2
E06000008,77.8,8.3,13.9
E06000009,72.9,5.3,21.8
E06000010,67.8,9.8,22.4
E06000011,80.3,2.8,16.9
E06000012,73.3,4.4,22.4
E06000013,71.4,6.9,21.7
E06000014,81.2,6.9,11.9
E06000015,72.3,11.9,15.8
E06000016,64.6,24.1,11.2
E06000017,83.2,3.8,13
E06000018,69.2,16,14.8
E06000019,75.3,5.9,18.7
E06000020,71.5,7.7,20.9
E06000021,69.2,8.3,22.5
E06000022,81,7.4,11.7
E06000023,76.5,12,11.5
E06000024,81.4,5.3,13.3
E06000025,80.8,6.7,12.5
E06000026,75.8,5.4,18.8
E06000027,76.9,4,19
E06000030,71.4,14.5,14.1
E06000031,63.5,21.3,15.1
E06000032,67.3,23.8,8.9
E06000033,79.7,7.3,13
E06000034,74.5,14,11.5
E06000035,77.3,8.1,14.6
E06000036,80.9,10.1,9
E06000037,80.9,7,12.1
E06000038,66.8,22.9,10.3
E06000039,68.1,24.7,7.2
E06000040,81.3,12.1,6.7
E06000041,83.6,9.1,7.3
E06000042,73.1,15.9,11.1
E06000043,79.6,12.5,7.9
E06000044,75.9,10.8,13.3
E06000045,69,17.3,13.6
E06000046,76.5,3.1,20.4
E06000047,77,2.5,20.5
E06000049,81.2,5.5,13.3
E06000050,81.6,4.6,13.8
E06000051,78.2,3.5,18.3
E06000052,75.7,2.8,21.5
E06000053,82,3.6,14.5
E06000054,80.1,4.7,15.1
E06000055,74.1,14.1,11.7
E06000056,81.1,7.1,11.8
E06000057,80.5,1.5,18
E06000058,77.3,10.4,12.4
E06000059,80.9,2.9,16.2
E06000060,82.9,8.4,8.7
E06000061,72.2,11.5,16.3
E06000062,73.2,13.8,13
E07000008,63.9,28.3,7.8
E07000009,77.3,8.2,14.5
E07000010,67.2,10.8,22.1
E07000011,78.3,8.2,13.5
E07000012,80,9.7,10.3
E07000026,78.9,1.8,19.4
E07000027,78.6,2.1,19.3
E07000028,77.1,4.5,18.4
E07000029,78.2,1.4,20.4
E07000030,79.1,3.2,17.7
E07000031,82.2,3.9,13.9
E07000032,78.3,2.2,19.6
E07000033,73.1,4.3,22.6
E07000034,75.8,2.7,21.5
E07000035,82.5,1.8,15.7
E07000036,78.7,3.1,18.1
E07000037,83.4,2.2,14.4
E07000038,79.9,1.7,18.4
E07000039,80.8,3.4,15.8
E07000040,81.7,3,15.3
E07000041,76.8,10.1,13.1
E07000042,77.5,3.7,18.8
E07000043,77.4,2.9,19.7
E07000044,83.3,2.7,14
E07000045,81.1,2.2,16.7
E07000046,75.8,1.8,22.5
E07000047,78,2.5,19.6
E07000061,75.9,9.7,14.4
