areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E06000001,97.4,0.4,2.2
E06000002,91.2,0.9,7.9
E06000003,98.2,0.4,1.5
E06000004,96.3,0.7,3.1
E06000005,94.5,0.9,4.5
E06000006,96.4,0.6,3
E06000007,93,1.2,5.8
E06000008,90.3,1.4,8.3
E06000009,94.3,0.7,5
E06000010,88.8,1.2,10.1
E06000011,96.5,0.7,2.8
E06000012,95.3,0.6,4.1
E06000013,92.7,0.8,6.5
E06000014,90.7,2.1,7.2
E06000015,86.1,2,11.9
E06000016,72.9,3,24.1
E06000017,94.9,1.3,3.8
E06000018,81.2,2.5,16.3
E06000019,92.9,1.2,5.9
E06000020,91.7,1.1,7.2
E06000021,90.4,1.2,8.4
E06000022,90,2.4,7.6
E06000023,84.3,3.2,12.4
E06000024,93.5,1.4,5.1
E06000025,92.1,1.6,6.3
E06000026,93.3,1.2,5.5
E06000027,95,1.1,3.9
E06000030,84.3,2.1,13.6
E06000031,78,2.3,19.7
E06000032,74.9,3,22.2
E06000033,91.5,1.4,7
E06000034,86.1,1.6,12.3
E06000035,91.2,1.4,7.4
E06000036,88.6,2.3,9.1
E06000037,91.4,2.1,6.5
E06000038,74.2,4,21.8
E06000039,73.5,3.5,23
E06000040,85.7,3.3,11.1
E06000041,88.3,3.1,8.6
E06000042,82.7,2.8,14.5
E06000043,83.6,3.7,12.7
E06000044,87.7,1.8,10.4
E06000045,81.2,2.7,16.1
E06000046,95.7,1,3.3
E06000047,96.7,0.8,2.6
E06000049,93.4,1.2,5.4
E06000050,94.3,1.1,4.5
E06000051,95.4,0.9,3.6
E06000052,95.9,0.9,3.1
E06000053,93.6,2,4.4
E06000054,93.7,1.5,4.8
E06000055,84.8,2.4,12.8
E06000056,92.1,1.5,6.4
E06000057,97.5,0.7,1.8
E06000058,88.7,1.9,9.3
E06000059,95.7,1.1,3.2
E06000060,89.6,2.4,8
E06000061,88.3,1.5,10.2
E06000062,85.6,1.7,12.7
E07000008,66.2,6.9,26.9
E07000009,90.3,2.2,7.5
E07000010,89.5,0.9,9.5
E07000011,90.8,1.6,7.6
E07000012,86.8,3.7,9.5
E07000026,97.5,0.7,1.8
E07000027,97.3,0.5,2.2
E07000028,94.8,0.8,4.4
E07000029,98,0.5,1.6
E07000030,95.6,1,3.4
E07000031,94.7,1.2,4.1
E07000032,97.1,0.8,2.2
E07000033,95.4,0.6,4
E07000034,96.4,0.7,2.8
E07000035,96.4,1.2,2.4
E07000036,96.2,0.9,3
E07000037,95.9,1.2,2.9
E07000038,97.8,0.5,1.7
E07000039,96,0.8,3.2
E07000040,95.4,1.3,3.3
E07000041,87.1,2.8,10.2
E07000042,94.6,1.3,4.1
E07000043,95.8,0.9,3.2
E07000044,94.5,1.7,3.7
E07000045,96,1.2,2.8
E07000046,97.1,0.8,2.1
E07000047,95.7,1.2,3
E07000061,89.2,1.8,9
E07000062,91.2,1.7,7.1
E07000063,93,2,5
E07000064,95.2,1.1,3.7
E07000065,95,1.3,3.6
E07000066,92.3,1.3,6.4
E07000067,95,1,4
E07000068,92.7,1.6,5.7
E07000069,97.4,0.6,2
E07000070,91.8,1.7,6.5
E07000071,89.6,1.9,8.5
E07000072,91.4,1.7,6.9
E07000073,86.8,1.6,11.7
E07000074,97.1,0.7,2.2
E07000075,97.7,0.6,1.7
E07000076,96.9,0.7,2.4
E07000077,93.8,1.5,4.7
E07000078,88.9,2.4,8.6
E07000079,94.2,1.5,4.2
E07000080,96.1,0.9,3
E07000081,90.1,1.6,8.3
E07000082,94.6,1.7,3.7
E07000083,94.4,1.3,4.3
E07000084,89.8,2,8.2
E07000085,94,1.6,4.4
E07000086,94.1,1.4,4.4
E07000087,96.1,1.1,2.8
E07000088,96,0.9,3.1
E07000089,92.8,2,5.2
E07000090,96.5,0.8,2.7
E07000091,95.8,1.1,3.1
E07000092,83.9,2.3,13.7
E07000093,93.1,1.6,5.3
E07000094,92.2,2.2,5.6
E07000095,88.1,2,9.9
E07000096,90.1,2.1,7.8
E07000098,85.7,2.7,11.6
E07000099,91.7,2.3,6
E07000102,88.9,2.6,8.5
E07000103,76.9,3.6,19.5
E07000105,90.8,1.7,7.4
E07000106,89.8,2.3,7.9
E07000107,87.7,2.4,10
E07000108,94,1.2,4.8
E07000109,86.9,1.7,11.3
E07000110,90,1.6,8.4
E07000111,92.6,2,5.4
E07000112,92.7,1.3,6
E07000113,94.2,1,4.7
E07000114,92.9,1.2,5.9
E07000115,94.1,1.7,4.3
E07000116,90.5,2.3,7.2
E07000117,91.7,1.1,7.3
E07000118,96.5,0.8,2.7
E07000119,96.1,0.8,3.1
E07000120,94.7,1.1,4.2
E07000121,91.6,1.6,6.8
E07000122,88,1.3,10.8
E07000123,86.9,1.7,11.4
E07000124,97,0.8,2.1
E07000125,97,0.7,2.3
E07000126,96.8,0.7,2.5
E07000127,95.1,0.8,4.1
E07000128,97.6,0.6,1.9
E07000129,94.2,1.1,4.7
E07000130,91.9,1.8,6.2
E07000131,95.3,1.2,3.5
E07000132,95.7,0.9,3.5
E07000133,95.6,0.9,3.6
E07000134,95.5,0.8,3.7
E07000135,90.8,2.3,6.9
E07000136,77.7,1.4,20.9
E07000137,97.4,0.6,2
E07000138,87.4,1.7,10.9
E07000139,96.4,0.8,2.8
E07000140,87.2,1.2,11.6
E07000141,93.8,1.2,5
E07000142,97.1,0.7,2.3
E07000143,91.2,1.1,7.7
E07000144,96.3,0.9,2.8
E07000145,92,0.7,7.3
E07000146,91.6,1,7.4
E07000147,96.8,0.8,2.3
E07000148,84.6,2.7,12.8
E07000149,94.8,1.4,3.8
E07000163,96,1.2,2.8
E07000164,97,0.7,2.3
E07000165,93.5,1.4,5.1
E07000166,94.7,0.9,4.4
E07000167,95.9,0.9,3.2
E07000168,95.5,0.8,3.7
E07000169,95.7,0.9,3.4
E07000170,95.6,0.7,3.7
E07000171,94.8,0.8,4.4
E07000172,92.3,1.7,6
E07000173,94.7,1.2,4.1
E07000174,91.1,1,7.9
E07000175,94.3,1,4.7
E07000176,93.9,1.8,4.2
E07000177,86.7,2.3,11
E07000178,70.6,5.8,23.7
E07000179,90.4,2.5,7.1
E07000180,89.3,2.7,8
E07000181,92.4,2,5.6
E07000187,93.4,1.7,4.9
E07000188,93.2,1,5.9
E07000189,93.7,1.1,5.2
E07000192,97.6,0.5,2
E07000193,89.4,1.3,9.3
E07000194,96.6,0.8,2.6
E07000195,95.2,1.1,3.7
E07000196,98,0.5,1.5
E07000197,94.7,1.1,4.2
E07000198,98,0.5,1.5
E07000199,94.6,0.7,4.7
E07000200,96,1,2.9
E07000202,85.6,1.8,12.5
E07000203,96.2,0.9,2.9
E07000207,85.7,3.5,10.8
E07000208,86.4,3.2,10.4
E07000209,86.3,2.9,10.8
E07000210,92,2.1,6
E07000211,89.3,2.3,8.4
E07000212,85.8,2.8,11.4
E07000213,86.6,2.5,10.9
E07000214,90.3,2.2,7.5
E07000215,93.1,1.7,5.1
E07000216,91.4,2.4,6.2
E07000217,84,3.4,12.6
E07000218,96.9,0.5,2.5
E07000219,92.1,1.1,6.7
E07000220,85.9,2.3,11.8
E07000221,93.7,1.5,4.8
E07000222,86.6,2.9,10.5
E07000223,94,1.5,4.4
E07000224,92.1,1.3,6.6
E07000225,93.4,1.5,5.1
E07000226,82.3,2.6,15.1
E07000227,92.9,1.8,5.3
E07000228,91.6,2.1,6.3
E07000229,91.4,1.7,6.9
E07000234,96.7,1,2.3
E07000235,95.6,1.3,3.2
E07000236,91.5,1.2,7.3
E07000237,90,1.6,8.4
E07000238,93.6,1.1,5.3
E07000239,96.4,0.7,2.8
E07000240,87.6,3.4,9
E07000241,84.1,2.7,13.2
E07000242,91.5,2,6.6
E07000243,89.1,1.9,9
E07000244,95.9,1,3.2
E07000245,85.7,1.5,12.8
E07000246,92.9,1.3,5.8
E08000001,89.2,1.3,9.5
E08000002,91.9,1.2,6.9
E08000003,77.2,2.9,19.9
E08000004,90,1.5,8.5
E08000005,90.3,1.3,8.4
E08000006,85.3,1.8,12.9
E08000007,93.7,1.5,4.8
E08000008,93.1,1.1,5.8
E08000009,90.1,2.3,7.5
E08000010,95.3,0.6,4.1
E08000011,96,0.6,3.4
E08000012,87.7,1.6,10.6
E08000013,96.1,0.6,3.2
E08000014,94.9,0.8,4.3
E08000015,96.1,0.9,3
E08000016,94.9,0.7,4.5
E08000017,92.1,0.9,7
E08000018,95.3,0.7,4
E08000019,88.9,1.9,9.1
E08000021,86.4,2.1,11.5
E08000022,96.1,0.9,3
E08000023,97.1,0.5,2.4
E08000024,96.5,0.6,2.9
E08000025,84.1,2.4,13.6
E08000026,79.3,2.5,18.2
E08000027,95.1,0.8,4.1
E08000028,84.6,1.6,13.8
E08000029,93.9,1.4,4.7
E08000030,90.7,1.2,8.1
E08000031,84.4,1.6,14
E08000032,89.4,1.9,8.8
E08000033,94.3,1.2,4.5
E08000034,92.8,1.4,5.8
E08000035,88.4,1.9,9.8
E08000036,93.5,1,5.5
E08000037,94.3,0.9,4.8
E09000001,58.9,7.9,33.1
E09000002,73.4,2.7,23.8
E09000003,73.3,4.7,22
E09000004,87.3,2.4,10.4
E09000005,64,4.7,31.2
E09000006,86.5,3.2,10.3
E09000007,67.3,6.3,26.4
E09000008,79.1,3.5,17.4
E09000009,67.1,4.8,28.1
E09000010,75.6,3.6,20.8
E09000011,73.7,4.4,21.9
E09000012,72.7,5.1,22.3
E09000013,67.2,6.1,26.8
E09000014,67.7,5.3,27
E09000015,70.7,4.8,24.5
E09000016,87.8,1.8,10.3
E09000017,76.4,3.4,20.2
E09000018,68,4.1,27.9
E09000019,69.9,5.7,24.4
E09000020,61.3,6.7,32
E09000021,77.5,4.6,17.8
E09000022,72.3,4.9,22.8
E09000023,74.9,4.8,20.3
E09000024,72.3,5.2,22.6
E09000025,64.5,3.8,31.7
E09000026,74.5,3.6,22
E09000027,79.2,5.1,15.7
E09000028,71.6,5.1,23.3
E09000029,82.8,3.8,13.5
E09000030,68.7,4.8,26.5
E09000031,74.1,4,21.9
E09000032,72.4,5.5,22.1
E09000033,61.4,6.2,32.4
E12000001,95.1,0.9,4.1
E12000002,91.7,1.3,7.1
E12000003,92,1.3,6.7
E12000004,90.1,1.5,8.5
E12000005,89.8,1.5,8.7
E12000006,89.1,1.9,9
E12000007,73.1,4.4,22.5
E12000008,89.1,2.2,8.7
E12000009,92.3,1.6,6.1
