areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E06000001,31.7,68.3
E06000002,33.7,66.3
E06000003,32.4,67.6
E06000004,29.7,70.3
E06000005,28.4,71.6
E06000006,26.7,73.3
E06000007,27.1,72.9
E06000008,32.4,67.6
E06000009,33.1,66.9
E06000010,29.5,70.5
E06000011,30.8,69.2
E06000012,31.7,68.3
E06000013,29.1,70.9
E06000014,34,66
E06000015,30.1,69.9
E06000016,34.4,65.6
E06000017,30.5,69.5
E06000018,33.3,66.7
E06000019,32.3,67.7
E06000020,26.5,73.5
E06000021,28.6,71.4
E06000022,34.4,65.6
E06000023,29.8,70.2
E06000024,32.1,67.9
E06000025,29.7,70.3
E06000026,31.5,68.5
E06000027,35.9,64.1
E06000030,25.6,74.4
E06000031,27.9,72.1
E06000032,31.4,68.6
E06000033,30.9,69.1
E06000034,26.7,73.3
E06000035,27.8,72.2
E06000036,25,75
E06000037,27.2,72.8
E06000038,25.5,74.5
E06000039,28.5,71.5
E06000040,26.3,73.7
E06000041,25.9,74.1
E06000042,25.5,74.5
E06000043,33.9,66.1
E06000044,31.2,68.8
E06000045,30,70
E06000046,37.7,62.3
E06000047,28.5,71.5
E06000049,28.9,71.1
E06000050,29.6,70.4
E06000051,31.4,68.6
E06000052,35.7,64.3
E06000053,31.1,68.9
E06000054,29.6,70.4
E06000055,27.3,72.7
E06000056,26.8,73.2
E06000057,31.5,68.5
E06000058,32.5,67.5
E06000059,34.8,65.2
E06000060,28.6,71.4
E06000061,26.1,73.9
E06000062,26.4,73.6
E07000008,26.5,73.5
E07000009,28.1,71.9
E07000010,27.1,72.9
E07000011,26.4,73.6
E07000012,27.7,72.3
E07000026,31.8,68.2
E07000027,29.7,70.3
E07000028,32,68
E07000029,27.5,72.5
E07000030,33.2,66.8
E07000031,34.8,65.2
E07000032,29.4,70.6
E07000033,27.9,72.1
E07000034,31.5,68.5
E07000035,34.9,65.1
E07000036,28.6,71.4
E07000037,31.3,68.7
E07000038,31.5,68.5
E07000039,26.6,73.4
E07000040,35.3,64.7
E07000041,33.2,66.8
E07000042,33.2,66.8
E07000043,36,64
E07000044,37.8,62.2
E07000045,34.7,65.3
E07000046,37.2,62.8
E07000047,35.8,64.2
E07000061,34,66
E07000062,34.7,65.3
E07000063,35.6,64.4
E07000064,35.9,64.1
E07000065,34.1,65.9
E07000066,28.1,71.9
E07000067,30.1,69.9
E07000068,27.4,72.6
E07000069,30.9,69.1
E07000070,28.8,71.2
E07000071,30.9,69.1
E07000072,29.8,70.2
E07000073,28,72
E07000074,32.3,67.7
E07000075,30.6,69.4
E07000076,34.6,65.4
E07000077,30.8,69.2
E07000078,30.7,69.3
E07000079,32.2,67.8
E07000080,32.4,67.6
E07000081,29.7,70.3
E07000082,33.1,66.9
E07000083,29.6,70.4
E07000084,24.9,75.1
E07000085,30.6,69.4
E07000086,29.5,70.5
E07000087,29.4,70.6
E07000088,29.2,70.8
E07000089,27.2,72.8
E07000090,31.8,68.2
E07000091,34,66
E07000092,25,75
E07000093,28.2,71.8
E07000094,31.2,68.8
E07000095,29.5,70.5
E07000096,29,71
E07000098,30.4,69.6
E07000099,28.1,71.9
E07000102,28.7,71.3
E07000103,27.1,72.9
E07000105,29.2,70.8
E07000106,34.9,65.1
E07000107,25.7,74.3
E07000108,31.7,68.3
E07000109,28.8,71.2
E07000110,28.1,71.9
E07000111,29.8,70.2
E07000112,31.7,68.3
E07000113,28.2,71.8
E07000114,34.1,65.9
E07000115,28.8,71.2
E07000116,29.8,70.2
E07000117,29.6,70.4
E07000118,27.5,72.5
E07000119,31,69
E07000120,28.1,71.9
E07000121,34.2,65.8
E07000122,32.3,67.7
E07000123,31.8,68.2
E07000124,28.6,71.4
E07000125,28.3,71.7
E07000126,26.9,73.1
E07000127,30.5,69.5
E07000128,32.2,67.8
E07000129,28.3,71.7
E07000130,30.2,69.8
E07000131,29.3,70.7
E07000132,27.9,72.1
E07000133,30.3,69.7
E07000134,26.8,73.2
E07000135,30.9,69.1
E07000136,27.9,72.1
E07000137,34.8,65.2
E07000138,32.1,67.9
E07000139,27.9,72.1
E07000140,26,74
E07000141,29,71
E07000142,30.8,69.2
E07000143,30.4,69.6
E07000144,33.2,66.8
E07000145,34.7,65.3
E07000146,31.1,68.9
E07000147,37.7,62.3
E07000148,33.4,66.6
E07000149,32.1,67.9
E07000163,32.5,67.5
E07000164,31.1,68.9
E07000165,30.6,69.4
E07000166,29.5,70.5
E07000167,32.7,67.3
E07000168,36.1,63.9
E07000169,27.6,72.4
E07000170,27.8,72.2
E07000171,30,70
E07000172,29.5,70.5
E07000173,30,70
E07000174,28.8,71.2
E07000175,29.1,70.9
E07000176,29,71
E07000177,26.6,73.4
E07000178,29.4,70.6
E07000179,28.1,71.9
E07000180,26.5,73.5
E07000181,28.6,71.4
E07000187,35,65
E07000188,30.9,69.1
E07000189,31.5,68.5
E07000192,27.8,72.2
E07000193,27.7,72.3
E07000194,29.1,70.9
E07000195,29.1,70.9
E07000196,29.8,70.2
