areacd,country_of_birth_3a-001,country_of_birth_3a-002
E06000001,96,4
E06000002,87.7,12.3
E06000003,97.1,2.9
E06000004,93.8,6.2
E06000005,92.2,7.8
E06000006,95.2,4.8
E06000007,90.6,9.4
E06000008,81.9,18.1
E06000009,92.1,7.9
E06000010,86.9,13.1
E06000011,95,5
E06000012,93.4,6.6
E06000013,90.6,9.4
E06000014,89.2,10.8
E06000015,80.4,19.6
E06000016,58.9,41.1
E06000017,91.7,8.3
E06000018,75.4,24.6
E06000019,91.4,8.6
E06000020,88.6,11.4
E06000021,86.9,13.1
E06000022,87.9,12.1
E06000023,81.2,18.8
E06000024,91.6,8.4
E06000025,89.4,10.6
E06000026,90.8,9.2
E06000027,92.9,7.1
E06000030,79.6,20.4
E06000031,71.8,28.2
E06000032,61.6,38.4
E06000033,87.5,12.5
E06000034,79,21
E06000035,86.2,13.8
E06000036,82.6,17.4
E06000037,88,12
E06000038,66.5,33.5
E06000039,56,44
E06000040,78.3,21.7
E06000041,81.1,18.9
E06000042,74.3,25.7
E06000043,80.4,19.6
E06000044,83.1,16.9
E06000045,75.9,24.1
E06000046,93.9,6.1
E06000047,95.6,4.4
E06000049,91.7,8.3
E06000050,92.7,7.3
E06000051,94.1,5.9
E06000052,94.7,5.3
E06000053,94.5,5.5
E06000054,90.1,9.9
E06000055,78.6,21.4
E06000056,89,11
E06000057,96.5,3.5
E06000058,84.5,15.5
E06000059,93.5,6.5
E06000060,83.4,16.6
E06000061,84.5,15.5
E06000062,81.2,18.8
E07000008,62,38
E07000009,88.2,11.8
E07000010,87.5,12.5
E07000011,87.6,12.4
E07000012,83.8,16.2
E07000026,96.8,3.2
E07000027,96.2,3.8
E07000028,93.3,6.7
E07000029,97.1,2.9
E07000030,94.9,5.1
E07000031,93.9,6.1
E07000032,96.3,3.7
E07000033,94.3,5.7
E07000034,95.1,4.9
E07000035,96.2,3.8
E07000036,94.7,5.3
E07000037,95.8,4.2
E07000038,96.9,3.1
E07000039,94,6
E07000040,93.8,6.2
E07000041,85,15
E07000042,93.8,6.2
E07000043,94.5,5.5
E07000044,93.7,6.3
E07000045,94.8,5.2
E07000046,96,4
E07000047,94.6,5.4
E07000061,84.8,15.2
E07000062,88.6,11.4
E07000063,91.1,8.9
E07000064,92.5,7.5
E07000065,92.4,7.6
E07000066,88.2,11.8
E07000067,92.8,7.2
E07000068,88.8,11.2
E07000069,95.2,4.8
E07000070,88.1,11.9
E07000071,85.5,14.5
E07000072,86.1,13.9
E07000073,81.7,18.3
E07000074,95.5,4.5
E07000075,96,4
E07000076,95,5
E07000077,91.3,8.7
E07000078,85.4,14.6
E07000079,91.2,8.8
E07000080,94.9,5.1
E07000081,85.6,14.4
E07000082,93.4,6.6
E07000083,91.8,8.2
E07000084,85.1,14.9
E07000085,90.5,9.5
E07000086,90.7,9.3
E07000087,93.2,6.8
E07000088,92.7,7.3
E07000089,88.3,11.7
E07000090,93.6,6.4
E07000091,93.1,6.9
E07000092,76.2,23.8
E07000093,88.9,11.1
E07000094,89,11
E07000095,82.1,17.9
E07000096,85.7,14.3
E07000098,77.1,22.9
E07000099,88.4,11.6
E07000102,81,19
E07000103,66,34
E07000105,86.6,13.4
E07000106,87.1,12.9
E07000107,80.3,19.7
E07000108,91.6,8.4
E07000109,80.8,19.2
E07000110,86,14
E07000111,89,11
