areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E06000001,37.9,37.2,23,1.7,0.2
E06000002,35.4,36,25.2,2.8,0.6
E06000003,39.8,37.1,21.3,1.6,0.2
E06000004,42.9,35.5,19.6,1.7,0.3
E06000005,35.9,39,23.1,1.9,0.2
E06000006,38.3,35.6,23.9,1.9,0.2
E06000007,41.4,34,22.4,2,0.2
E06000008,27.8,37.4,28.5,5.1,1.2
E06000009,32.4,36.2,29.1,2.1,0.2
E06000010,27.3,38.9,30.3,3.1,0.5
E06000011,45.7,36.3,16.7,1.1,0.1
E06000012,41.6,35.4,21.3,1.6,0.2
E06000013,43.9,35.1,19,1.7,0.3
E06000014,38.2,36.1,23.9,1.7,0.2
E06000015,33.4,34.5,27.2,3.7,1.3
E06000016,23.8,28.4,35.4,9.2,3.2
E06000017,54.2,30.7,14.2,0.9,0.1
E06000018,27.5,33.3,33.2,4.9,1.1
E06000019,45.5,31.4,21.4,1.6,0.2
E06000020,40,35.3,22.2,2.2,0.4
E06000021,27.2,40.1,28.4,3.7,0.6
E06000022,40.4,31.9,25.5,2,0.2
E06000023,28.3,32.2,34.4,4.2,0.8
E06000024,42.6,34.3,21.3,1.6,0.2
E06000025,43.6,32.6,21.6,2,0.2
E06000026,31.9,35.2,30.3,2.4,0.2
E06000027,32.9,36.4,28.2,2.1,0.3
E06000030,36.3,32.8,26.7,3.5,0.8
E06000031,33.7,31.6,28.6,5,1.1
E06000032,24.5,27.3,36,9.6,2.6
E06000033,29.4,33.6,32.8,3.8,0.4
E06000034,28,32.5,32.8,5.9,0.9
E06000035,33.1,33.7,28.6,3.9,0.6
E06000036,38,32.1,26.8,2.8,0.4
E06000037,43.8,31.5,22.4,2.1,0.2
E06000038,27.2,30.2,35.5,5.8,1.2
E06000039,18.2,25.4,40.6,12.5,3.3
E06000040,41.9,31,23.7,2.8,0.6
E06000041,48.7,30.4,18.9,1.8,0.2
E06000042,35.5,31.2,27.9,4.6,0.8
E06000043,24.3,30.5,40.7,4,0.4
