areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E06000001,90.9,0.2,8.6,0.3
E06000002,89.1,0.5,8.8,1.6
E06000003,92.4,0.1,7.2,0.2
E06000004,91.2,0.1,8.3,0.4
E06000005,90.3,0.2,9.1,0.5
E06000006,92.7,0.1,6.8,0.4
E06000007,91.2,0.2,8,0.6
E06000008,91.8,0.1,7.3,0.8
E06000009,90.5,0.1,8.7,0.6
E06000010,88.9,0.8,9.5,0.8
E06000011,91,0.2,8.5,0.3
E06000012,91.1,0.1,8.4,0.4
E06000013,91.4,0.1,7.9,0.5
E06000014,82.7,2.9,13.2,1.3
E06000015,89.4,0.7,9.1,0.8
E06000016,86.8,1.5,9.8,1.9
E06000017,88.4,0.5,10.4,0.7
E06000018,79.4,4.2,14.5,1.9
E06000019,90.2,0.2,9,0.6
E06000020,89.4,0.4,9.6,0.6
E06000021,90.5,0.5,8.3,0.7
E06000022,82.3,2.6,13.6,1.5
E06000023,82.4,2.3,13.9,1.4
E06000024,90.3,0.2,8.9,0.5
E06000025,89.2,0.6,9.5,0.7
E06000026,87.2,1.2,11,0.7
E06000027,90.6,0.2,8.7,0.5
E06000030,89.7,0.2,9.1,1
E06000031,89.2,0.2,9.5,1.1
E06000032,89.7,0.2,8.4,1.7
E06000033,90.4,0.2,8.8,0.6
E06000034,91.5,0.1,7.8,0.6
E06000035,90.1,0.3,9,0.6
E06000036,88.6,0.3,10.3,0.9
E06000037,90.1,0.3,8.9,0.7
E06000038,83.1,1.7,12.9,2.3
E06000039,90.3,0.2,8.1,1.4
E06000040,88.9,0.4,9.5,1.3
E06000041,88.7,0.5,9.7,1.1
E06000042,88.6,0.2,10,1.1
E06000043,80.9,2.1,15.4,1.5
E06000044,83.8,1.8,13,1.4
E06000045,83.5,1.9,12.6,2
E06000046,89.7,0.2,9.7,0.5
E06000047,89.4,1.1,9,0.5
E06000049,89.7,0.2,9.5,0.7
E06000050,90.2,0.5,8.6,0.7
E06000051,90,0.2,9.2,0.6
E06000052,89.2,0.5,9.8,0.5
E06000053,90.6,0.1,8.6,0.6
E06000054,89.3,0.3,9.7,0.7
E06000055,89.4,0.3,9.5,0.9
E06000056,90.2,0.2,9,0.7
E06000057,91.5,0.1,8,0.3
E06000058,86.1,0.8,12.1,1
E06000059,89.9,0.2,9.3,0.5
E06000060,89.8,0.3,9.1,0.7
E06000061,90.3,0.2,8.9,0.7
E06000062,89,0.4,9.6,1
E07000008,76.4,3.3,15.9,4.3
E07000009,90.5,0.2,8.6,0.7
E07000010,90.7,0.1,8.7,0.4
E07000011,89.6,0.2,9.5,0.7
E07000012,89.8,0.3,9,0.9
E07000026,92.4,0.1,7.2,0.3
E07000027,91.7,0.1,7.7,0.5
E07000028,89.8,0.3,9.3,0.5
E07000029,92,0.1,7.5,0.3
E07000030,91.5,0.2,7.9,0.4
E07000031,90.7,0.3,8.4,0.6
E07000032,92.1,0.2,7.5,0.3
E07000033,91.4,0.1,8.1,0.4
E07000034,91.9,0.1,7.7,0.3
E07000035,90.9,0.2,8.5,0.4
E07000036,92.2,0.1,7.4,0.3
E07000037,91.6,0.2,7.8,0.3
E07000038,92.2,0.1,7.5,0.2
E07000039,90.4,0.2,9.1,0.3
E07000040,89.4,0.2,9.9,0.5
E07000041,78.2,4.4,15.5,2
E07000042,90,0.2,9.3,0.4
E07000043,89.3,0.2,10,0.6
E07000044,89,0.2,10.2,0.6
E07000045,90.4,0.2,9.1,0.4
E07000046,90,0.2,9.3,0.4
E07000047,90.2,0.3,9,0.5
E07000061,89,0.4,9.9,0.8
E07000062,90.1,0.1,9.1,0.6
E07000063,90.5,0.2,8.8,0.5
E07000064,90.3,0.2,9,0.5
E07000065,90,0.2,9.3,0.4
E07000066,91.8,0.1,7.5,0.5
E07000067,90.6,0.2,8.9,0.3
E07000068,90.4,0.2,8.8,0.6
E07000069,92.5,0.1,7.2,0.2
E07000070,89.7,0.3,9.2,0.8
E07000071,86.9,1,11,1
E07000072,91.2,0.2,8.1,0.5
E07000073,90.6,0.1,8.6,0.7
E07000074,90.7,0.1,8.8,0.3
E07000075,92.2,0.1,7.5,0.2
E07000076,90.5,0.1,9.2,0.2
E07000077,90.4,0.3,8.8,0.5
E07000078,85.8,1,12.1,1.1
E07000079,88.4,0.4,10.4,0.8
E07000080,90.9,0.2,8.5,0.4
E07000081,89.6,0.6,9.3,0.5
E07000082,90.9,0.2,8.5,0.4
E07000083,90.4,0.2,8.9,0.5
E07000084,89.3,0.2,9.6,0.9
E07000085,89.9,0.3,9.3,0.6
E07000086,90.3,0.2,9.1,0.4
E07000087,91.1,0.2,8.2,0.4
E07000088,90.5,0.1,9,0.4
E07000089,89.5,0.2,9.6,0.7
E07000090,91.7,0.1,7.9,0.3
E07000091,91,0.2,8.4,0.4
E07000092,88.8,0.2,10,0.9
E07000093,89.7,0.2,9.5,0.6
E07000094,84.9,1.3,12.8,1
E07000095,91.9,0.2,7.6,0.4
E07000096,90.5,0.3,8.6,0.6
E07000098,90.6,0.4,8.3,0.7
E07000099,90.7,0.3,8.5,0.5
E07000102,91.4,0.3,7.6,0.7
E07000103,89.1,0.2,9.4,1.4
E07000105,89.5,0.2,9.5,0.7
E07000106,82.6,2.7,13.3,1.4
E07000107,90.7,0.2,8.4,0.7
E07000108,90.5,0.2,8.9,0.5
E07000109,91.9,0.2,7.5,0.5
E07000110,88.9,0.2,10.2,0.7
E07000111,91,0.3,8.1,0.6
E07000112,90.6,0.2,8.7,0.5
E07000113,90.8,0.1,8.7,0.3
E07000114,90.2,0.1,9.1,0.5
E07000115,91.3,0.2,8,0.4
E07000116,88.3,0.3,10.5,0.9
E07000117,91,0.1,7.9,1
E07000118,91.7,0.2,7.8,0.3
E07000119,89.8,0.2,9.2,0.9
E07000120,92.2,0.1,7.4,0.4
E07000121,84.9,2.4,11.4,1.3
E07000122,91.7,0.1,7.2,1
E07000123,86.9,1.1,10.4,1.6
E07000124,90,0.2,9.2,0.5
E07000125,92.2,0.1,7.4,0.3
E07000126,92.1,0.2,7.5,0.3
E07000127,88.1,1.3,10.2,0.5
E07000128,90.2,0.2,9.2,0.4
E07000129,92.1,0.2,7.4,0.3
E07000130,85.2,1.9,11.8,1
E07000131,89.5,0.2,9.8,0.5
E07000132,91.8,0.2,7.8,0.3
E07000133,90.8,0.2,8.6,0.4
E07000134,90.4,0.4,8.9,0.3
E07000135,89.6,0.3,9.3,0.8
E07000136,89.4,0.1,9.4,1.1
E07000137,90.5,0.1,9,0.4
E07000138,80.1,3.6,15,1.2
E07000139,89.9,0.2,9.4,0.5
E07000140,89.9,0.1,9.5,0.5
E07000141,90.7,0.2,8.6,0.4
E07000142,90.5,0.2,9,0.4
E07000143,90.2,0.1,9,0.6
E07000144,91.7,0.1,7.9,0.3
E07000145,90.5,0.1,8.7,0.6
E07000146,90.4,0.1,8.7,0.7
E07000147,90.7,0.2,8.8,0.4
E07000148,81.2,2.5,14.8,1.5
E07000149,90.4,0.2,8.9,0.5
E07000163,90.4,0.2,8.9,0.5
E07000164,89.8,0.2,9.5,0.5
E07000165,88.2,0.3,10.8,0.7
E07000166,87.1,0.3,11.3,1.3
E07000167,90.2,0.3,9,0.5
E07000168,90.5,0.2,8.7,0.5
E07000169,90.9,0.2,8.7,0.3
E07000170,92.4,0.1,7.2,0.3
E07000171,91,0.1,8.5,0.3
E07000172,89.8,0.8,8.6,0.8
E07000173,91.9,0.2,7.6,0.3
E07000174,91.3,0.1,8,0.6
E07000175,90.1,0.2,9.4,0.4
E07000176,88.9,0.9,9.5,0.6
E07000177,88.5,0.2,10.3,1
E07000178,74.3,4.2,17.4,4.1
E07000179,88.7,0.4,10.2,0.7
E07000180,87.5,0.4,11,1
E07000181,88,0.3,10.9,0.8
E07000187,90.1,0.3,8.9,0.7
E07000188,90.3,0.2,9.1,0.5
E07000189,89.8,0.2,9.5,0.6
E07000192,92.1,0.1,7.6,0.2
E07000193,90.8,0.2,8.4,0.6
E07000194,91.1,0.2,8.4,0.3
E07000195,89.4,1,9.1,0.5
E07000196,91.9,0.1,7.7,0.2
E07000197,90.3,0.2,9.1,0.4
E07000198,92.6,0.1,7.1,0.2
E07000199,91.2,0.1,8.4,0.3
E07000200,90.4,0.2,9.1,0.3
E07000202,90.1,0.2,8.9,0.8
E07000203,90.1,0.2,9.2,0.5
E07000207,88.8,0.3,9.6,1.2
E07000208,90.5,0.4,8.1,1
E07000209,82.1,2,13.9,2
E07000210,90.6,0.3,8.4,0.6
E07000211,89.7,0.3,9.2,0.8
E07000212,83.9,2.3,12.3,1.5
E07000213,90.3,0.2,8.7,0.8
E07000214,89.9,0.3,9,0.9
E07000215,91.1,0.3,8,0.6
E07000216,88.2,0.6,10.4,0.9
E07000217,88.8,0.3,9.5,1.3
E07000218,91.8,0.1,7.8,0.2
E07000219,91.6,0.1,7.8,0.5
E07000220,88.8,0.3,10.1,0.8
E07000221,88.8,0.2,10.4,0.5
E07000222,84.8,2,11.8,1.5
E07000223,91.9,0.1,7.6,0.4
E07000224,90,0.2,9.3,0.5
E07000225,87.4,0.7,11.2,0.7
E07000226,89.5,0.2,9.4,0.9
E07000227,89.5,0.3,9.5,0.7
E07000228,89.7,0.3,9.3,0.7
E07000229,89.8,0.2,9.5,0.6
E07000234,91.6,0.2,7.8,0.3
E07000235,90.4,0.3,8.7,0.5
E07000236,91.8,0.1,7.6,0.4
E07000237,87.8,0.9,10.4,0.9
E07000238,91.2,0.2,8.2,0.4
E07000239,91.9,0.2,7.7,0.2
E07000240,89.4,0.4,9.2,1
E07000241,85.7,1.5,10.9,2
E07000242,89.6,0.3,9.5,0.7
E07000243,91.1,0.2,7.8,0.9
E07000244,90.9,0.2,8.5,0.3
E07000245,88,0.2,9.5,2.3
E07000246,89.8,0.2,9.1,0.8
E08000001,92.2,0.2,6.8,0.8
E08000002,92.6,0.2,6.7,0.5
E08000003,82,2.3,13.4,2.3
E08000004,93.2,0.1,6.1,0.6
E08000005,92.4,0.1,6.8,0.7
E08000006,85.5,1,12.1,1.5
E08000007,91.7,0.2,7.7,0.5
E08000008,92.8,0.1,6.7,0.4
E08000009,91.3,0.3,7.5,0.9
E08000010,92.2,0.1,7.3,0.4
E08000011,93,0.1,6.6,0.4
E08000012,84.8,2.2,11.5,1.5
E08000013,92.4,0.1,7.1,0.3
E08000014,92.2,0.1,7.1,0.5
E08000015,92.2,0.2,7.2,0.4
E08000016,92.2,0.1,7.4,0.3
E08000017,91.4,0.1,8,0.5
E08000018,92.6,0.1,7,0.3
E08000019,86.7,1.8,10.3,1.2
E08000021,80.9,3.2,14.3,1.6
E08000022,91.9,0.1,7.6,0.4
E08000023,92.7,0.1,6.8,0.4
E08000024,91.8,0.2,7.3,0.7
E08000025,89.2,1,8.6,1.2
E08000026,85.5,1.4,11,2.1
E08000027,93,0.1,6.6,0.3
E08000028,92.6,0.1,6.5,0.8
E08000029,91.7,0.2,7.6,0.5
E08000030,92.8,0.1,6.6,0.5
E08000031,91,0.2,7.7,1.1
E08000032,91.7,0.2,7.4,0.7
E08000033,91.7,0.2,7.8,0.4
E08000034,91.4,0.4,7.6,0.7
E08000035,85.8,1.6,11.4,1.2
E08000036,92.2,0.1,7.3,0.4
E08000037,91.2,0.2,8.1,0.5
E09000001,73,2.2,18.3,6.4
E09000002,91.4,0.1,7.4,1
E09000003,88.6,0.4,9.5,1.5
E09000004,91.9,0.3,7.3,0.6
E09000005,87,0.3,10.9,1.7
E09000006,91,0.2,8.1,0.7
E09000007,79.8,1.7,14.5,3.9
E09000008,90.3,0.3,8.6,0.9
E09000009,87.9,0.4,10.1,1.7
E09000010,91.2,0.2,7.7,0.9
E09000011,88,0.3,10.3,1.4
E09000012,84.5,0.5,13.5,1.6
E09000013,79.8,1.2,16.2,2.7
E09000014,86.3,0.3,11.8,1.5
E09000015,89.7,0.3,8.6,1.4
E09000016,91.4,0.2,7.8,0.6
E09000017,89,0.6,9,1.4
E09000018,88.4,0.2,9.6,1.8
E09000019,80.3,1,15.9,2.7
E09000020,81.6,1.2,13.2,4
E09000021,87.3,0.9,10.1,1.7
E09000022,81.9,0.7,15.5,1.8
E09000023,88,0.4,10.4,1.2
E09000024,88.2,0.3,10.1,1.4
E09000025,86.8,0.3,10.7,2.2
E09000026,90.3,0.2,8.2,1.3
E09000027,87.6,0.5,10.2,1.7
E09000028,83.1,1,13.7,2.2
E09000029,91.1,0.2,7.9,0.8
E09000030,79.2,1,16.3,3.4
E09000031,89.2,0.2,9.7,1
E09000032,80.1,0.7,17.3,1.9
E09000033,79,1.1,15,4.9
E12000001,89.8,0.7,8.8,0.6
E12000002,90,0.6,8.6,0.8
E12000003,89.6,0.7,9,0.7
E12000004,89.1,0.8,9.4,0.8
E12000005,90.3,0.5,8.5,0.8
E12000006,89.6,0.4,9.1,0.8
E12000007,86.8,0.5,11,1.7
E12000008,88.4,0.6,10.1,0.9
E12000009,88.2,0.7,10.4,0.7
E92000001,88.9,0.6,9.6,0.9
K04000001,89,0.6,9.5,0.9
W06000001,91.9,0.2,7.6,0.2
W06000002,88.7,1.4,9.2,0.6
W06000003,91.9,0.2,7.5,0.3
W06000004,91.3,0.2,8.2,0.3
W06000005,92.4,0.1,7.1,0.3
W06000006,92,0.2,7.4,0.4
W06000008,85.1,2.5,11.7,0.7
W06000009,91.3,0.2,8.1,0.4
W06000010,92,0.2,7.5,0.3
W06000011,88.3,1.5,9.4,0.7
W06000012,92.2,0.3,7.2,0.3
W06000013,92.2,0.1,7.3,0.3
W06000014,91,0.2,8.3,0.5
