areacd,disability_3a-001,disability_3a-002
E06000001,22.9,77.1
E06000002,20.5,79.5
E06000003,22.3,77.7
E06000004,19.9,80.1
E06000005,19.6,80.4
E06000006,22.1,77.9
E06000007,17.7,82.3
E06000008,18.5,81.5
E06000009,25.1,74.9
E06000010,20,80
E06000011,18.6,81.4
E06000012,20.4,79.6
E06000013,19.7,80.3
E06000014,17.1,82.9
E06000015,18.8,81.2
E06000016,15.5,84.5
E06000017,15.9,84.1
E06000018,18.6,81.4
E06000019,18.6,81.4
E06000020,19.7,80.3
E06000021,21.1,78.9
E06000022,16.4,83.6
E06000023,17.2,82.8
E06000024,18.7,81.3
E06000025,16.3,83.7
E06000026,21.7,78.3
E06000027,23.8,76.2
E06000030,15.9,84.1
E06000031,16.3,83.7
E06000032,13.7,86.3
E06000033,18.3,81.7
E06000034,14.5,85.5
E06000035,17.4,82.6
E06000036,13.4,86.6
E06000037,14.7,85.3
E06000038,13.8,86.2
E06000039,11.3,88.7
E06000040,12.3,87.7
E06000041,12.5,87.5
E06000042,14.8,85.2
E06000043,18.7,81.3
E06000044,17.6,82.4
E06000045,17.7,82.3
E06000046,23.3,76.7
E06000047,22.9,77.1
E06000049,17,83
E06000050,18.5,81.5
E06000051,18.5,81.5
E06000052,21.1,78.9
E06000053,14.3,85.7
E06000054,16.9,83.1
E06000055,15.5,84.5
E06000056,15,85
E06000057,21,79
E06000058,18.5,81.5
E06000059,19.8,80.2
E06000060,13.5,86.5
E06000061,17.3,82.7
E06000062,15.2,84.8
E07000008,14.7,85.3
E07000009,16.1,83.9
E07000010,20.3,79.7
E07000011,16.4,83.6
E07000012,14.7,85.3
E07000026,20,80
E07000027,21.7,78.3
E07000028,18.9,81.1
E07000029,21.1,78.9
E07000030,16.9,83.1
E07000031,17.6,82.4
E07000032,19.9,80.1
E07000033,22.9,77.1
E07000034,23,77
E07000035,18.4,81.6
E07000036,19.6,80.4
E07000037,18.4,81.6
E07000038,21.3,78.7
E07000039,17.2,82.8
E07000040,19.5,80.5
E07000041,18.2,81.8
E07000042,18.5,81.5
E07000043,19.6,80.4
E07000044,18.9,81.1
E07000045,20.3,79.7
E07000046,21.2,78.8
E07000047,20.8,79.2
E07000061,21.6,78.4
E07000062,22.6,77.4
E07000063,20.4,79.6
E07000064,21.6,78.4
E07000065,17.3,82.7
E07000066,16.7,83.3
E07000067,16.9,83.1
E07000068,14.1,85.9
