areacd,heating_type_3a-001,heating_type_3a-002
E06000001,0.8,99.2
E06000002,1.2,98.8
E06000003,0.9,99.1
E06000004,0.8,99.2
E06000005,1,99
E06000006,1.4,98.6
E06000007,1.1,98.9
E06000008,1.7,98.3
E06000009,2.3,97.7
E06000010,1.8,98.2
E06000011,1,99
E06000012,1.5,98.5
E06000013,0.7,99.3
E06000014,1.2,98.8
E06000015,1.7,98.3
E06000016,1.9,98.1
E06000017,0.7,99.3
E06000018,1.6,98.4
E06000019,1.9,98.1
E06000020,0.9,99.1
E06000021,1.3,98.7
E06000022,1.1,98.9
E06000023,1.6,98.4
E06000024,1,99
E06000025,0.9,99.1
E06000026,1.9,98.1
E06000027,2.3,97.7
E06000030,1.3,98.7
E06000031,1.2,98.8
E06000032,1.8,98.2
E06000033,1.4,98.6
E06000034,1.8,98.2
E06000035,1.7,98.3
E06000036,0.9,99.1
E06000037,1,99
E06000038,2.1,97.9
E06000039,2,98
E06000040,1.1,98.9
E06000041,0.7,99.3
E06000042,1.1,98.9
E06000043,2.3,97.7
E06000044,2.4,97.6
E06000045,2.2,97.8
E06000046,2.3,97.7
E06000047,0.6,99.4
E06000049,1,99
E06000050,1,99
E06000051,1.4,98.6
E06000052,3.5,96.5
E06000053,17.5,82.5
E06000054,1,99
E06000055,1.2,98.8
E06000056,1,99
E06000057,0.8,99.2
E06000058,1.5,98.5
E06000059,1.4,98.6
E06000060,0.9,99.1
E06000061,1.1,98.9
E06000062,1.3,98.7
E07000008,1.6,98.4
E07000009,0.8,99.2
E07000010,1.1,98.9
E07000011,1,99
E07000012,0.8,99.2
E07000026,1.4,98.6
E07000027,2.9,97.1
E07000028,1.4,98.6
E07000029,1.3,98.7
E07000030,1.9,98.1
E07000031,1.9,98.1
E07000032,1,99
E07000033,0.6,99.4
E07000034,0.8,99.2
E07000035,1.2,98.8
E07000036,1.4,98.6
E07000037,1.1,98.9
E07000038,0.6,99.4
E07000039,0.8,99.2
E07000040,1.7,98.3
E07000041,2.2,97.8
E07000042,2.6,97.4
