areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E06000001,9.9,57.4,32.7
E06000002,12,50.7,37.3
E06000003,9.4,62.7,27.9
E06000004,10.6,60.2,29.3
E06000005,10.8,62.6,26.7
E06000006,11.1,61.8,27.2
E06000007,12.6,65.6,21.8
E06000008,10.8,50.1,39.1
E06000009,11.4,61.7,26.9
E06000010,12.6,55.8,31.6
E06000011,10,71.2,18.9
E06000012,10.4,63.2,26.4
E06000013,10.1,65.8,24.1
E06000014,17.8,61,21.2
E06000015,13.9,57.4,28.7
E06000016,16.7,43.1,40.2
E06000017,11.6,70.6,17.8
E06000018,22.3,45.5,32.2
E06000019,11.3,71.5,17.1
E06000020,12.8,62.5,24.8
E06000021,11.9,59.1,29.1
E06000022,19.5,62.5,18
E06000023,19.8,54.2,26
E06000024,10.8,73,16.2
E06000025,14.4,67.2,18.4
E06000026,14.3,62.6,23.1
E06000027,10.1,71.2,18.7
E06000030,13.7,62.9,23.4
E06000031,14.1,56.7,29.2
E06000032,15.1,45.2,39.7
E06000033,12.5,64.8,22.6
E06000034,14.9,57.5,27.5
E06000035,12.9,61.1,25.9
E06000036,15.7,63.2,21.1
E06000037,13,69.1,17.9
E06000038,19.5,52.2,28.3
E06000039,16.8,43.9,39.3
E06000040,14.2,64,21.8
E06000041,14.1,66.7,19.2
E06000042,15.9,59.7,24.4
E06000043,19.6,56.7,23.8
E06000044,18.4,56.2,25.4
E06000045,18.8,53.2,27.9
E06000046,10,73.9,16.1
E06000047,10.9,61.2,27.9
E06000049,11.3,70.1,18.6
E06000050,12.3,67.3,20.5
E06000051,10.7,71.7,17.5
E06000052,12.1,71.8,16.1
E06000053,14.5,76.9,8.6
E06000054,12,71,17.1
E06000055,14,61.9,24.1
E06000056,13.1,67.4,19.5
E06000057,9.6,67.9,22.6
E06000058,14.9,66.5,18.6
E06000059,10.2,75.7,14.1
E06000060,13.3,65.9,20.8
E06000061,12.8,65.5,21.7
E06000062,14.9,63.6,21.5
E07000008,24.1,47.9,28
E07000009,12,69.8,18.2
E07000010,9.9,67.3,22.8
E07000011,12.3,69.7,18
E07000012,12.5,70.1,17.4
E07000026,10.2,68.1,21.7
E07000027,9.9,66,24.1
E07000028,11.8,66.2,22
E07000029,9.1,66.9,24
E07000030,12.3,71.2,16.5
E07000031,12,73.8,14.1
E07000032,10.2,70.6,19.2
E07000033,9.6,66.5,23.9
E07000034,9.8,68.4,21.8
E07000035,10.8,75.4,13.7
E07000036,10.9,68.1,21
E07000037,11.6,70.6,17.8
E07000038,9.5,71.4,19
E07000039,12.2,67.6,20.1
E07000040,9.8,77.6,12.6
E07000041,21.6,56.1,22.3
E07000042,11.4,72.1,16.5
E07000043,11.9,72.3,15.9
E07000044,10.8,75,14.2
E07000045,10.6,74.8,14.6
E07000046,10,74.3,15.6
E07000047,9.9,75.5,14.6
E07000061,11,69.2,19.8
E07000062,10.9,65.4,23.6
E07000063,10.5,72.6,16.9
E07000064,8.8,74.3,16.9
E07000065,10.4,73.6,16
E07000066,12.2,64.4,23.3
E07000067,12,68.7,19.3
E07000068,12.3,68.6,19.1
E07000069,9.8,69.8,20.4
E07000070,12.7,68.1,19.2
E07000071,14.7,63.3,22
E07000072,13.4,63.6,23
E07000073,13.7,60.9,25.3
E07000074,10.7,71.9,17.4
E07000075,10.7,71.3,17.9
E07000076,8.9,70.8,20.3
E07000077,13.4,69.8,16.8
E07000078,14.1,66.5,19.4
E07000079,12.9,73.2,13.9
E07000080,11.4,69.7,18.9
E07000081,14.5,61.5,24.1
E07000082,11.6,72.4,16
E07000083,11.7,72.2,16.1
E07000084,13.6,67.5,18.9
E07000085,11.6,72.3,16
E07000086,12.5,69.6,17.9
E07000087,10.5,73.5,16
E07000088,11.5,69,19.6
E07000089,13.1,71.2,15.7
E07000090,10.1,70.1,19.8
E07000091,9.9,75.4,14.7
E07000092,14.7,57.1,28.1
E07000093,12.3,71.1,16.6
E07000094,15.5,67.7,16.8
E07000095,13.4,62.1,24.5
E07000096,13.7,66.6,19.7
E07000098,14.1,61.4,24.4
E07000099,12.5,69.6,17.9
E07000102,13.6,65.3,21.1
E07000103,16,55.4,28.6
E07000105,11.7,66.2,22.1
E07000106,15.7,61.6,22.7
E07000107,14.2,60.7,25.1
E07000108,10.1,68.7,21.2
E07000109,12.7,61,26.3
E07000110,12.1,67.1,20.8
E07000111,11.4,69.9,18.7
E07000112,10,68.9,21.1
E07000113,10.9,64.9,24.1
E07000114,9.7,67.9,22.3
E07000115,11.9,68.5,19.6
E07000116,12.2,68.9,19
E07000117,10.9,58.5,30.6
E07000118,10.6,69.3,20.1
E07000119,9.6,73.6,16.8
E07000120,10.5,59.1,30.4
E07000121,15.2,61.3,23.6
E07000122,11.1,55.8,33
E07000123,14.4,54.5,31.1
E07000124,10.5,73.1,16.4
E07000125,10.6,65.3,24
E07000126,10.6,69.5,19.9
E07000127,14.5,63.1,22.4
E07000128,9.5,70.5,20.1
E07000129,11.3,68.1,20.6
E07000130,18.2,58.8,23
E07000131,11.8,71.3,17
E07000132,10.9,70.3,18.8
E07000133,11.3,72.1,16.7
E07000134,12.4,68.1,19.5
E07000135,12.9,62.2,25
E07000136,11.2,66.5,22.2
E07000137,9.7,70.5,19.8
E07000138,20.2,54.4,25.4
E07000139,10.2,71.4,18.5
E07000140,10.2,71.2,18.7
E07000141,11.1,70.5,18.3
E07000142,9.4,70.4,20.2
E07000143,10.1,71.8,18
E07000144,10.1,74.4,15.5
E07000145,11.2,66.6,22.2
E07000146,10,71.1,18.9
E07000147,9.6,76.3,14.1
E07000148,18.8,56.8,24.4
E07000149,10.2,73.8,16
E07000163,10.9,75.2,13.9
E07000164,10.9,73.1,16
E07000165,12.1,70.4,17.5
E07000166,12.8,69.5,17.7
E07000167,11.3,72.7,16
E07000168,11.3,70.2,18.6
E07000169,12,69.7,18.4
E07000170,10.1,66,23.9
E07000171,10,67.6,22.4
E07000172,12.4,66.4,21.2
E07000173,10.8,68.7,20.5
E07000174,10.6,64.2,25.2
E07000175,10.7,68,21.3
E07000176,12.7,69.3,18
E07000177,14.9,65.8,19.3
E07000178,26.1,45.5,28.4
E07000179,12.6,70.9,16.5
E07000180,12.8,69.7,17.6
E07000181,12.4,71.8,15.8
E07000187,11.5,71.8,16.7
E07000188,10.9,70.7,18.4
E07000189,10.4,74.1,15.6
E07000192,11.2,65.8,23
E07000193,12.4,63.5,24.2
E07000194,10.5,70.9,18.5
E07000195,12.3,65.6,22.2
E07000196,9.8,71.1,19.1
E07000197,10.8,71.5,17.7
E07000198,10.1,72.2,17.7
E07000199,11.8,65.8,22.4
E07000200,10.4,74.1,15.5
E07000202,12.5,62.2,25.3
E07000203,10.5,74.3,15.2
E07000207,13,67.1,19.8
E07000208,13.4,65,21.6
E07000209,19.1,60,20.9
E07000210,11.8,71.6,16.6
E07000211,13.3,66.4,20.3
E07000212,17.9,58.7,23.4
E07000213,14.7,63.8,21.5
E07000214,13.6,67.4,18.9
E07000215,11.6,68.8,19.5
E07000216,12.2,69.9,17.9
E07000217,13.9,64,22.1
E07000218,11.7,67.1,21.2
E07000219,11.6,63.5,24.9
E07000220,12.5,66.8,20.8
E07000221,11.3,73.1,15.6
E07000222,15.4,63.1,21.6
E07000223,10.7,70,19.2
E07000224,10.4,72.6,17
E07000225,13,71.8,15.3
E07000226,18.1,56.7,25.2
E07000227,12,72.2,15.7
E07000228,12.5,71.3,16.2
E07000229,11.4,70.1,18.5
E07000234,10.9,70.1,19
E07000235,9.9,74.2,15.9
E07000236,12.8,64.1,23
E07000237,15.3,62.7,22
E07000238,10.8,72.3,16.9
E07000239,10.1,70,20
E07000240,13.4,67.2,19.5
E07000241,17.7,58.1,24.2
E07000242,13.5,68,18.5
E07000243,13.5,63.3,23.2
E07000244,9.7,73.8,16.5
E07000245,13,68.7,18.3
E07000246,10.5,72.9,16.6
E08000001,10.9,55.7,33.3
E08000002,11.1,60.5,28.4
E08000003,19.1,41,39.9
E08000004,11.5,52.3,36.1
E08000005,11.2,55.3,33.5
E08000006,15.9,52.1,32
E08000007,11,66.3,22.7
E08000008,11.1,60.3,28.6
E08000009,12.3,62.6,25.1
E08000010,10.5,63.6,25.9
E08000011,11.2,55.1,33.8
E08000012,17,49.2,33.8
E08000013,10,63,26.9
E08000014,10.2,65.7,24.1
E08000015,10,65.2,24.8
E08000016,10.2,63.9,26
E08000017,11.2,61.6,27.2
E08000018,10.4,61.7,27.9
E08000019,15.1,55.4,29.5
E08000021,18.6,48.8,32.6
E08000022,10.2,63.9,25.9
E08000023,9.8,60.3,30
E08000024,10,58.7,31.3
E08000025,13.6,44.8,41.6
E08000026,16.5,51,32.5
E08000027,10.1,64.3,25.6
E08000028,11.6,50.2,38.2
E08000029,11,66.4,22.6
E08000030,10.5,56.9,32.6
E08000031,11.9,54.8,33.3
E08000032,10.8,50.7,38.5
E08000033,11.3,63.6,25.1
E08000034,11.4,58.5,30.1
E08000035,16.4,56.3,27.3
E08000036,10.8,64.3,24.9
E08000037,10.4,60.9,28.8
E09000001,19.1,53.2,27.6
E09000002,15.3,42.7,42
E09000003,15.2,51.4,33.4
E09000004,13.4,60.7,26
E09000005,16.2,42.3,41.5
E09000006,12.4,65.2,22.4
E09000007,18,45.8,36.2
E09000008,15,53.4,31.6
E09000009,16,45,39
E09000010,13.9,48.1,38.1
E09000011,16.5,49.3,34.2
E09000012,17.1,40.9,42
E09000013,18.8,48.2,33
E09000014,17.7,45.1,37.2
E09000015,13.9,49.9,36.2
E09000016,12.7,61.4,25.9
E09000017,15.5,49.7,34.7
E09000018,16.6,46.7,36.7
E09000019,18.1,46.7,35.2
E09000020,14.8,50.5,34.7
E09000021,16.4,56.8,26.8
E09000022,19.7,46.6,33.7
E09000023,18.3,48.7,33
E09000024,15.9,54.3,29.9
E09000025,16.9,34.4,48.7
E09000026,14.1,45.5,40.4
E09000027,15,63.4,21.6
E09000028,20.3,44.7,35.1
E09000029,13.7,59.5,26.8
E09000030,18,34.6,47.4
E09000031,16.1,46.5,37.4
E09000032,18.2,51.7,30.1
E09000033,16.3,44,39.6
E12000001,11.3,59.8,28.9
E12000002,12.4,60,27.6
E12000003,12.5,60.8,26.8
E12000004,13.3,63.1,23.6
E12000005,12.2,59.6,28.2
E12000006,12.8,65.8,21.4
E12000007,16.1,48.7,35.2
E12000008,13.6,65.5,20.8
E12000009,13.1,68.9,18
E92000001,13.2,61.1,25.6
K04000001,13.1,61.4,25.5
W06000001,9.7,71.6,18.7
W06000002,14.5,67.1,18.5
W06000003,10,71.6,18.4
W06000004,9.5,68.9,21.6
W06000005,11.4,68.4,20.2
W06000006,11,66,23
W06000008,13.7,68.2,18.1
W06000009,10.1,71.7,18.2
W06000010,9,69.9,21
W06000011,13.5,62.5,24
W06000012,10,64.3,25.6
W06000013,10.3,66.3,23.4
W06000014,10.4,68.6,21.1
W06000015,18,53.4,28.6
W06000016,9.9,63.5,26.6
W06000018,9,64.4,26.6
W06000019,8.7,64.1,27.1
W06000020,9.7,67.5,22.8
W06000021,10.2,73.3,16.5
W06000022,11.5,60.8,27.7
W06000023,10.1,73.2,16.8
W06000024,9.7,62.5,27.9
W92000004,11.5,65.4,23.1
