areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E06000001,88.2,11.5,0.3
E06000002,87.4,12.6,0.1
E06000003,90.9,8.9,0.1
E06000004,90.7,9.2,0.1
E06000005,86.7,13.1,0.2
E06000006,88.8,10.9,0.2
E06000007,87.7,12.2,0.1
E06000008,88.1,11.8,0.1
E06000009,78.5,21.3,0.2
E06000010,84.5,15.4,0.1
E06000011,90.7,8.9,0.4
E06000012,88.5,11.3,0.1
E06000013,90.5,8.8,0.8
E06000014,82.1,17.6,0.3
E06000015,85,14.7,0.3
E06000016,76.9,23,0.1
E06000017,91.6,7.6,0.8
E06000018,76.3,23.6,0.1
E06000019,86.9,12,1
E06000020,89.5,10.1,0.4
E06000021,88.6,11.3,0
E06000022,78.2,21.4,0.4
E06000023,64.7,35.2,0.1
E06000024,78.3,20.5,1.2
E06000025,86.6,12.7,0.7
E06000026,74.3,25.4,0.3
E06000027,69.8,29.8,0.4
E06000030,82,17.8,0.2
E06000031,82.5,16.8,0.6
E06000032,75.1,24.7,0.2
E06000033,63.8,36.1,0.1
E06000034,76.2,23.5,0.3
E06000035,82.9,16.5,0.6
E06000036,77.5,20.9,1.7
E06000037,82.6,16.3,1.1
E06000038,66.4,33.4,0.2
E06000039,66.3,33.6,0.1
E06000040,74.7,24.2,1
E06000041,86.2,12.8,1
E06000042,81.8,18.1,0.1
E06000043,49.9,50,0.1
E06000044,64.4,35.5,0.2
E06000045,58.4,41.5,0.1
E06000046,78.7,20.6,0.7
E06000047,94.4,5.4,0.2
E06000049,89,10.5,0.4
E06000050,87.4,11.9,0.7
E06000051,90.3,8.9,0.8
E06000052,85.6,12.8,1.6
E06000053,75.3,24.6,0.1
E06000054,87.7,11.6,0.7
E06000055,80.7,18.4,0.9
E06000056,87.1,12.1,0.8
E06000057,89.1,10.7,0.2
E06000058,62.8,36.9,0.4
E06000059,83.4,15.4,1.2
E06000060,82.3,17.2,0.5
E06000061,88.4,11.2,0.4
E06000062,86.4,13.2,0.4
E07000008,64.8,35,0.2
E07000009,91,7.8,1.2
E07000010,90,9,1.1
E07000011,88,11.2,0.8
E07000012,91.8,7.2,1.1
E07000026,91.4,8.2,0.4
E07000027,89.3,9.8,0.9
E07000028,88.5,11.3,0.2
E07000029,92.5,6.7,0.8
E07000030,89.8,9.6,0.5
E07000031,85.6,14,0.4
E07000032,93.1,6.7,0.2
E07000033,94.1,5.7,0.1
E07000034,87.5,12.3,0.2
E07000035,90.6,9.2,0.1
E07000036,91.5,8.3,0.1
E07000037,87.6,12.1,0.3
E07000038,92.9,6.7,0.4
E07000039,93.2,5.9,0.8
E07000040,85.1,14.3,0.6
E07000041,73.3,26,0.6
E07000042,89.8,9.5,0.7
E07000043,85,14.1,1
E07000044,88.7,10.5,0.8
E07000045,84.2,13.9,1.8
E07000046,89.3,10,0.7
E07000047,89.5,9.8,0.6
E07000061,62.3,37.6,0.1
E07000062,63.6,36.2,0.2
E07000063,80.4,18.8,0.8
E07000064,77.9,21.6,0.5
E07000065,87.2,11.5,1.2
E07000066,81,18.6,0.4
E07000067,86.3,13.4,0.3
E07000068,77.2,22.5,0.3
E07000069,87.4,9.4,3.2
E07000070,79.4,19.8,0.8
E07000071,79.5,20.3,0.2
E07000072,77.1,21.6,1.4
E07000073,72.9,27,0.1
E07000074,90,9,1.1
E07000075,87.4,11,1.6
E07000076,82.5,16.4,1.2
E07000077,88.6,10.8,0.6
E07000078,72.6,26.8,0.6
E07000079,88.1,11.1,0.8
E07000080,92.3,6.9,0.9
E07000081,81.3,18.2,0.4
E07000082,88.5,10.9,0.6
E07000083,88.7,9.7,1.6
E07000084,83.3,16.4,0.4
E07000085,85,14.3,0.7
