areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00112739,4.3,26.8,38.4,30.4
E00112740,1.4,13.8,39.9,44.9
E00145218,2.7,14.2,32.7,50.4
E00145244,0,21.2,31.4,47.4
E00145245,3.4,12.3,30.2,54.2
E00145246,1.6,15.6,44.1,38.7
E00145248,16.8,9.3,34.6,39.3
E00158975,9.5,9.5,38.1,42.9
E00158981,1.3,41.1,23.2,34.4
E00159015,3.4,15.4,39.3,41.9
E00159017,3.2,22.4,43.2,31.2
E00159018,2.3,13.7,34.4,49.6
E00159020,4.5,22.5,31.5,41.4
E00159021,0.7,19,40.1,40.1
E00159024,1.9,29.7,63.9,4.4
E00159025,2.8,13.3,31.5,52.4
E00159030,0,4.9,31.1,63.9
E00159032,1.5,13.7,42.7,42
E00159033,5.3,15,27.4,52.2
E00159034,5,18.3,16.7,60
E00159035,1.3,21.6,40.1,37.1
E00159036,0.8,21.8,42.9,34.5
E00159037,4.9,10.7,51.5,33
E00159038,2.6,27.2,31.1,39.1
E00159039,0.6,14.9,25.3,59.1
E00159050,1.8,9.8,47.6,40.9
E00159051,1.4,10.1,74.6,13.8
E00159052,3.1,16.5,37.1,43.3
E00159053,2.7,10.2,64,23.1
E00159054,6.8,25.7,44.7,22.8
E00159055,5,28.9,43.8,22.3
E00159056,0.8,20.8,52.5,25.8
E00159057,0,14.8,24.1,61.1
E00159058,0.8,27,26.2,46
E00159059,0.7,19.6,58,21.7
E00159060,9.4,24.2,32.8,33.6
E00159062,2.1,15.1,40.4,42.5
E00159063,2.1,29.3,37.9,30.7
E00159064,0.8,12,38.4,48.8
E00159065,1.7,12.1,39.1,47.1
E00159083,0,15.1,27.4,57.5
E00159084,9.8,19.6,31.4,39.2
E00159085,2.2,18,35.5,44.3
E00159086,1.3,17.1,53.3,28.3
E00159087,10.7,40.3,27.5,21.5
E00159088,0,21.4,35.8,42.8
E00159089,4.3,28,31.2,36.6
E00159090,3.9,17.8,44.2,34.1
E00159091,23.3,45,27.9,3.9
E00159092,1.4,7.7,30.6,60.4
E00159093,3.8,39,23.3,33.8
E00159094,1.9,57.6,31.6,8.9
E00159095,1.7,25.2,60.5,12.6
